# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000579
197.9842	0.001697
198.1882	0.000642
198.3922	0.001634
198.5963	0.000642
198.8003	-0.000223
199.0044	0.001085
199.2085	-0.000266
199.4126	0.002056
199.6168	0.000410
199.8209	0.000811
200.0251	0.000494
200.2292	0.000346
200.4334	-0.000561
200.6376	0.000663
200.8418	0.000769
201.0461	0.000072
201.2503	0.000072
201.4546	0.000283
201.6589	-0.000308
201.8631	0.000346
202.0674	-0.001448
202.2718	0.000980
202.4761	0.000410
202.6805	0.000346
202.8848	0.001170
203.0892	-0.000118
203.2936	0.000368
203.4980	0.000199
203.7024	0.000325
203.9069	0.000937
204.1113	0.000072
204.3158	0.000811
204.5203	0.000663
204.7248	0.001951
204.9293	0.000072
205.1338	0.001782
205.3384	0.000705
205.5430	0.001444
205.7475	0.000114
205.9521	-0.000139
206.1567	0.000220
206.3614	0.000895
206.5660	0.000959
206.7706	-0.000033
206.9753	-0.000857
207.1800	-0.000540
207.3847	0.000389
207.5894	0.001972
207.7941	-0.000097
207.9989	-0.000456
208.2036	0.000009
208.4084	0.000135
208.6132	0.002415
208.8180	0.000346
209.0228	0.000705
209.2276	0.000051
209.4325	0.000684
209.6373	0.001191
209.8422	0.001001
210.0471	0.000684
210.2520	-0.001215
210.4569	0.001296
210.6618	0.001296
210.8668	0.000389
211.0718	0.000114
211.2767	0.000959
211.4817	0.001740
211.6867	0.000346
211.8918	0.000072
212.0968	0.000410
212.3018	0.000790
212.5069	0.001592
212.7120	-0.000667
212.9171	0.002267
213.1222	0.000558
213.3273	-0.000434
213.5325	0.000431
213.7376	0.000536
213.9428	0.000600
214.1480	0.001338
214.3532	-0.000751
214.5584	0.001761
214.7636	0.001317
214.9689	0.000473
215.1741	0.000072
215.3794	-0.000012
215.5847	-0.000055
215.7900	0.001170
215.9953	-0.000456
216.2007	0.000726
216.4060	0.000748
216.6114	-0.000118
216.8168	-0.001532
217.0222	0.000283
217.2276	0.000325
217.4330	0.001085
217.6384	0.000726
217.8439	0.000558
218.0494	0.002183
218.2548	0.000494
218.4603	0.000663
218.6659	0.000705
218.8714	0.001613
219.0769	0.001444
219.2825	0.000135
219.4881	0.000769
219.6936	0.001317
219.8992	-0.000223
220.1049	-0.000202
220.3105	-0.000308
220.5161	0.000600
220.7218	0.001275
220.9275	0.000642
221.1332	-0.000540
221.3389	-0.000160
221.5446	0.000811
221.7503	0.000832
221.9561	0.001296
222.1618	-0.000266
222.3676	0.000536
222.5734	0.001127
222.7792	0.001149
222.9850	-0.000477
223.1909	0.000368
223.3967	0.000558
223.6026	-0.000287
223.8085	0.000030
224.0144	0.001423
224.2203	-0.000097
224.4262	0.000135
224.6322	0.001275
224.8381	-0.000329
225.0441	-0.000603
225.2501	0.001296
225.4561	0.000262
225.6621	-0.000076
225.8681	-0.000688
226.0742	0.000600
226.2802	0.000494
226.4863	0.001360
226.6924	0.001043
226.8985	0.000346
227.1046	0.001845
227.3107	0.000157
227.5169	0.000790
227.7230	0.001740
227.9292	0.000241
228.1354	0.001423
228.3416	0.000621
228.5478	0.000937
228.7541	0.000093
228.9603	0.000262
229.1666	0.000832
229.3729	0.000241
229.5791	0.000811
229.7855	0.001360
229.9918	0.000663
230.1981	0.000558
230.4045	0.000135
230.6108	0.000157
230.8172	-0.000983
231.0236	0.000579
231.2300	0.000579
231.4364	0.000874
231.6429	0.000621
231.8493	-0.000540
232.0558	0.000009
232.2623	0.000726
232.4688	0.001465
232.6753	0.000178
232.8818	-0.001025
233.0884	0.000114
233.2949	0.000558
233.5015	0.000558
233.7081	0.000199
233.9147	0.000030
234.1213	0.000494
234.3279	-0.000350
234.5346	-0.000392
234.7413	0.001296
234.9479	-0.000118
235.1546	0.000389
235.3613	0.000832
235.5680	0.000389
235.7748	-0.000645
235.9815	0.000748
236.1883	0.000452
236.3951	0.001106
236.6018	0.000114
236.8087	0.000051
237.0155	0.002162
237.2223	0.000241
237.4292	0.000832
237.6360	0.002204
237.8429	0.000600
238.0498	0.000030
238.2567	-0.000244
238.4636	0.000853
238.6706	-0.000371
238.8775	0.000135
239.0845	0.001106
239.2915	0.000705
239.4985	0.000916
239.7055	-0.000160
239.9125	0.000262
240.1195	0.000346
240.3266	0.000811
240.5337	0.001360
240.7407	-0.001025
240.9478	0.001634
241.1549	-0.000097
241.3621	0.000494
241.5692	-0.000097
241.7764	0.000937
241.9835	0.000895
242.1907	-0.000287
242.3979	0.000220
242.6051	0.000346
242.8124	-0.000667
243.0196	-0.000434
243.2269	0.001001
243.4341	0.000410
243.6414	-0.000561
243.8487	0.000389
244.0560	-0.000456
244.2634	0.002689
244.4707	0.000135
244.6781	0.001655
244.8854	-0.000033
245.0928	0.000895
245.3002	0.000157
245.5076	0.001275
245.7151	0.001275
245.9225	0.000304
246.1300	-0.000266
246.3375	0.001149
246.5449	-0.000667
246.7524	0.000114
246.9600	0.000410
247.1675	0.001043
247.3750	0.000811
247.5826	0.001106
247.7902	0.000684
247.9978	0.000009
248.2054	0.001127
248.4130	0.000389
248.6206	-0.001131
248.8283	0.001866
249.0359	0.000895
249.2436	0.001803
249.4513	0.000410
249.6590	0.000663
