# Wavelength	Absorbance
197.780200 2.878522
197.984200 2.907949
198.188200 0.113768
198.392200 0.497454
198.596300 -0.098720
198.800300 2.318063
199.004400 0.143308
199.208500 -0.223618
199.412600 -0.412789
199.616800 2.768638
199.820900 -0.380954
200.025100 0.543493
200.229200 2.463893
200.433400 2.309630
200.637600 2.745075
200.841800 2.902003
201.046100 3.008600
201.250300 3.142702
201.454600 -0.077961
201.658900 3.051153
201.863100 2.994757
202.067400 2.760422
202.271800 0.003867
202.476100 2.896526
202.680500 -0.284229
202.884800 2.980458
203.089200 0.175490
203.293600 2.745075
203.498000 -0.076611
203.702400 -0.496687
203.906900 1.959041
204.111300 0.000000
204.315800 0.249787
204.520300 3.062958
204.724800 -0.231833
204.929300 2.396199
205.133800 0.367045
205.338400 2.820201
205.543000 0.191431
205.747500 2.682145
205.952100 0.313124
206.156700 0.044734
206.361400 0.000000
206.566000 2.187521
206.770600 0.377214
206.975300 -0.266635
207.180000 0.845098
207.384700 0.467137
207.589400 -2.759668
207.794100 2.480007
207.998900 2.622214
208.203600 3.152288
208.408400 0.111673
208.613200 2.820201
208.818000 -0.309957
209.022800 -0.237273
209.227600 0.234741
209.432500 2.907949
209.637300 2.752816
209.842200 -1.008946
210.047100 2.798651
210.252000 2.053078
210.456900 0.395278
210.661800 0.295710
210.866800 1.265979
211.071800 1.689514
211.276700 1.226707
211.481700 2.736397
211.686700 -0.557033
211.891800 1.781037
212.096800 0.337129
212.301800 2.890421
212.506900 0.044836
212.712000 0.518514
212.917100 0.482832
213.122200 0.305186
213.327300 0.349319
213.532500 0.000000
213.737600 0.424325
213.942800 -0.507084
214.148000 0.000000
214.353200 -1.954243
214.558400 -0.148319
214.763600 3.265290
214.968900 0.711835
215.174100 0.144016
215.379400 -2.585461
215.584700 2.846955
215.790000 3.021603
215.995300 0.443625
216.200700 0.046512
216.406000 -0.148763
216.611400 2.587711
216.816800 2.833784
217.022200 2.621176
217.227600 0.796325
217.433000 -0.392860
217.638400 3.047275
217.843900 -0.104797
218.049400 0.000000
218.254800 0.324716
218.460300 3.008600
218.665900 3.186674
218.871400 0.562419
219.076900 0.655885
