# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000549
197.9842	0.001308
198.1882	0.001330
198.3922	0.001330
198.5963	0.001393
198.8003	-0.000739
199.0044	0.001266
199.2085	0.000654
199.4126	0.000823
199.6168	-0.000127
199.8209	0.000654
200.0251	0.000485
200.2292	-0.000485
200.4334	0.001013
200.6376	0.001055
200.8418	0.000232
201.0461	0.002026
201.2503	-0.000591
201.4546	0.001034
201.6589	-0.000211
201.8631	0.003187
202.0674	0.000992
202.2718	0.002110
202.4761	-0.000401
202.6805	0.001899
202.8848	0.000654
203.0892	0.001330
203.2936	0.001076
203.4980	0.001984
203.7024	0.001140
203.9069	-0.000127
204.1113	-0.000274
204.3158	0.001414
204.5203	0.001140
204.7248	0.000317
204.9293	-0.000042
205.1338	-0.000380
205.3384	-0.000612
205.5430	0.001794
205.7475	0.001498
205.9521	0.001372
206.1567	0.000359
206.3614	-0.000317
206.5660	0.001562
206.7706	0.000823
206.9753	0.000718
207.1800	-0.000169
207.3847	0.000718
207.5894	0.001878
207.7941	0.000549
207.9989	0.000675
208.2036	-0.000127
208.4084	0.001541
208.6132	0.001287
208.8180	0.000380
209.0228	0.000106
209.2276	0.000929
209.4325	-0.001224
209.6373	0.001119
209.8422	-0.000907
210.0471	0.000739
210.2520	-0.000464
210.4569	0.001245
210.6618	0.000042
210.8668	0.000401
211.0718	0.000359
211.2767	0.000422
211.4817	0.000464
211.6867	0.002828
211.8918	-0.000464
212.0968	0.000907
212.3018	-0.000253
212.5069	0.000507
212.7120	0.000823
212.9171	-0.000274
213.1222	0.000084
213.3273	0.001203
213.5325	0.001435
213.7376	0.001498
213.9428	0.000929
214.1480	-0.000612
214.3532	-0.000063
214.5584	0.002533
214.7636	0.002153
214.9689	0.001287
215.1741	-0.000401
215.3794	0.000654
215.5847	0.000612
215.7900	0.000549
215.9953	0.001182
216.2007	0.002364
216.4060	0.000211
216.6114	0.001646
216.8168	0.001667
217.0222	0.000570
217.2276	0.000739
217.4330	0.001330
217.6384	-0.000950
217.8439	0.000549
218.0494	0.000021
218.2548	-0.000338
218.4603	0.001794
218.6659	0.002765
218.8714	0.000485
219.0769	0.001055
219.2825	0.001076
219.4881	0.000886
219.6936	0.001625
219.8992	0.000422
220.1049	0.001815
220.3105	0.000274
220.5161	0.001773
220.7218	0.000127
220.9275	0.000485
221.1332	0.001097
221.3389	0.000190
221.5446	0.000823
221.7503	0.001034
221.9561	0.000528
222.1618	0.000865
222.3676	0.001857
222.5734	-0.000464
222.7792	0.000169
222.9850	0.000000
223.1909	-0.000612
223.3967	0.000507
223.6026	0.002659
223.8085	0.000127
224.0144	-0.000485
224.2203	-0.000317
224.4262	0.000612
224.6322	0.001182
224.8381	0.002469
225.0441	0.000992
225.2501	0.000359
225.4561	0.000232
225.6621	0.001836
225.8681	0.000317
226.0742	0.000844
226.2802	0.000000
226.4863	0.001097
226.6924	0.000654
226.8985	0.000464
227.1046	0.000253
227.3107	0.000675
227.5169	0.001667
227.7230	-0.000422
227.9292	0.001140
228.1354	0.001435
228.3416	0.001393
228.5478	0.000823
228.7541	0.001878
228.9603	0.000570
229.1666	0.000823
229.3729	0.002828
229.5791	0.001562
229.7855	0.000528
229.9918	0.001583
230.1981	0.000886
230.4045	0.000317
230.6108	0.002174
230.8172	0.000886
231.0236	0.000907
231.2300	0.000021
231.4364	0.001899
231.6429	0.000971
231.8493	0.000781
232.0558	0.001330
232.2623	0.000190
232.4688	0.000485
232.6753	-0.000063
232.8818	0.000169
233.0884	0.001076
233.2949	0.000760
233.5015	0.001182
233.7081	0.000781
233.9147	0.000929
234.1213	0.000190
234.3279	0.000190
234.5346	0.000633
234.7413	0.000359
234.9479	0.001055
235.1546	0.000929
235.3613	0.001203
235.5680	0.000253
235.7748	0.000485
235.9815	0.001034
236.1883	0.001709
236.3951	0.000295
236.6018	-0.000211
236.8087	0.001140
237.0155	0.001182
237.2223	0.001266
237.4292	-0.000464
237.6360	0.000485
237.8429	-0.000084
238.0498	0.001393
238.2567	0.000042
238.4636	0.000907
238.6706	-0.000127
238.8775	0.001203
239.0845	0.000570
239.2915	0.000950
239.4985	-0.000485
239.7055	0.001119
239.9125	0.001604
240.1195	0.000696
240.3266	0.000633
240.5337	0.001773
240.7407	0.001055
240.9478	0.002174
241.1549	0.000760
241.3621	0.000253
241.5692	0.000317
241.7764	0.001815
241.9835	-0.000190
242.1907	0.001119
242.3979	0.000591
242.6051	0.002279
242.8124	-0.000507
243.0196	-0.000084
243.2269	0.001330
243.4341	0.001773
243.6414	0.001055
243.8487	0.002047
244.0560	0.001773
244.2634	0.001709
244.4707	0.000148
244.6781	0.000929
244.8854	0.000443
245.0928	0.001899
245.3002	-0.001119
245.5076	0.000317
245.7151	-0.000485
245.9225	0.001667
246.1300	0.001140
246.3375	-0.000654
246.5449	0.001182
246.7524	0.001287
246.9600	0.000865
247.1675	0.000359
247.3750	-0.000570
247.5826	0.000485
247.7902	0.000907
247.9978	0.001942
248.2054	0.001625
248.4130	0.000739
248.6206	-0.000549
248.8283	0.001393
249.0359	0.000950
249.2436	-0.000021
249.4513	0.000211
249.6590	0.001034
249.8667	-0.000021
250.0745	0.000106
250.2822	0.000295
250.4900	-0.000359
250.6978	0.001372
250.9056	0.001266
251.1134	-0.000633
251.3212	0.001034
251.5290	0.000823
251.7369	0.001055
251.9447	-0.000612
252.1526	0.001097
252.3605	0.000274
252.5684	0.000633
252.7763	0.000718
252.9843	0.000739
253.1922	0.000528
253.4002	0.000127
253.6082	0.000464
253.8162	0.001224
254.0242	-0.000591
254.2322	0.000696
254.4402	-0.000127
