# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000316
197.9842	-0.000991
198.1882	-0.000506
198.3922	-0.000232
198.5963	0.001413
198.8003	0.000063
199.0044	0.000295
199.2085	-0.001223
199.4126	0.001687
199.6168	-0.000253
199.8209	0.000696
200.0251	-0.001055
200.2292	-0.000759
200.4334	0.001350
200.6376	0.000696
200.8418	0.000569
201.0461	-0.000675
201.2503	0.000380
201.4546	0.000063
201.6589	-0.000654
201.8631	0.001455
202.0674	0.000084
202.2718	-0.000021
202.4761	0.000380
202.6805	-0.000633
202.8848	0.000232
203.0892	0.000105
203.2936	-0.000886
203.4980	0.001076
203.7024	0.000612
203.9069	0.001519
204.1113	0.000127
204.3158	0.000359
204.5203	-0.000316
204.7248	0.001498
204.9293	-0.000506
205.1338	0.000801
205.3384	0.001856
205.5430	0.000000
205.7475	-0.000970
205.9521	0.001455
206.1567	-0.001223
206.3614	-0.000696
206.5660	0.001139
206.7706	0.000337
206.9753	0.000612
207.1800	0.002067
207.3847	0.000127
207.5894	0.000654
207.7941	-0.001434
207.9989	0.000148
208.2036	0.000569
208.4084	0.001498
208.6132	-0.000253
208.8180	0.000105
209.0228	0.000380
209.2276	0.001160
209.4325	0.001012
209.6373	-0.001266
209.8422	0.000359
210.0471	0.001055
210.2520	0.000991
210.4569	0.000759
210.6618	0.000591
210.8668	0.000949
211.0718	-0.000232
211.2767	0.002426
211.4817	-0.001097
211.6867	0.000380
211.8918	0.000548
212.0968	0.000485
212.3018	0.000253
212.5069	0.001498
212.7120	0.000591
212.9171	0.000654
213.1222	-0.000928
213.3273	0.000886
213.5325	-0.000211
213.7376	0.001413
213.9428	-0.000211
214.1480	0.001708
214.3532	-0.000190
214.5584	-0.000274
214.7636	0.000991
214.9689	0.000401
215.1741	0.000105
215.3794	0.001898
215.5847	-0.000295
215.7900	0.000485
215.9953	-0.000591
216.2007	0.002257
216.4060	0.000612
216.6114	0.000801
216.8168	-0.001751
217.0222	0.001455
217.2276	-0.000464
217.4330	-0.000105
217.6384	0.000190
217.8439	0.000337
218.0494	-0.000527
218.2548	0.001962
218.4603	0.001498
218.6659	-0.000759
218.8714	-0.000084
219.0769	0.001561
219.2825	0.001076
219.4881	0.000359
219.6936	0.000021
219.8992	0.000021
220.1049	0.000021
220.3105	-0.000042
220.5161	-0.001202
220.7218	0.001097
220.9275	-0.000232
221.1332	0.000316
221.3389	0.000569
221.5446	-0.000105
221.7503	0.000548
221.9561	0.000970
222.1618	-0.000295
222.3676	0.001476
222.5734	0.000211
222.7792	0.000569
222.9850	0.000464
223.1909	-0.000295
223.3967	0.000337
223.6026	0.000759
223.8085	0.000780
224.0144	0.000717
224.2203	-0.000021
224.4262	0.000759
224.6322	0.000654
224.8381	0.000612
225.0441	-0.000548
225.2501	-0.000569
225.4561	0.000443
225.6621	-0.000063
225.8681	0.000148
226.0742	0.001160
226.2802	0.000633
226.4863	0.001118
226.6924	0.001624
226.8985	0.000359
227.1046	-0.001582
227.3107	0.000485
227.5169	0.000633
227.7230	0.001202
227.9292	0.000169
228.1354	0.000316
228.3416	0.000401
228.5478	0.001202
228.7541	0.000422
228.9603	-0.000295
229.1666	-0.000717
229.3729	0.000633
229.5791	0.001708
229.7855	-0.000084
229.9918	-0.000865
230.1981	-0.000021
230.4045	0.001392
230.6108	0.000105
230.8172	-0.000612
231.0236	-0.000127
231.2300	-0.000443
231.4364	-0.000422
231.6429	-0.000042
231.8493	0.001202
232.0558	0.000190
232.2623	0.000359
232.4688	0.001498
232.6753	0.000337
232.8818	0.000591
233.0884	0.000928
233.2949	0.000801
233.5015	0.000359
233.7081	-0.000527
233.9147	-0.000443
234.1213	0.000591
234.3279	0.001223
234.5346	-0.000949
234.7413	-0.001076
234.9479	0.000696
235.1546	0.000422
235.3613	-0.000316
235.5680	0.001244
235.7748	0.000823
235.9815	0.000949
236.1883	-0.000591
236.3951	0.000232
236.6018	0.001371
236.8087	0.000717
237.0155	0.000359
237.2223	0.000127
237.4292	0.000823
237.6360	0.000633
237.8429	-0.000105
238.0498	0.000612
238.2567	-0.000084
238.4636	-0.000232
238.6706	0.000991
238.8775	0.000569
239.0845	0.000485
239.2915	0.001076
239.4985	0.000569
239.7055	0.001308
239.9125	0.000844
240.1195	0.001371
240.3266	-0.000021
240.5337	0.000148
240.7407	-0.000084
240.9478	-0.000169
241.1549	-0.000316
241.3621	-0.000042
241.5692	-0.000316
241.7764	0.001076
241.9835	0.001076
242.1907	0.001687
242.3979	0.001287
242.6051	0.000970
242.8124	0.000506
243.0196	-0.000211
243.2269	0.000717
243.4341	0.001266
243.6414	-0.000464
243.8487	-0.000295
244.0560	-0.000380
244.2634	0.001223
244.4707	-0.000190
244.6781	0.000274
244.8854	0.000190
245.0928	0.000928
245.3002	-0.000063
245.5076	0.000316
245.7151	-0.001476
245.9225	0.000211
246.1300	-0.000211
246.3375	0.000738
246.5449	0.000675
246.7524	0.001118
246.9600	0.000148
247.1675	0.000759
247.3750	-0.001055
247.5826	0.000569
247.7902	0.000717
247.9978	0.001202
248.2054	0.000084
248.4130	0.001624
248.6206	-0.000316
248.8283	0.001266
249.0359	-0.000316
249.2436	-0.000759
249.4513	-0.000717
249.6590	0.001118
249.8667	0.001519
250.0745	-0.001540
250.2822	0.001455
250.4900	0.000591
250.6978	-0.000633
250.9056	-0.000042
251.1134	0.000548
251.3212	0.002594
251.5290	-0.000506
251.7369	0.000612
251.9447	-0.000380
252.1526	0.000316
252.3605	-0.000021
252.5684	0.000907
252.7763	0.000190
252.9843	0.001371
253.1922	0.000337
253.4002	-0.000274
253.6082	-0.000823
253.8162	0.001012
254.0242	0.001540
254.2322	0.001751
254.4402	-0.000485
254.6483	0.000886
254.8564	0.001350
255.0644	-0.000569
255.2725	-0.001223
255.4806	-0.000274
255.6888	0.000548
255.8969	0.000970
256.1051	-0.000063
256.3132	-0.000633
256.5214	-0.000105
256.7296	-0.000907
256.9378	-0.000591
257.1460	0.000527
257.3543	0.000401
257.5625	0.000000
257.7708	0.000506
257.9791	-0.000443
258.1874	-0.000738
258.3957	-0.000253
258.6040	0.000949
258.8124	0.000738
259.0207	0.001118
259.2291	-0.000485
259.4375	0.000169
259.6459	0.000991
259.8543	-0.000148
260.0627	0.000105
260.2711	-0.000190
260.4796	0.001455
260.6881	-0.000401
260.8965	0.000823
261.1050	-0.000359
261.3135	0.001919
261.5221	0.000337
261.7306	0.000485
261.9392	0.001413
262.1477	0.000591
262.3563	0.001244
262.5649	0.001012
262.7735	0.000063
262.9822	0.000654
263.1908	0.000232
263.3995	-0.000021
263.6081	-0.000316
263.8168	0.000907
264.0255	-0.000928
264.2342	-0.000654
264.4429	0.000527
264.6517	0.001624
264.8604	-0.000148
265.0692	0.000717
265.2780	-0.000380
265.4868	0.000253
265.6956	0.000253
265.9044	0.000696
266.1133	0.001772
266.3221	0.000991
266.5310	0.001519
266.7399	0.001012
266.9488	-0.000633
267.1577	0.000633
267.3666	-0.000232
267.5755	0.000569
267.7845	-0.000042
267.9935	0.000738
268.2024	-0.000633
268.4114	0.000127
268.6205	-0.000823
268.8295	0.000084
269.0385	0.000127
269.2476	0.000991
269.4566	0.000274
269.6657	0.001856
269.8748	-0.000422
270.0839	0.000991
270.2931	0.000316
270.5022	0.000464
270.7114	-0.001287
270.9205	0.000401
271.1297	0.000232
271.3389	-0.000823
271.5481	0.000084
271.7573	-0.000253
271.9666	-0.000211
272.1758	-0.000928
272.3851	0.000190
272.5944	0.000738
272.8037	-0.000485
273.0130	0.000042
273.2223	0.001055
273.4316	0.001076
273.6410	0.000063
273.8504	-0.000063
274.0597	-0.000127
274.2691	0.000401
274.4785	-0.001287
274.6880	0.000738
274.8974	0.000738
275.1069	-0.001097
275.3163	-0.000169
275.5258	-0.000211
275.7353	0.001076
275.9448	-0.000211
276.1543	-0.000591
276.3639	0.001371
276.5734	0.001708
276.7830	0.001033
276.9926	0.000759
277.2022	-0.000591
277.4118	-0.001012
277.6214	0.000337
277.8310	-0.000422
278.0407	-0.000084
278.2503	-0.000780
278.4600	0.000232
278.6697	0.000232
278.8794	0.000232
279.0891	0.000780
279.2989	0.000928
279.5086	0.000485
279.7184	0.001455
279.9281	-0.001413
280.1379	0.001097
280.3477	-0.000211
280.5576	-0.001392
280.7674	0.000612
280.9772	0.000443
281.1871	0.001076
281.3970	0.001076
281.6069	-0.000991
281.8168	0.001371
282.0267	0.000422
282.2366	0.000907
282.4466	-0.000253
282.6565	0.000717
282.8665	-0.000042
283.0765	0.001856
283.2865	0.001350
283.4965	0.001202
283.7065	0.000991
283.9166	0.001139
284.1266	-0.000253
284.3367	-0.000084
284.5468	-0.000084
284.7569	-0.000401
284.9670	0.000633
285.1771	0.001350
285.3873	0.000464
285.5974	0.000612
285.8076	0.000190
286.0178	0.000696
286.2280	0.000295
286.4382	0.000949
286.6484	-0.001012
286.8587	0.001076
287.0689	-0.000612
287.2792	0.001772
287.4895	0.001118
287.6998	0.000359
287.9101	-0.001266
288.1204	0.001856
288.3308	-0.000696
288.5411	0.000485
288.7515	0.000907
288.9619	0.000253
289.1723	-0.000148
289.3827	0.000380
289.5931	0.001012
289.8035	0.000949
290.0140	-0.001308
290.2245	0.000042
290.4349	0.000190
290.6454	0.001835
290.8559	-0.000569
291.0665	0.000569
291.2770	-0.000696
291.4875	0.000127
291.6981	0.000970
291.9087	0.000485
292.1193	0.000190
292.3299	0.000316
292.5405	0.000211
292.7511	0.000274
292.9618	0.000949
293.1724	0.001266
293.3831	0.000780
293.5938	0.000717
293.8045	-0.000316
294.0152	0.000780
294.2260	-0.000211
294.4367	-0.000169
294.6475	-0.000148
294.8582	-0.000485
295.0690	0.000422
295.2798	0.000675
295.4906	-0.000169
295.7015	0.001287
295.9123	-0.000232
296.1232	0.000274
296.3340	0.001455
296.5449	0.000780
296.7558	-0.000464
296.9667	0.000907
297.1777	-0.000211
297.3886	-0.000443
297.5995	0.000738
297.8105	0.000569
298.0215	-0.000211
298.2325	0.002847
298.4435	0.000865
298.6545	0.001730
298.8656	-0.000359
299.0766	0.002236
299.2877	-0.000021
