# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000158
197.9842	0.000601
198.1882	0.000685
198.3922	-0.000475
198.5963	0.002204
198.8003	0.000221
199.0044	0.001023
199.2085	0.000327
199.4126	0.000685
199.6168	0.000453
199.8209	-0.001128
200.0251	-0.000981
200.2292	-0.000306
200.4334	0.000685
200.6376	0.001107
200.8418	0.000074
201.0461	-0.000074
201.2503	0.000496
201.4546	0.000327
201.6589	-0.000917
201.8631	0.000285
202.0674	-0.000475
202.2718	0.000432
202.4761	-0.000285
202.6805	0.000981
202.8848	-0.000728
203.0892	-0.000475
203.2936	-0.000011
203.4980	0.001023
203.7024	-0.000685
203.9069	0.000875
204.1113	-0.000011
204.3158	0.001044
204.5203	-0.001044
204.7248	-0.000601
204.9293	0.001613
205.1338	0.001149
205.3384	0.000917
205.5430	0.000707
205.7475	-0.000116
205.9521	0.001255
206.1567	-0.000369
206.3614	-0.000981
206.5660	0.000032
206.7706	0.000728
206.9753	-0.000685
207.1800	0.000221
207.3847	0.000770
207.5894	0.001761
207.7941	0.000791
207.9989	0.000791
208.2036	0.000369
208.4084	-0.001234
208.6132	0.000032
208.8180	0.000685
209.0228	-0.000221
209.2276	0.000200
209.4325	0.000475
209.6373	0.002647
209.8422	0.001044
210.0471	0.000200
210.2520	-0.000538
210.4569	0.000601
210.6618	-0.000011
210.8668	0.000854
211.0718	-0.000791
211.2767	0.001888
211.4817	-0.000411
211.6867	-0.001023
211.8918	0.000221
212.0968	0.001487
212.3018	0.000475
212.5069	-0.000074
212.7120	-0.000981
212.9171	0.001824
213.1222	-0.000348
213.3273	0.000200
213.5325	0.000601
213.7376	0.000538
213.9428	0.000538
214.1480	-0.000580
214.3532	0.000095
214.5584	0.000200
214.7636	-0.000137
214.9689	0.001002
215.1741	0.001128
215.3794	0.000285
215.5847	0.000116
215.7900	-0.000664
215.9953	0.000453
216.2007	0.001803
216.4060	0.000875
216.6114	0.000707
216.8168	0.000306
217.0222	0.001192
217.2276	0.000812
217.4330	0.000960
217.6384	0.000770
217.8439	-0.000074
218.0494	0.000243
218.2548	-0.000833
218.4603	0.001086
218.6659	0.001171
218.8714	0.000411
219.0769	-0.000432
219.2825	0.000411
219.4881	-0.001192
219.6936	-0.000622
219.8992	-0.000095
220.1049	-0.000896
220.3105	0.000348
220.5161	0.000306
220.7218	0.000453
220.9275	-0.000137
221.1332	0.000559
221.3389	-0.000917
221.5446	0.001803
221.7503	0.000158
221.9561	0.000179
222.1618	0.000306
222.3676	0.000200
222.5734	0.000981
222.7792	-0.000179
222.9850	0.001930
223.1909	-0.000243
223.3967	0.000517
223.6026	-0.000411
223.8085	-0.000601
224.0144	-0.000285
224.2203	0.000074
224.4262	0.000728
224.6322	0.001613
224.8381	-0.000559
225.0441	-0.000833
225.2501	0.001635
225.4561	0.000685
225.6621	0.000643
225.8681	-0.000517
226.0742	0.000622
226.2802	-0.000243
226.4863	0.000179
226.6924	0.000390
226.8985	0.000559
227.1046	0.001234
227.3107	0.002120
227.5169	-0.000032
227.7230	0.001297
227.9292	-0.001403
228.1354	0.001107
228.3416	0.000854
228.5478	0.001213
228.7541	0.002288
228.9603	0.001930
229.1666	-0.000643
229.3729	0.000728
229.5791	0.000369
229.7855	0.001128
229.9918	0.000243
230.1981	-0.000116
230.4045	0.000770
230.6108	-0.001065
230.8172	-0.000496
231.0236	0.000981
231.2300	-0.000664
231.4364	0.001234
231.6429	0.001445
231.8493	0.000432
232.0558	0.000812
232.2623	0.001023
232.4688	0.001128
232.6753	0.000411
232.8818	0.001107
233.0884	-0.001297
233.2949	0.000369
233.5015	0.001002
233.7081	0.001466
233.9147	0.001529
234.1213	0.000812
234.3279	0.001255
234.5346	0.001002
234.7413	0.000411
234.9479	-0.000116
235.1546	-0.000264
235.3613	0.000306
235.5680	0.001023
235.7748	0.001128
235.9815	0.001171
236.1883	-0.000348
236.3951	0.000032
236.6018	-0.000432
236.8087	0.000243
237.0155	0.002288
237.2223	0.000643
237.4292	-0.000158
237.6360	-0.000221
237.8429	0.000538
238.0498	0.000095
238.2567	0.000137
238.4636	0.001508
238.6706	0.001255
238.8775	0.001002
239.0845	0.000369
239.2915	0.001909
239.4985	0.000601
239.7055	0.000095
239.9125	0.000791
240.1195	-0.000053
240.3266	0.001171
240.5337	-0.000137
240.7407	-0.000580
240.9478	-0.000475
241.1549	0.000580
241.3621	0.000580
241.5692	-0.000306
241.7764	0.000896
241.9835	-0.000538
242.1907	0.001086
242.3979	-0.000243
242.6051	0.000960
242.8124	-0.000559
243.0196	0.001234
243.2269	0.000243
243.4341	0.000095
243.6414	0.000432
243.8487	0.000559
244.0560	-0.001381
244.2634	0.000453
244.4707	-0.000011
244.6781	0.000622
244.8854	0.001213
245.0928	-0.000791
245.3002	0.000601
245.5076	0.001276
245.7151	-0.000390
245.9225	-0.001171
246.1300	0.000221
246.3375	0.000517
246.5449	0.000685
246.7524	0.000601
246.9600	-0.000917
247.1675	0.001656
247.3750	0.000854
247.5826	0.001276
247.7902	-0.000032
247.9978	-0.000538
248.2054	-0.000095
248.4130	0.000116
248.6206	0.000390
248.8283	0.001424
249.0359	0.000812
249.2436	-0.000158
249.4513	0.000348
249.6590	0.000601
249.8667	-0.000728
250.0745	0.001360
250.2822	-0.001255
250.4900	0.001297
250.6978	-0.000601
250.9056	0.001171
251.1134	0.001023
251.3212	-0.000074
251.5290	-0.000327
251.7369	-0.000032
251.9447	0.000559
252.1526	0.001171
252.3605	0.000221
252.5684	0.000200
252.7763	0.000622
252.9843	0.000074
253.1922	-0.000327
253.4002	-0.000411
253.6082	0.000390
253.8162	0.000264
254.0242	-0.000095
254.2322	-0.000812
254.4402	-0.001403
254.6483	-0.000243
254.8564	0.000200
255.0644	0.002689
255.2725	0.000116
255.4806	0.000917
255.6888	0.002478
255.8969	0.001698
256.1051	0.000116
256.3132	0.000580
256.5214	-0.000348
256.7296	0.001529
256.9378	0.000011
257.1460	0.001192
257.3543	0.000285
257.5625	-0.000622
257.7708	0.000369
257.9791	0.000728
258.1874	0.000285
258.3957	0.000960
258.6040	-0.000179
258.8124	0.000369
259.0207	-0.000475
259.2291	0.001128
259.4375	-0.001065
259.6459	0.000685
259.8543	0.000116
260.0627	0.000517
260.2711	-0.000179
260.4796	0.001276
260.6881	0.000833
260.8965	0.000728
261.1050	0.001445
261.3135	0.000179
261.5221	-0.000475
261.7306	0.001656
261.9392	0.000179
262.1477	0.001128
262.3563	-0.000032
262.5649	0.000770
262.7735	-0.000390
262.9822	0.000496
263.1908	0.000749
263.3995	0.001255
263.6081	-0.000200
263.8168	0.000095
264.0255	0.000453
264.2342	0.000622
264.4429	0.000453
264.6517	-0.000116
264.8604	0.000875
265.0692	0.001930
265.2780	-0.000285
265.4868	0.000833
265.6956	-0.000032
265.9044	0.000559
266.1133	0.001192
266.3221	0.000306
266.5310	0.001107
266.7399	0.000179
266.9488	0.000243
267.1577	-0.000243
267.3666	0.000833
267.5755	0.000622
267.7845	-0.000896
267.9935	-0.000664
268.2024	-0.000137
268.4114	0.000432
268.6205	-0.000749
268.8295	0.001234
269.0385	0.000327
269.2476	0.002204
269.4566	0.000960
269.6657	0.001508
269.8748	0.001086
270.0839	-0.000179
270.2931	0.000622
270.5022	0.000643
270.7114	0.000559
270.9205	0.001339
271.1297	-0.000517
271.3389	0.000622
271.5481	-0.000285
271.7573	0.000348
271.9666	0.000538
272.1758	0.000770
272.3851	-0.000369
272.5944	0.000095
272.8037	-0.000348
273.0130	0.000981
273.2223	-0.000158
273.4316	-0.000116
273.6410	0.000432
273.8504	0.000685
274.0597	-0.000137
274.2691	-0.000812
274.4785	0.000369
274.6880	0.000601
274.8974	0.000475
275.1069	0.000538
275.3163	0.000264
275.5258	0.000369
275.7353	-0.000221
275.9448	-0.001171
276.1543	0.001086
276.3639	0.001803
276.5734	0.000728
276.7830	0.000179
276.9926	0.000643
277.2022	0.001466
277.4118	0.000074
277.6214	0.000559
277.8310	0.000475
278.0407	0.000475
278.2503	0.000601
278.4600	-0.000812
278.6697	0.001023
278.8794	0.001613
279.0891	0.000348
279.2989	0.000685
279.5086	-0.000707
279.7184	0.000264
279.9281	0.001128
280.1379	-0.000390
280.3477	-0.000580
280.5576	-0.000390
280.7674	0.000453
280.9772	0.000875
281.1871	0.000453
281.3970	0.000559
281.6069	-0.001128
281.8168	0.000179
282.0267	0.001571
282.2366	0.001360
282.4466	0.000264
282.6565	-0.000348
282.8665	-0.000749
283.0765	0.000348
283.2865	0.000179
283.4965	0.000264
283.7065	0.000432
283.9166	-0.000622
284.1266	-0.000432
284.3367	0.001276
284.5468	0.000137
284.7569	-0.000074
284.9670	0.000960
285.1771	0.000939
285.3873	-0.000580
285.5974	0.000158
285.8076	0.000285
286.0178	0.002331
286.2280	0.001635
286.4382	0.001107
286.6484	-0.000601
286.8587	0.002288
287.0689	-0.000432
287.2792	-0.000264
287.4895	0.000939
287.6998	0.000327
287.9101	0.000475
288.1204	0.000264
288.3308	0.000032
288.5411	-0.000158
288.7515	-0.000348
288.9619	0.000095
289.1723	0.000896
289.3827	0.000179
289.5931	0.000243
289.8035	0.001128
290.0140	0.000095
290.2245	-0.000854
290.4349	0.001297
290.6454	0.000749
290.8559	-0.000580
291.0665	0.001107
291.2770	0.000791
291.4875	0.000981
291.6981	0.000179
291.9087	0.001993
292.1193	0.000221
292.3299	0.000285
292.5405	0.000095
292.7511	-0.000981
292.9618	-0.000200
293.1724	0.000517
293.3831	0.000200
293.5938	0.000200
293.8045	0.000200
294.0152	0.001044
294.2260	0.000496
294.4367	0.000728
294.6475	0.000601
294.8582	-0.001023
295.0690	-0.000158
295.2798	0.000791
295.4906	-0.000200
295.7015	-0.000917
295.9123	0.000158
296.1232	0.002331
296.3340	-0.000179
296.5449	-0.000580
296.7558	0.000179
296.9667	0.000749
297.1777	-0.000432
297.3886	0.000243
297.5995	0.000664
297.8105	-0.000896
298.0215	0.001107
298.2325	0.001381
298.4435	-0.000411
298.6545	0.000285
298.8656	-0.000559
299.0766	0.000074
299.2877	0.000158
299.4988	0.000496
299.7099	0.000074
299.9210	0.000538
300.1321	0.000432
300.3432	0.000939
300.5544	-0.000074
300.7655	0.001192
300.9767	0.000622
301.1879	-0.000032
301.3991	-0.000981
301.6103	0.001107
301.8215	0.000285
302.0328	-0.000306
302.2441	-0.000327
302.4553	-0.000453
302.6666	0.000749
302.8779	0.000896
303.0892	0.000622
303.3006	0.000432
303.5119	-0.000074
303.7233	0.000770
303.9346	0.000137
304.1460	0.001740
304.3574	0.000475
304.5688	0.001445
304.7803	-0.000685
304.9917	-0.000137
305.2031	0.000243
305.4146	-0.000411
305.6261	-0.000875
305.8376	-0.000390
306.0491	0.000264
306.2606	0.000960
306.4722	0.000306
306.6837	0.001360
306.8953	0.000833
307.1069	0.000559
307.3184	-0.000011
307.5301	-0.000285
307.7417	0.000390
307.9533	0.000390
308.1650	-0.000179
308.3766	-0.000791
308.5883	-0.000580
308.8000	0.001234
309.0117	-0.000685
309.2234	0.001255
309.4351	0.000517
309.6469	0.000939
309.8586	-0.000960
310.0704	0.000559
310.2822	-0.000011
310.4940	-0.000622
310.7058	0.001487
310.9176	-0.000074
