# Wavelength	Absorbance
197.780200 -0.006839
197.984200 -0.275891
198.188200 -0.046107
198.392200 0.007284
198.596300 2.935507
198.800300 2.318063
199.004400 0.435681
199.208500 -0.216857
199.412600 -0.463349
199.616800 0.039473
199.820900 2.465383
200.025100 0.132092
200.229200 0.213473
200.433400 0.626583
200.637600 0.015910
200.841800 0.053814
201.046100 3.008600
201.250300 3.142702
201.454600 -0.082736
201.658900 3.051153
201.863100 0.023017
202.067400 -0.248603
202.271800 -0.011398
202.476100 -0.388581
202.680500 -0.124454
202.884800 0.923553
203.089200 0.692206
203.293600 -0.374181
203.498000 -0.038539
203.702400 2.336460
203.906900 -0.523832
204.111300 0.000000
204.315800 -0.093160
204.520300 0.270566
204.724800 0.075828
204.929300 -0.854221
205.133800 0.050410
205.338400 2.820201
205.543000 1.041100
205.747500 -0.063710
205.952100 0.227025
206.156700 0.093614
206.361400 0.000000
206.566000 -0.154902
206.770600 0.685329
206.975300 2.294466
207.180000 -2.245513
207.384700 -0.233803
207.589400 -2.693727
207.794100 2.480007
207.998900 -0.123641
208.203600 0.374862
208.408400 2.970812
208.613200 0.368415
208.818000 -0.722991
209.022800 -0.096910
209.227600 -0.179799
209.432500 2.907949
209.637300 0.334515
209.842200 -0.004387
210.047100 -0.086711
210.252000 2.053078
210.456900 0.357195
210.661800 3.055378
210.866800 0.515997
211.071800 0.762064
211.276700 -0.033066
211.481700 -0.070462
211.686700 0.019673
211.891800 -0.519993
212.096800 0.771593
212.301800 1.936179
212.506900 0.119172
212.712000 0.057187
212.917100 0.637510
213.122200 -0.160246
213.327300 0.802591
213.532500 -2.711807
213.737600 2.985426
213.942800 -1.449919
214.148000 -0.480826
214.353200 -2.835056
214.558400 0.082848
214.763600 1.557719
214.968900 2.896526
215.174100 3.104487
215.379400 -2.941014
215.584700 0.040097
215.790000 -0.360955
215.995300 -0.065160
216.200700 2.806180
216.406000 -0.028437
216.611400 -0.342729
216.816800 0.415483
217.022200 0.913606
217.227600 0.392633
217.433000 -0.622708
217.638400 3.047275
217.843900 -0.439175
218.049400 0.000000
218.254800 0.303341
218.460300 3.008600
218.665900 0.205308
218.871400 0.088079
219.076900 -0.009661
219.282500 2.960946
219.488100 0.186338
219.693600 -0.157111
219.899200 0.592780
220.104900 3.055378
220.310500 -0.634029
220.516100 0.000000
220.721800 0.360273
220.927500 0.506479
221.133200 0.124576
221.338900 0.080489
221.544600 0.172094
221.750300 3.183555
221.956100 -0.467520
222.161800 -0.274327
222.367600 -0.006317
222.573400 -0.191603
222.779200 -2.951823
222.985000 -3.270679
223.190900 0.255523
223.396700 -0.446638
223.602600 -0.419467
223.808500 2.736397
224.014400 2.853698
224.220300 2.935507
224.426200 0.468911
224.632200 -0.079317
224.838100 2.890421
225.044100 -0.124214
225.250100 -0.800794
225.456100 -0.021649
225.662100 -0.358325
225.868100 2.127105
226.074200 0.019673
226.280200 0.000000
226.486300 2.846955
226.692400 0.000000
226.898500 3.101403
227.104600 -0.748896
227.310700 0.160111
227.516900 2.833784
227.723000 -0.361881
227.929200 3.252853
228.135400 0.213880
228.341600 -0.386812
228.547800 0.032680
228.754100 0.810767
228.960300 -0.627808
229.166600 -2.250420
229.372900 0.196141
229.579100 0.626142
229.785500 -0.234843
229.991800 -2.074503
230.198100 2.682145
230.404500 1.963788
230.610800 3.003891
230.817200 -2.729165
231.023600 -0.127447
231.230000 0.714564
231.436400 0.291352
231.642900 2.718502
231.849300 0.157213
232.055800 -0.685127
232.262300 0.898106
232.468800 -0.492745
232.675300 -0.119946
232.881800 -0.607482
233.088400 1.037505
233.294900 -0.062556
233.501500 -0.115865
233.708100 0.000000
233.914700 2.710963
234.121300 -3.043362
234.327900 -0.164313
234.534600 -0.011582
234.741300 0.145781
234.947900 2.736397
235.154600 0.434460
235.361300 3.122544
235.568000 0.124939
235.774800 0.469633
235.981500 -0.603248
236.188300 -3.026533
236.395100 2.999565
236.601800 0.000000
236.808700 -0.440282
237.015500 0.478548
237.222300 -0.341925
237.429200 3.265290
237.636000 -0.186457
237.842900 -0.567043
238.049800 0.083498
238.256700 -0.220108
238.463600 0.408195
238.670600 2.970812
238.877500 0.231527
239.084500 -2.941014
239.291500 3.226342
239.498500 -0.343319
239.705500 -0.102403
239.912500 -0.866709
240.119500 -0.984665
240.326600 -0.981395
240.533700 0.000000
240.740700 0.370756
240.947800 0.008973
241.154900 3.059185
241.362100 -0.044673
241.569200 -0.533084
241.776400 -0.091480
241.983500 0.815421
242.190700 0.617994
242.397900 -2.897077
242.605100 -0.323118
242.812400 0.205694
243.019600 -0.151458
243.226900 2.710117
243.434100 -0.408315
243.641400 -0.331418
243.848700 -0.227213
244.056000 -2.693727
244.263400 -0.422334
244.470700 0.630999
244.678100 1.374856
244.885400 0.036984
245.092800 0.339722
245.300200 2.357935
245.507600 0.741176
245.715100 3.034628
245.922500 -0.033817
246.130000 -0.246672
246.337500 0.322618
246.544900 2.396199
246.752400 1.655289
246.960000 3.165244
247.167500 0.155431
247.375000 0.000000
247.582600 -0.273356
247.790200 -0.829763
247.997800 0.263788
248.205400 2.308683
248.413000 0.160932
248.620600 2.727541
248.828300 0.068543
249.035900 0.417816
249.243600 0.185287
249.451300 1.425063
249.659000 0.284082
249.866700 3.168203
250.074500 0.404829
250.282200 -0.039936
250.490000 -0.083567
250.697800 -0.393094
250.905600 -0.850204
251.113400 -0.235612
251.321200 1.259275
251.529000 2.008600
251.736900 -0.121535
251.944700 -0.147780
252.152600 0.724923
252.360500 2.710117
252.568400 -0.083097
252.776300 -0.141136
252.984300 -0.363758
253.192200 2.985426
253.400200 -0.455048
253.608200 -0.390900
253.816200 1.031976
254.024200 0.197878
254.232200 -0.711158
254.440200 0.000000
254.648300 -0.383522
254.856400 2.701568
255.064400 -0.165040
255.272500 0.156590
255.480600 1.047924
255.688800 -2.908485
255.896900 -0.004834
256.105100 3.284882
256.313200 -0.481954
256.521400 0.445352
256.729600 3.025715
256.937800 0.659551
257.146000 -0.107023
257.354300 -3.177825
257.562500 0.084864
257.770800 0.000000
257.979100 0.777045
258.187400 -0.201245
258.395700 -0.182976
258.604000 3.034628
258.812400 0.407195
259.020700 0.248698
259.229100 -0.151494
259.437500 -0.033135
259.645900 0.130568
259.854300 0.339446
260.062700 1.156998
260.271100 2.621176
260.479600 0.484820
260.688100 0.023217
260.896500 0.367492
261.105000 2.089905
261.313500 -0.544365
261.522100 0.099340
261.730600 0.815627
261.939200 0.112736
262.147700 0.478011
262.356300 0.051348
262.564900 -0.653213
262.773500 2.907411
262.982200 0.780081
263.190800 0.000000
263.399500 0.047560
263.608100 1.181685
263.816800 0.469962
264.025500 -0.297528
264.234200 -0.885000
264.442900 -0.640649
264.651700 0.645818
264.860400 -0.256843
265.069200 0.069787
265.278000 -0.036194
265.486800 -0.207948
265.695600 -0.511646
265.904400 -0.075682
266.113300 2.599883
266.322100 0.388472
266.531000 2.294466
266.739900 -0.244610
266.948800 -0.108964
267.157700 -0.096570
267.366600 0.182058
267.575500 0.105614
267.784500 0.581745
267.993500 0.576456
268.202400 0.458928
268.411400 -0.118276
268.620500 2.761176
268.829500 0.064167
269.038500 2.123852
269.247600 0.736397
269.456600 1.054358
269.665700 0.013849
269.874800 0.938928
270.083900 0.203349
270.293100 0.000000
270.502200 -0.377328
270.711400 2.127105
270.920500 2.833784
271.129700 2.985426
271.338900 0.174596
271.548100 0.273664
271.757300 -0.259617
271.966600 0.438635
272.175800 0.978756
272.385100 1.075675
272.594400 2.970812
272.803700 0.069780
273.013000 -0.209685
273.222300 -0.005243
273.431600 0.268167
273.641000 3.209783
273.850400 -0.403601
274.059700 0.037476
274.269100 0.076296
274.478500 0.204996
274.688000 0.322618
274.897400 0.073896
275.106900 -1.390301
275.316300 3.055378
275.525800 0.181710
275.735300 -2.482874
275.944800 0.158814
276.154300 -0.640870
276.363900 -0.092332
276.573400 -0.186427
276.783000 0.057187
276.992600 -0.083484
277.202200 0.106261
277.411800 0.245288
277.621400 -0.324383
277.831000 -0.000661
278.040700 1.469966
278.250300 2.820201
278.460000 -0.107855
278.669700 2.980458
278.879400 -0.557813
279.089100 2.691965
279.298900 -0.182340
279.508600 -0.026209
279.718400 -0.176555
279.928100 -2.539076
280.137900 3.215373
280.347700 -0.202599
280.557600 2.960946
280.767400 3.039017
280.977200 -0.412951
281.187100 -3.229426
281.397000 0.029963
281.606900 0.000000
281.816800 0.019069
282.026700 2.357935
282.236600 0.061683
282.446600 2.924279
282.656500 -2.930440
282.866500 2.791691
283.076500 -0.407399
283.286500 0.460139
283.496500 0.731747
283.706500 -0.183199
283.916600 0.231810
284.126600 0.845098
284.336700 0.623719
284.546800 -0.124096
284.756900 -0.224705
284.967000 2.896526
285.177100 0.408492
285.387300 0.000000
285.597400 3.017033
285.807600 2.127105
286.017800 -0.031680
286.228000 -2.835056
286.438200 0.536957
286.648400 1.232946
286.858700 0.676458
287.068900 0.277549
287.279200 -0.508113
287.489500 -0.278754
287.699800 0.352107
287.910100 -0.512043
288.120400 0.225761
288.330800 2.220108
288.541100 3.352954
288.751500 2.217484
288.961900 2.813581
289.172300 -2.990783
289.382700 3.074816
289.593100 -0.412642
289.803500 0.000000
290.014000 0.145402
290.224500 0.424707
290.434900 -2.418301
290.645400 0.038048
290.855900 0.945642
291.066500 1.089223
291.277000 1.036723
291.487500 2.768638
291.698100 2.768638
291.908700 -0.570029
292.119300 -0.087254
292.329900 3.042969
292.540500 -0.000811
292.751100 0.036567
292.961800 -2.930440
293.172400 -0.000293
293.383100 -2.674861
293.593800 -0.048605
293.804500 -0.717442
294.015200 0.060857
294.226000 -3.009026
294.436700 0.070176
294.647500 0.172560
294.858200 0.312889
295.069000 -0.042573
295.279800 -0.622870
295.490600 -3.043362
295.701500 3.059185
295.912300 -0.124580
296.123200 3.247728
296.334000 0.154665
296.544900 0.587644
296.755800 -0.044869
296.966700 -0.225795
297.177700 -0.025779
297.388600 -0.016820
297.599500 0.019093
297.810500 0.030316
298.021500 0.420054
298.232500 2.201397
298.443500 -1.087231
298.654500 -0.093142
298.865600 3.125806
299.076600 -0.590772
299.287700 -2.674861
299.498800 0.249301
299.709900 -0.217253
299.921000 0.005091
300.132100 0.908286
300.343200 0.448932
300.554400 0.134900
300.765500 2.853698
300.976700 -2.897077
301.187900 -0.194584
301.399100 2.813581
301.610300 0.999034
301.821500 1.507406
302.032800 -0.097183
302.244100 3.017451
302.455300 -0.086235
302.666600 -0.197453
302.877900 0.295902
303.089200 -0.403993
303.300600 3.209783
303.511900 -0.010554
303.723300 0.472493
303.934600 -0.067028
304.146000 -2.154902
304.357400 0.955848
304.568800 0.464938
304.780300 0.463124
304.991700 -0.022241
305.203100 -1.083227
305.414600 0.609550
305.626100 2.294466
305.837600 0.281523
306.049100 -0.030884
306.260600 -0.360804
306.472200 -0.695502
306.683700 -0.314826
306.895300 -0.406178
307.106900 1.101391
307.318400 0.495552
307.530100 0.490383
307.741700 0.354394
307.953300 0.206105
308.165000 -3.097951
308.376600 0.004503
308.588300 2.288050
308.800000 -0.221286
309.011700 0.329747
309.223400 1.418236
309.435100 2.450249
309.646900 0.421805
309.858600 -0.035615
310.070400 0.454184
310.282200 -1.587871
310.494000 0.452074
310.705800 1.037869
310.917600 -0.064995
311.129500 0.541253
311.341300 0.198495
311.553200 3.180413
311.765100 0.304193
311.977000 0.133677
312.188900 -0.017336
312.400800 0.268672
312.612700 -0.242676
312.824700 3.292034
313.036600 0.465238
313.248600 3.332034
313.460600 0.091080
313.672600 1.218176
313.884600 0.042998
314.096700 -0.055255
314.308700 0.286191
314.520800 0.653042
314.732800 0.595919
314.944900 0.155345
315.157000 0.391120
315.369200 3.082785
315.581300 0.030861
315.793400 -0.530627
316.005600 0.013356
316.217700 0.206307
316.429900 3.525174
316.642100 0.716416
316.854300 0.025957
317.066600 3.463445
317.278800 -0.078405
317.491100 0.240466
317.703300 0.993837
317.915600 0.051180
318.127900 1.738190
318.340200 1.129121
318.552500 0.283533
318.764900 3.139249
318.977200 0.743865
319.189600 -0.188341
319.401900 0.579135
