# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000084
197.9842	-0.001034
198.1882	-0.000380
198.3922	-0.000253
198.5963	0.000232
198.8003	0.000380
199.0044	0.001477
199.2085	-0.000359
199.4126	0.000506
199.6168	-0.001034
199.8209	0.000295
200.0251	0.000232
200.2292	0.000464
200.4334	0.000063
200.6376	0.001561
200.8418	-0.000612
201.0461	-0.000042
201.2503	0.000401
201.4546	0.000591
201.6589	-0.001667
201.8631	0.000211
202.0674	-0.001182
202.2718	0.000591
202.4761	0.001034
202.6805	0.000127
202.8848	0.001350
203.0892	0.000528
203.2936	0.000717
203.4980	0.000211
203.7024	0.000485
203.9069	0.000127
204.1113	-0.000464
204.3158	0.001097
204.5203	0.000528
204.7248	-0.001414
204.9293	-0.000338
205.1338	0.001013
205.3384	-0.000295
205.5430	0.001034
205.7475	-0.000633
205.9521	0.001182
206.1567	-0.000021
206.3614	0.000928
206.5660	0.000317
206.7706	0.000253
206.9753	0.000549
207.1800	-0.000591
207.3847	0.000675
207.5894	-0.001794
207.7941	0.000169
207.9989	-0.000338
208.2036	-0.000739
208.4084	0.000739
208.6132	-0.000739
208.8180	0.001414
209.0228	-0.000971
209.2276	0.000042
209.4325	0.000823
209.6373	0.000359
209.8422	-0.000274
210.0471	0.000760
210.2520	0.001161
210.4569	0.000190
210.6618	-0.000401
210.8668	-0.000338
211.0718	-0.000717
211.2767	0.001224
211.4817	-0.001034
211.6867	0.000633
211.8918	-0.000443
212.0968	-0.000274
212.3018	-0.000084
212.5069	0.000464
212.7120	-0.000232
212.9171	0.000992
213.1222	0.000042
213.3273	0.000211
213.5325	-0.000274
213.7376	-0.001329
213.9428	0.000443
214.1480	0.001372
214.3532	-0.000591
214.5584	-0.000211
214.7636	0.001393
214.9689	-0.000380
215.1741	-0.000443
215.3794	0.001013
215.5847	-0.001477
215.7900	0.000359
215.9953	-0.000338
216.2007	0.000063
216.4060	0.001055
216.6114	-0.000485
216.8168	-0.000717
217.0222	0.000696
217.2276	-0.000654
217.4330	0.000317
217.6384	0.000253
217.8439	-0.000422
218.0494	-0.000696
218.2548	0.000443
218.4603	-0.001287
218.6659	-0.001224
218.8714	-0.000042
219.0769	-0.000760
219.2825	-0.000570
219.4881	0.000506
219.6936	-0.000127
219.8992	0.002068
220.1049	0.000675
220.3105	-0.000042
220.5161	0.000359
220.7218	0.000443
220.9275	-0.000781
221.1332	-0.000422
221.3389	-0.001561
221.5446	0.000570
221.7503	-0.001055
221.9561	0.000380
222.1618	0.000781
222.3676	0.000443
222.5734	0.000739
222.7792	0.001646
222.9850	-0.000211
223.1909	0.000443
223.3967	0.000506
223.6026	0.000928
223.8085	0.000169
224.0144	0.000338
224.2203	0.000211
224.4262	0.000169
224.6322	0.000380
224.8381	-0.000148
225.0441	0.000443
225.2501	0.000232
225.4561	0.000127
225.6621	-0.000106
225.8681	-0.001836
226.0742	0.001245
226.2802	0.000992
226.4863	0.000106
226.6924	-0.000570
226.8985	-0.001097
227.1046	-0.000063
227.3107	0.000506
227.5169	-0.000148
227.7230	-0.000169
227.9292	0.000232
228.1354	0.000739
228.3416	-0.000844
228.5478	0.000928
228.7541	-0.000696
228.9603	-0.000781
229.1666	-0.000253
229.3729	0.002173
229.5791	-0.000190
229.7855	-0.000148
229.9918	-0.000570
230.1981	0.000760
230.4045	0.000971
230.6108	0.000169
230.8172	-0.000106
231.0236	-0.000211
231.2300	-0.000928
231.4364	-0.000211
231.6429	0.000253
231.8493	-0.000274
232.0558	0.000042
232.2623	-0.000570
232.4688	-0.000317
232.6753	0.001983
232.8818	-0.001245
233.0884	0.000443
233.2949	0.000971
233.5015	0.001540
233.7081	0.000317
233.9147	0.000021
234.1213	-0.000781
234.3279	-0.000317
234.5346	0.000042
234.7413	-0.000422
234.9479	-0.000422
235.1546	0.000717
235.3613	0.000506
235.5680	0.001161
235.7748	0.000169
235.9815	0.001751
236.1883	0.000823
236.3951	0.000971
236.6018	0.000000
236.8087	-0.001182
237.0155	0.001962
237.2223	0.000106
237.4292	-0.000148
237.6360	0.001899
237.8429	0.000760
238.0498	0.000633
238.2567	0.000464
238.4636	0.000106
238.6706	-0.002342
238.8775	0.000106
239.0845	-0.000190
239.2915	-0.000528
239.4985	0.000865
239.7055	0.000570
239.9125	-0.000760
240.1195	0.000781
240.3266	0.000464
240.5337	-0.000211
240.7407	0.000084
240.9478	-0.000591
241.1549	0.000084
241.3621	0.000865
241.5692	0.000802
241.7764	-0.000127
241.9835	0.001097
242.1907	0.000907
242.3979	-0.001329
242.6051	-0.000127
242.8124	0.000823
243.0196	0.000127
243.2269	0.000169
243.4341	0.001203
243.6414	-0.001308
243.8487	0.000359
244.0560	-0.000317
244.2634	0.000359
244.4707	-0.000696
244.6781	-0.000338
244.8854	0.001477
245.0928	-0.000317
245.3002	0.000633
245.5076	0.000802
245.7151	0.000084
245.9225	-0.000295
246.1300	-0.001097
246.3375	0.001414
246.5449	0.000021
246.7524	0.000485
246.9600	-0.000380
247.1675	-0.000886
247.3750	-0.000401
247.5826	0.000633
247.7902	0.000823
247.9978	-0.000950
248.2054	-0.000549
248.4130	0.000865
248.6206	-0.000106
248.8283	0.000211
249.0359	0.001625
249.2436	-0.000042
249.4513	0.000359
249.6590	0.000169
249.8667	-0.000907
250.0745	-0.001329
250.2822	-0.000042
250.4900	0.000570
250.6978	0.000127
250.9056	0.000021
251.1134	0.000253
251.3212	0.000317
251.5290	-0.001287
251.7369	-0.000190
251.9447	0.000591
252.1526	-0.000422
252.3605	0.000380
252.5684	0.001076
252.7763	0.003081
252.9843	0.000549
253.1922	0.000063
253.4002	0.000528
253.6082	-0.000401
253.8162	0.000127
254.0242	-0.000528
254.2322	-0.001139
254.4402	-0.000422
254.6483	-0.000063
254.8564	0.000211
255.0644	0.000232
255.2725	-0.000211
255.4806	0.000696
255.6888	0.000295
255.8969	0.000591
256.1051	0.000549
256.3132	0.001266
256.5214	-0.001118
256.7296	-0.000928
256.9378	-0.000295
257.1460	0.001224
257.3543	0.001245
257.5625	0.000506
257.7708	0.000675
257.9791	0.000127
258.1874	-0.000084
258.3957	0.000844
258.6040	-0.000232
258.8124	0.000042
259.0207	0.000084
259.2291	0.000148
259.4375	0.000338
259.6459	0.000000
259.8543	-0.001034
260.0627	0.000169
260.2711	0.000042
260.4796	-0.000907
260.6881	0.000084
260.8965	-0.000084
261.1050	-0.000148
261.3135	0.001372
261.5221	0.000295
261.7306	0.000528
261.9392	-0.000422
262.1477	-0.000506
262.3563	-0.000084
262.5649	0.000907
262.7735	0.000232
262.9822	0.001097
263.1908	-0.000464
263.3995	0.001182
263.6081	0.000971
263.8168	0.000971
264.0255	-0.001161
264.2342	-0.000506
264.4429	0.000971
264.6517	0.000127
264.8604	0.000127
265.0692	0.000211
265.2780	-0.001435
265.4868	0.000739
265.6956	-0.000274
265.9044	0.000380
266.1133	-0.000928
266.3221	-0.000317
266.5310	-0.000106
266.7399	-0.000591
266.9488	0.000675
267.1577	-0.002406
267.3666	-0.000401
267.5755	0.001224
267.7845	-0.000042
267.9935	0.001097
268.2024	0.000000
268.4114	0.000675
268.6205	-0.001477
268.8295	0.000506
269.0385	-0.000485
269.2476	0.000950
269.4566	-0.001224
269.6657	-0.000148
269.8748	-0.000612
270.0839	0.000591
270.2931	-0.000084
270.5022	0.000253
270.7114	-0.000422
270.9205	-0.000021
271.1297	-0.000232
271.3389	0.000021
271.5481	0.000971
271.7573	0.000211
271.9666	-0.000570
272.1758	0.000675
272.3851	-0.000127
272.5944	0.000317
272.8037	0.000084
273.0130	0.000317
273.2223	-0.000106
273.4316	-0.000359
273.6410	0.000190
273.8504	0.000907
274.0597	0.000127
274.2691	-0.000232
274.4785	-0.000950
274.6880	0.001329
274.8974	-0.000886
275.1069	-0.000549
275.3163	0.000633
275.5258	-0.000211
275.7353	0.000633
275.9448	0.000549
276.1543	-0.000570
276.3639	0.001477
