# Wavelength (nm)	Intensity (a.u.)
197.7802	-0.000643
197.9842	-0.001489
198.1882	0.000583
198.3922	-0.000453
198.5963	-0.000707
198.8003	0.000562
199.0044	0.000139
199.2085	0.000118
199.4126	0.000943
199.6168	-0.001405
199.8209	0.002233
200.0251	-0.001764
200.2292	-0.000009
200.4334	-0.000241
200.6376	-0.000072
200.8418	0.000901
201.0461	0.001641
201.2503	-0.000538
201.4546	0.000774
201.6589	-0.000664
201.8631	0.001049
202.0674	0.000499
202.2718	0.001133
202.4761	-0.000749
202.6805	0.000118
202.8848	-0.001003
203.0892	-0.000707
203.2936	0.000985
203.4980	0.000055
203.7024	0.000837
203.9069	0.000182
204.1113	0.000414
204.3158	-0.000136
204.5203	0.000943
204.7248	-0.000389
204.9293	-0.001954
205.1338	0.001133
205.3384	-0.002187
205.5430	-0.000601
205.7475	-0.000368
205.9521	0.001831
206.1567	0.001746
206.3614	0.000922
206.5660	0.001916
206.7706	0.002254
206.9753	0.000774
207.1800	-0.000157
207.3847	0.000393
207.5894	0.000012
207.7941	-0.000241
207.9989	0.001810
208.2036	0.000097
208.4084	0.000943
208.6132	-0.000241
208.8180	0.001725
209.0228	-0.001214
209.2276	0.000478
209.4325	0.000372
209.6373	0.000245
209.8422	-0.001637
210.0471	0.001239
210.2520	-0.000241
210.4569	0.000308
210.6618	-0.000072
210.8668	0.000139
211.0718	-0.001066
211.2767	0.001493
211.4817	0.001175
211.6867	-0.000030
211.8918	0.000922
212.0968	0.000668
212.3018	0.000689
212.5069	0.002212
212.7120	0.000795
212.9171	0.000541
213.1222	0.000351
213.3273	0.000203
213.5325	0.000795
213.7376	-0.001257
213.9428	-0.000918
214.1480	-0.000918
214.3532	-0.000580
214.5584	0.000266
214.7636	-0.000263
214.9689	-0.000538
215.1741	-0.001426
215.3794	-0.000030
215.5847	-0.001362
215.7900	-0.000220
215.9953	0.000330
216.2007	0.001408
216.4060	-0.000411
216.6114	0.000139
216.8168	-0.000389
217.0222	-0.000030
217.2276	0.000816
217.4330	-0.000115
217.6384	0.000922
217.8439	0.000731
218.0494	-0.000347
218.2548	0.001070
218.4603	-0.000516
218.6659	0.001641
218.8714	0.000943
219.0769	0.001197
219.2825	0.000033
219.4881	0.000562
219.6936	0.000266
219.8992	0.002000
220.1049	-0.000241
220.3105	-0.000728
220.5161	-0.000707
220.7218	0.000287
220.9275	0.001154
221.1332	-0.000178
221.3389	0.000033
221.5446	0.000604
221.7503	-0.000030
221.9561	0.001472
222.1618	0.000541
222.3676	0.000583
222.5734	-0.001468
222.7792	0.000160
222.9850	0.000203
223.1909	0.000816
223.3967	-0.000516
223.6026	0.000055
223.8085	0.000351
224.0144	-0.000453
224.2203	-0.000368
224.4262	0.000604
224.6322	0.002106
224.8381	-0.001087
225.0441	-0.001362
225.2501	0.000710
225.4561	-0.000178
225.6621	0.000266
225.8681	-0.000474
226.0742	-0.000411
226.2802	-0.000601
226.4863	-0.000136
226.6924	0.001027
226.8985	0.000922
227.1046	-0.000960
227.3107	-0.000982
227.5169	-0.000749
227.7230	-0.001066
227.9292	0.001324
228.1354	0.001450
228.3416	-0.000284
228.5478	0.002021
228.7541	-0.000389
228.9603	0.000330
229.1666	0.001429
229.3729	-0.000030
229.5791	-0.001109
229.7855	-0.001003
229.9918	-0.001257
230.1981	-0.001489
230.4045	0.001006
230.6108	-0.000093
230.8172	0.001175
231.0236	-0.001299
231.2300	-0.001806
231.4364	-0.001193
231.6429	-0.000284
231.8493	0.001958
232.0558	-0.002356
232.2623	-0.000347
232.4688	0.000795
232.6753	0.000456
232.8818	0.000287
233.0884	-0.000220
233.2949	0.000203
233.5015	0.001070
233.7081	0.000012
233.9147	-0.000516
234.1213	-0.000115
234.3279	0.000731
234.5346	0.000203
234.7413	0.000985
234.9479	-0.000072
235.1546	0.000604
235.3613	-0.000580
235.5680	0.000245
235.7748	-0.000326
235.9815	0.000012
236.1883	-0.000411
236.3951	0.001704
236.6018	0.001472
236.8087	0.001895
237.0155	0.000414
237.2223	-0.000601
237.4292	0.000689
237.6360	0.000478
237.8429	0.001641
238.0498	-0.000199
238.2567	-0.000622
238.4636	0.002021
238.6706	0.000858
238.8775	-0.000199
239.0845	-0.000643
239.2915	-0.000030
239.4985	-0.001172
239.7055	-0.000432
239.9125	-0.001680
240.1195	0.000308
240.3266	-0.000474
240.5337	0.000287
240.7407	0.001070
240.9478	-0.000918
241.1549	-0.001680
241.3621	0.000456
241.5692	-0.000389
241.7764	0.000604
241.9835	-0.000432
242.1907	0.000182
242.3979	-0.000834
242.6051	0.000964
242.8124	0.000731
243.0196	-0.000728
243.2269	-0.000326
243.4341	0.000816
243.6414	0.000372
243.8487	0.000626
244.0560	0.002275
244.2634	0.001175
244.4707	-0.000474
244.6781	0.000224
244.8854	-0.000051
245.0928	0.000414
245.3002	-0.001806
245.5076	-0.000538
245.7151	-0.000516
245.9225	0.000837
246.1300	-0.000834
246.3375	0.000393
246.5449	-0.000559
246.7524	-0.000072
246.9600	-0.000072
247.1675	0.002254
247.3750	0.001006
247.5826	0.001049
247.7902	-0.001976
247.9978	0.000626
248.2054	-0.000326
248.4130	-0.000368
248.6206	0.000647
248.8283	0.000160
249.0359	0.002021
249.2436	0.001704
249.4513	-0.000326
249.6590	-0.000495
249.8667	0.000266
250.0745	0.000182
250.2822	-0.000305
250.4900	-0.000411
250.6978	-0.001976
250.9056	0.000351
251.1134	-0.000178
251.3212	0.001620
251.5290	0.000012
251.7369	0.000055
251.9447	-0.001553
252.1526	-0.000326
252.3605	0.000160
252.5684	0.000456
252.7763	-0.001383
252.9843	-0.000474
253.1922	-0.001130
253.4002	0.001091
253.6082	-0.000411
253.8162	-0.000516
254.0242	-0.001405
254.2322	0.000435
254.4402	-0.000030
254.6483	0.000287
254.8564	-0.001172
255.0644	0.000033
255.2725	-0.000030
255.4806	-0.000347
255.6888	-0.001743
