# Wavelength (nm)	Intensity (a.u.)
197.7802	0.001431
197.9842	0.000081
198.1882	-0.000130
198.3922	-0.000151
198.5963	0.001051
198.8003	-0.000573
199.0044	0.000840
199.2085	-0.000278
199.4126	0.000081
199.6168	-0.000636
199.8209	-0.000025
200.0251	0.000144
200.2292	0.000777
200.4334	0.000271
200.6376	-0.001100
200.8418	0.000608
201.0461	-0.000172
201.2503	-0.000657
201.4546	0.000524
201.6589	0.000376
201.8631	0.001199
202.0674	0.000566
202.2718	0.000081
202.4761	-0.000573
202.6805	0.001136
202.8848	-0.000573
203.0892	0.000988
203.2936	0.000672
203.4980	-0.000257
203.7024	-0.001143
203.9069	0.002486
204.1113	-0.000383
204.3158	0.000756
204.5203	0.000271
204.7248	0.000376
204.9293	-0.000468
205.1338	0.000693
205.3384	0.000693
205.5430	0.000503
205.7475	-0.000932
205.9521	0.000123
206.1567	-0.000193
206.3614	0.001030
206.5660	-0.000172
206.7706	0.000904
206.9753	0.000271
207.1800	-0.000468
207.3847	0.001136
207.5894	0.000882
207.7941	-0.000214
207.9989	0.001705
208.2036	0.000482
208.4084	0.001389
208.6132	-0.000826
208.8180	-0.000742
209.0228	-0.001143
209.2276	0.000545
209.4325	0.000123
209.6373	0.000735
209.8422	-0.001311
210.0471	0.000735
210.2520	0.000418
210.4569	0.001241
210.6618	-0.000172
210.8668	0.001009
211.0718	0.000102
211.2767	0.001093
211.4817	-0.000362
211.6867	0.000334
211.8918	-0.000721
212.0968	0.000777
212.3018	-0.000257
212.5069	-0.000763
212.7120	0.000756
212.9171	0.001726
213.1222	-0.000784
213.3273	0.001853
213.5325	-0.000236
213.7376	0.001515
213.9428	0.000060
214.1480	0.000229
214.3532	-0.000046
214.5584	0.001642
214.7636	0.000735
214.9689	0.001347
215.1741	0.000376
215.3794	0.001768
215.5847	-0.000468
215.7900	0.000629
215.9953	-0.000700
216.2007	-0.000362
216.4060	-0.000404
216.6114	-0.000679
216.8168	0.000777
217.0222	0.000735
217.2276	0.000186
217.4330	-0.000531
217.6384	-0.000489
217.8439	0.000418
218.0494	-0.000383
218.2548	0.001009
218.4603	0.000840
218.6659	0.001684
218.8714	0.000925
219.0769	-0.000172
219.2825	0.000566
219.4881	0.002022
219.6936	0.000777
219.8992	0.001157
220.1049	0.001072
220.3105	0.001684
