# Wavelength	Absorbance
197.780200 -0.277118
197.984200 0.999464
198.188200 3.093772
198.392200 2.682145
198.596300 -0.086095
198.800300 2.318063
199.004400 -0.005725
199.208500 2.866287
199.412600 0.868216
199.616800 2.768638
199.820900 2.465383
200.025100 0.719584
200.229200 -0.426528
200.433400 0.575631
200.637600 2.745075
200.841800 0.118099
201.046100 3.008600
201.250300 3.142702
201.454600 0.501561
201.658900 0.475965
201.863100 -0.084062
202.067400 0.007606
202.271800 1.185287
202.476100 2.896526
202.680500 -0.228009
202.884800 2.980458
203.089200 0.039872
203.293600 -0.082294
203.498000 2.913284
203.702400 2.336460
203.906900 -1.436460
204.111300 0.000000
204.315800 -0.150168
204.520300 0.629989
204.724800 0.012523
204.929300 2.396199
205.133800 0.253039
205.338400 -0.020532
205.543000 0.469866
205.747500 2.682145
205.952100 0.701786
206.156700 3.034628
206.361400 -3.012837
206.566000 2.187521
206.770600 0.212034
206.975300 -0.138503
207.180000 0.845098
207.384700 -0.467667
207.589400 -2.945469
207.794100 2.480007
207.998900 -0.609510
208.203600 0.469241
208.408400 -0.171891
208.613200 2.820201
208.818000 2.495544
209.022800 2.414973
209.227600 0.083805
209.432500 0.818043
209.637300 -0.113471
209.842200 2.294466
210.047100 -0.067637
210.252000 -0.568098
210.456900 -0.007412
210.661800 3.055378
210.866800 0.100937
211.071800 1.095887
211.276700 -0.130672
211.481700 2.736397
211.686700 0.108711
211.891800 2.480007
212.096800 0.445839
212.301800 2.890421
212.506900 3.209783
212.712000 0.087150
212.917100 -0.010699
213.122200 2.866287
213.327300 -0.046983
213.532500 0.000000
213.737600 -0.194986
213.942800 -0.330993
214.148000 0.271608
214.353200 0.000000
214.558400 -0.259205
214.763600 0.399002
214.968900 -0.232841
215.174100 0.529299
215.379400 -3.247482
215.584700 2.846955
215.790000 0.222952
215.995300 2.820201
216.200700 2.806180
216.406000 2.902003
216.611400 2.587711
216.816800 -0.056637
217.022200 -0.245111
217.227600 0.816847
217.433000 2.536558
217.638400 3.047275
217.843900 0.079527
218.049400 0.000000
218.254800 0.271190
218.460300 0.084321
218.665900 -0.039668
218.871400 0.268376
219.076900 2.990339
219.282500 0.208130
219.488100 -0.258506
219.693600 -0.106517
219.899200 0.204308
220.104900 0.025184
220.310500 -1.067980
220.516100 -3.047275
220.721800 0.273366
220.927500 3.071145
221.133200 2.902003
221.338900 -0.136617
221.544600 2.846955
221.750300 0.217413
221.956100 -0.078015
222.161800 -0.380875
222.367600 0.417740
222.573400 -0.125185
222.779200 -2.359835
222.985000 -2.812913
223.190900 1.108966
223.396700 -0.257346
223.602600 -0.640312
223.808500 0.827911
224.014400 1.262634
224.220300 1.027022
224.426200 -0.461081
224.632200 0.510057
224.838100 0.091770
225.044100 -0.115426
225.250100 2.550228
225.456100 -0.609713
225.662100 2.632457
225.868100 2.127105
226.074200 -0.103939
226.280200 -3.021603
226.486300 0.577442
226.692400 -2.985426
226.898500 0.943041
227.104600 -0.607537
227.310700 0.490758
227.516900 -0.340566
227.723000 -0.834374
227.929200 0.181708
228.135400 -0.146076
228.341600 -0.256308
228.547800 0.465762
228.754100 3.003891
228.960300 0.028029
229.166600 -2.752816
229.372900 0.171552
229.579100 0.465563
229.785500 2.791691
229.991800 0.845098
230.198100 0.464661
230.404500 1.963788
230.610800 -0.097168
230.817200 -1.255273
231.023600 0.226720
231.230000 -0.509520
231.436400 0.148397
231.642900 2.718502
231.849300 2.791691
232.055800 2.008600
232.262300 3.280123
232.468800 1.959041
232.675300 1.110503
232.881800 -0.385543
233.088400 -0.423128
233.294900 2.550228
233.501500 0.133365
233.708100 -1.255273
233.914700 0.187217
234.121300 0.000000
234.327900 -0.050668
234.534600 -0.145224
234.741300 -0.175165
234.947900 2.736397
235.154600 0.244233
235.361300 3.122544
235.568000 0.076547
235.774800 0.504395
235.981500 0.292780
236.188300 -2.523746
236.395100 0.121044
236.601800 0.000000
236.808700 0.162296
237.015500 0.120688
237.222300 -0.308268
237.429200 3.265290
237.636000 0.467781
237.842900 -0.850310
238.049800 -0.296819
238.256700 -0.482874
238.463600 0.097192
238.670600 -0.005080
238.877500 0.638220
239.084500 0.000000
239.291500 0.562641
239.498500 2.245513
239.705500 -0.411926
239.912500 1.845098
240.119500 -0.992851
240.326600 -0.924946
240.533700 -2.956168
240.740700 -0.508191
240.947800 0.206435
241.154900 0.563640
241.362100 0.557998
241.569200 -0.406163
241.776400 0.246314
241.983500 -0.082384
242.190700 0.379457
242.397900 -3.129368
242.605100 0.759668
242.812400 2.587711
243.019600 0.021401
243.226900 2.710117
243.434100 0.270819
243.641400 -0.165606
243.848700 0.008946
244.056000 -2.315970
244.263400 -0.010488
244.470700 -0.097627
244.678100 0.087669
244.885400 0.547529
245.092800 0.039681
245.300200 -0.508352
245.507600 0.137440
245.715100 3.034628
245.922500 0.147603
246.130000 -1.715020
246.337500 3.183555
246.544900 -0.494222
246.752400 1.046889
246.960000 3.165244
247.167500 0.997889
247.375000 0.000000
247.582600 -0.116987
247.790200 -0.514737
247.997800 3.025715
248.205400 1.173020
248.413000 2.872739
248.620600 2.727541
248.828300 0.222938
249.035900 3.030600
249.243600 -0.080579
249.451300 0.922560
249.659000 -0.172359
249.866700 -0.118927
250.074500 1.217742
250.282200 3.189490
250.490000 0.804119
250.697800 2.846955
250.905600 0.571522
251.113400 2.929930
251.321200 0.053349
251.529000 -0.710731
251.736900 3.177536
251.944700 0.296253
252.152600 3.289589
252.360500 1.119053
252.568400 0.572853
252.776300 2.397940
252.984300 -0.350850
253.192200 2.985426
253.400200 0.044582
253.608200 2.599883
253.816200 3.282396
254.024200 -0.221033
254.232200 -0.789147
254.440200 -2.089905
254.648300 -0.404973
254.856400 2.701568
255.064400 0.416139
255.272500 -0.003455
255.480600 0.483652
255.688800 0.000000
255.896900 -0.270835
256.105100 3.284882
256.313200 2.752816
256.521400 0.043466
256.729600 0.342668
256.937800 3.171434
257.146000 -0.340290
257.354300 -2.683047
257.562500 0.628932
257.770800 -1.778151
257.979100 1.105441
258.187400 -0.142107
258.395700 -0.204344
258.604000 3.034628
258.812400 0.395332
259.020700 0.427334
259.229100 -0.021506
259.437500 -0.028000
259.645900 1.189782
259.854300 2.878522
260.062700 -0.010605
260.271100 2.621176
260.479600 0.880120
260.688100 0.653808
260.896500 0.454202
261.105000 2.089905
261.313500 -0.257346
261.522100 -0.072671
261.730600 0.282260
261.939200 2.701568
262.147700 0.831532
262.356300 -0.067839
262.564900 -0.376725
262.773500 -0.186360
262.982200 0.042742
263.190800 0.000000
263.399500 0.051186
263.608100 0.440227
263.816800 -0.036517
264.025500 -0.616638
264.234200 -0.543205
264.442900 2.053078
264.651700 0.195601
264.860400 0.884607
265.069200 0.149150
265.278000 0.066060
265.486800 0.009749
265.695600 2.450249
265.904400 -0.280873
266.113300 -0.335120
266.322100 0.107165
266.531000 -0.441930
266.739900 2.294466
266.948800 3.125806
267.157700 -0.091096
267.366600 3.055378
267.575500 -0.279479
267.784500 -0.151340
267.993500 -0.068576
268.202400 0.143442
268.411400 3.021603
268.620500 2.761176
268.829500 0.686069
269.038500 -0.474939
269.247600 0.809306
269.456600 -1.077760
269.665700 0.390484
269.874800 0.154595
270.083900 0.789890
270.293100 0.000000
270.502200 0.121345
270.711400 -1.099237
270.920500 -0.196410
271.129700 1.730154
271.338900 -0.094173
271.548100 2.691965
271.757300 -0.125445
271.966600 -0.180724
272.175800 3.277609
272.385100 0.667197
272.594400 2.970812
272.803700 1.113118
273.013000 2.799341
273.222300 -0.247536
273.431600 -0.179344
273.641000 3.209783
273.850400 0.037867
274.059700 -0.183407
274.269100 3.209515
274.478500 0.733368
274.688000 0.342821
274.897400 1.275223
275.106900 -1.635277
275.316300 -0.112824
275.525800 0.403370
275.735300 -2.827369
275.944800 2.965672
276.154300 0.393245
276.363900 3.012837
276.573400 2.840106
276.783000 -0.177030
276.992600 0.225779
277.202200 0.034438
277.411800 -0.075990
277.621400 -0.373518
277.831000 0.334692
278.040700 0.311249
278.250300 2.820201
278.460000 0.122594
278.669700 0.297411
278.879400 -0.420729
279.089100 2.691965
279.298900 0.712446
279.508600 1.434651
279.718400 0.178998
279.928100 0.000000
280.137900 0.229947
280.347700 0.033667
280.557600 0.259378
280.767400 0.606048
280.977200 0.135760
281.187100 -1.908485
281.397000 3.089905
281.606900 -2.736397
281.816800 0.286001
282.026700 -0.378462
282.236600 0.044582
282.446600 0.070581
282.656500 -1.778151
282.866500 2.791691
283.076500 2.338456
283.286500 0.591531
283.496500 -0.098768
283.706500 0.171015
283.916600 -0.163907
284.126600 -2.158793
284.336700 0.876237
284.546800 -0.527567
284.756900 3.025715
284.967000 0.112623
285.177100 0.274331
285.387300 -2.008600
285.597400 0.927128
285.807600 -1.253287
286.017800 0.090126
286.228000 -3.086360
286.438200 -0.070859
286.648400 0.298052
286.858700 3.265290
287.068900 0.024026
287.279200 0.757050
287.489500 -0.487030
287.699800 3.158965
287.910100 -0.269245
288.120400 -0.258506
288.330800 2.220108
288.541100 3.352954
288.751500 -0.595429
288.961900 0.655218
289.172300 -2.890421
289.382700 3.074816
289.593100 2.913284
289.803500 -2.550228
290.014000 2.980458
290.224500 0.028990
290.434900 -2.985426
290.645400 0.775303
290.855900 0.220243
291.066500 0.377490
291.277000 -0.168991
291.487500 0.032242
291.698100 0.049307
291.908700 -0.865663
292.119300 3.059185
292.329900 0.164447
292.540500 0.819869
292.751100 0.000000
292.961800 -3.012837
293.172400 -0.014957
293.383100 0.000000
293.593800 0.777273
293.804500 -0.125632
294.015200 0.114171
294.226000 -2.798651
294.436700 2.799341
294.647500 2.866287
294.858200 0.044622
295.069000 -0.030981
295.279800 0.017065
295.490600 -2.966142
295.701500 -0.063031
295.912300 1.074185
296.123200 0.672540
296.334000 -0.146956
296.544900 0.918869
296.755800 3.220892
296.966700 0.135760
297.177700 2.945961
297.388600 1.343939
297.599500 -0.809306
297.810500 0.019113
298.021500 0.110599
298.232500 -0.180620
298.443500 1.690196
298.654500 1.087631
298.865600 1.217321
299.076600 -0.609510
299.287700 -2.975891
299.498800 0.266121
299.709900 -0.253637
299.921000 0.163372
300.132100 0.769107
300.343200 0.285019
300.554400 -0.445996
300.765500 0.254908
300.976700 -2.621176
301.187900 0.706547
301.399100 2.813581
301.610300 0.465667
301.821500 0.149365
302.032800 0.402919
302.244100 0.051309
302.455300 0.313701
302.666600 0.128330
302.877900 1.067980
303.089200 -0.284530
303.300600 0.992299
303.511900 2.970812
303.723300 1.146128
303.934600 0.334567
304.146000 -2.310542
304.357400 -0.542922
304.568800 -0.019332
304.780300 1.033926
304.991700 -0.371022
305.203100 2.271842
305.414600 0.285098
305.626100 2.294466
305.837600 0.071756
306.049100 0.252228
306.260600 0.653213
306.472200 -0.656490
306.683700 -0.039466
306.895300 2.575188
307.106900 0.962211
307.318400 -0.133574
307.530100 0.126624
307.741700 2.806180
307.953300 -0.016652
308.165000 0.000000
308.376600 0.319821
308.588300 1.024809
308.800000 -0.036918
309.011700 3.215109
309.223400 -0.003561
309.435100 -0.302567
309.646900 -0.253666
309.858600 0.785483
310.070400 -0.063522
310.282200 -1.708482
310.494000 0.362850
310.705800 3.168203
310.917600 0.310878
311.129500 0.344562
311.341300 0.383162
311.553200 0.278410
311.765100 1.230764
311.977000 3.142702
312.188900 0.572315
312.400800 3.030600
312.612700 0.437649
312.824700 3.292034
313.036600 -0.132847
313.248600 0.418750
313.460600 2.999565
313.672600 3.275081
313.884600 3.086360
314.096700 2.599883
314.308700 0.774394
314.520800 0.609284
314.732800 0.467774
314.944900 3.146128
315.157000 0.522126
315.369200 3.082785
315.581300 0.532557
315.793400 2.653213
316.005600 0.291339
316.217700 0.808367
316.429900 0.521283
316.642100 0.384299
316.854300 0.227484
317.066600 0.320743
317.278800 0.213019
317.491100 3.192289
317.703300 0.672559
317.915600 2.041173
318.127900 0.424157
318.340200 3.097604
318.552500 0.427903
318.764900 3.139249
318.977200 0.433701
319.189600 3.030195
319.401900 0.058479
319.614300 0.721272
319.826700 0.197532
320.039200 0.280067
320.251600 0.462679
320.464000 3.336260
320.676500 3.265290
320.889000 -0.030161
321.101400 0.144769
321.313900 3.310268
321.526500 0.318418
321.739000 3.376577
321.951500 0.357625
322.164100 3.132580
322.376600 0.421827
322.589200 3.362859
322.801800 3.327767
323.014400 0.520239
323.227000 0.570973
323.439700 3.437433
323.652300 0.363065
323.865000 3.374748
324.077700 1.288595
324.290400 3.310268
324.503100 0.235877
324.715800 1.181670
324.928500 0.875469
325.141200 3.384174
325.354000 0.441063
325.566800 0.814687
325.779600 0.395903
325.992400 0.916770
