# Wavelength	Absorbance
197.780200 2.878522
197.984200 0.435192
198.188200 0.621015
198.392200 2.682145
198.596300 0.607128
198.800300 0.034762
199.004400 -0.401592
199.208500 -0.111893
199.412600 0.036338
199.616800 -0.419165
199.820900 -0.615244
200.025100 2.877947
200.229200 2.463893
200.433400 3.008600
200.637600 0.272318
200.841800 0.058147
201.046100 0.639384
201.250300 1.113318
201.454600 3.220892
201.658900 0.054203
201.863100 -0.028907
202.067400 0.529974
202.271800 0.249916
202.476100 0.139890
202.680500 0.297170
202.884800 2.980458
203.089200 -0.153174
203.293600 2.745075
203.498000 -0.064897
203.702400 2.336460
203.906900 -1.240714
204.111300 0.000000
204.315800 -0.115502
204.520300 3.062958
204.724800 2.587711
204.929300 2.396199
205.133800 -0.069688
205.338400 2.820201
205.543000 3.171434
205.747500 2.682145
205.952100 -0.318225
206.156700 0.927418
206.361400 0.000000
206.566000 -0.518343
206.770600 0.995016
206.975300 0.481553
207.180000 0.845098
207.384700 0.146802
207.589400 0.000000
207.794100 0.151627
207.998900 -0.194690
208.203600 3.152288
208.408400 2.970812
208.613200 0.647015
208.818000 0.682631
209.022800 2.414973
209.227600 -0.117818
209.432500 0.351646
209.637300 0.280060
209.842200 -0.033913
210.047100 2.798651
210.252000 2.053078
210.456900 0.380496
210.661800 3.055378
210.866800 3.104828
211.071800 3.104487
211.276700 0.467039
211.481700 2.736397
211.686700 2.632457
211.891800 -0.322767
212.096800 3.336260
212.301800 -0.025506
212.506900 3.209783
212.712000 0.278143
212.917100 0.095365
213.122200 2.866287
213.327300 3.220892
213.532500 0.000000
213.737600 0.512670
213.942800 1.447158
214.148000 2.631444
214.353200 0.000000
214.558400 2.956168
214.763600 1.092103
214.968900 0.027294
215.174100 0.317027
215.379400 0.000000
215.584700 0.198595
215.790000 0.848416
215.995300 -0.423333
216.200700 1.444452
216.406000 2.902003
216.611400 2.587711
216.816800 1.020871
217.022200 -0.272030
217.227600 3.086360
217.433000 2.536558
217.638400 3.047275
217.843900 2.700704
218.049400 -3.222196
218.254800 0.431225
218.460300 3.008600
218.665900 3.186674
218.871400 0.546988
219.076900 2.990339
219.282500 2.960946
219.488100 3.047275
219.693600 0.553455
219.899200 1.160431
220.104900 3.055378
220.310500 -0.790050
220.516100 -2.328380
220.721800 0.069383
220.927500 3.071145
221.133200 -0.002713
221.338900 2.902003
221.544600 -0.091064
221.750300 3.183555
221.956100 0.878028
222.161800 2.338456
222.367600 0.806074
222.573400 0.360151
222.779200 -2.987666
222.985000 -2.958564
223.190900 0.124244
223.396700 -0.027184
223.602600 0.989005
223.808500 2.736397
224.014400 -0.249078
224.220300 -0.240294
224.426200 2.719331
224.632200 -0.240942
224.838100 0.607120
225.044100 -0.149561
225.250100 -0.693306
225.456100 0.004853
225.662100 0.349156
225.868100 2.127105
226.074200 0.076155
226.280200 0.000000
226.486300 -0.185260
226.692400 0.000000
226.898500 -0.001373
227.104600 2.294466
227.310700 0.484568
227.516900 2.833784
227.723000 -0.726999
227.929200 3.252853
228.135400 0.244228
228.341600 -0.315805
228.547800 0.067229
228.754100 0.974507
228.960300 -0.713051
229.166600 0.000000
229.372900 0.120488
229.579100 2.683047
229.785500 2.791691
229.991800 0.845098
230.198100 2.682145
230.404500 1.963788
230.610800 3.003891
230.817200 -2.723456
231.023600 -0.150577
231.230000 2.683047
231.436400 3.152288
231.642900 2.718502
231.849300 -0.413784
232.055800 -0.714856
232.262300 0.041826
232.468800 1.959041
232.675300 2.701568
232.881800 -0.087646
233.088400 2.745075
233.294900 -0.006074
233.501500 0.495463
233.708100 -3.157154
233.914700 2.710963
234.121300 0.000000
234.327900 -0.564733
234.534600 2.682145
234.741300 0.814303
234.947900 -0.222167
235.154600 0.633878
235.361300 3.122544
235.568000 3.022016
235.774800 2.662758
235.981500 2.562293
236.188300 -0.301030
236.395100 -0.024098
236.601800 -2.604226
236.808700 1.026448
237.015500 0.678120
237.222300 -0.178517
237.429200 3.265290
237.636000 3.042969
237.842900 1.851258
238.049800 0.745368
238.256700 0.025847
238.463600 -0.093821
238.670600 2.970812
238.877500 0.721058
239.084500 -2.756636
239.291500 1.119132
239.498500 -0.037789
239.705500 -0.380211
239.912500 1.845098
240.119500 -0.482990
240.326600 2.190332
240.533700 -2.328380
240.740700 -0.509800
240.947800 -0.090288
241.154900 3.059185
241.362100 3.108227
241.569200 2.632457
241.776400 0.371765
241.983500 0.078040
242.190700 3.206826
242.397900 0.000000
242.605100 -0.527387
242.812400 2.587711
243.019600 0.536429
243.226900 0.897204
243.434100 -0.521764
243.641400 0.155472
243.848700 -0.246279
244.056000 -3.137671
244.263400 1.291485
244.470700 3.082785
244.678100 0.675886
244.885400 0.415269
245.092800 -0.233782
245.300200 -0.568922
245.507600 3.330008
245.715100 0.328765
245.922500 -0.111546
246.130000 1.230449
246.337500 0.073639
246.544900 2.396199
246.752400 3.362859
246.960000 3.165244
247.167500 1.402460
247.375000 -2.369216
247.582600 -0.222993
247.790200 1.845098
247.997800 -0.285615
248.205400 3.262925
248.413000 -0.222779
248.620600 0.554355
248.828300 0.829304
249.035900 3.030600
249.243600 0.986562
249.451300 3.282396
249.659000 0.751658
249.866700 3.168203
250.074500 0.344957
250.282200 3.189490
250.490000 0.394237
250.697800 0.477739
250.905600 -0.526031
251.113400 0.699481
251.321200 0.329856
251.529000 -0.748036
251.736900 3.177536
251.944700 3.186674
252.152600 0.132435
252.360500 0.269208
252.568400 -0.447158
252.776300 2.397940
252.984300 -0.390917
253.192200 2.985426
253.400200 0.330777
253.608200 -0.187577
253.816200 3.282396
254.024200 0.431830
254.232200 -0.141329
254.440200 -1.934498
254.648300 0.400161
254.856400 -0.101206
255.064400 -0.172439
255.272500 0.294831
255.480600 0.117162
255.688800 -1.934498
255.896900 3.030195
256.105100 3.284882
256.313200 2.752816
256.521400 2.827369
256.729600 0.398350
256.937800 2.870404
257.146000 0.020618
257.354300 -2.893207
257.562500 0.189180
257.770800 0.000000
257.979100 0.454983
258.187400 2.833784
258.395700 0.580358
258.604000 0.217725
258.812400 2.919078
259.020700 0.047944
259.229100 -0.180155
259.437500 0.203569
259.645900 0.305175
259.854300 0.771312
260.062700 0.015565
260.271100 0.337875
260.479600 0.056607
260.688100 2.562293
260.896500 3.252853
261.105000 2.089905
261.313500 2.621176
261.522100 0.640275
261.730600 0.258432
261.939200 -0.179817
262.147700 0.073967
262.356300 2.745075
262.564900 2.536558
262.773500 2.907411
262.982200 3.198382
263.190800 -2.627366
263.399500 0.878446
263.608100 3.039017
263.816800 3.034628
264.025500 2.396199
264.234200 0.223864
264.442900 -0.551148
264.651700 0.016978
264.860400 2.662758
265.069200 3.051153
265.278000 -0.253195
265.486800 0.802705
265.695600 2.450249
265.904400 2.950851
266.113300 2.599883
266.322100 0.114920
266.531000 -0.309760
266.739900 0.064017
266.948800 3.125806
267.157700 2.884795
267.366600 3.055378
267.575500 -0.324838
267.784500 2.550228
267.993500 0.438454
268.202400 2.970812
268.411400 3.021603
268.620500 -0.120209
268.829500 2.775974
269.038500 2.123852
269.247600 0.306497
269.456600 -1.129070
269.665700 -0.083546
269.874800 0.878028
270.083900 0.350557
270.293100 -2.328380
270.502200 -0.030578
270.711400 -0.313804
270.920500 -0.047600
271.129700 0.228790
271.338900 0.343289
271.548100 -0.524728
271.757300 3.030195
271.966600 0.861037
272.175800 0.871069
272.385100 3.132580
272.594400 0.601596
272.803700 0.177747
273.013000 0.042704
273.222300 2.994757
273.431600 0.662817
273.641000 1.036597
273.850400 -0.355718
274.059700 0.076729
274.269100 1.847787
274.478500 0.210489
274.688000 3.183555
274.897400 2.866287
275.106900 -1.647232
275.316300 3.055378
275.525800 0.098588
275.735300 -2.926857
275.944800 0.596456
276.154300 2.662758
276.363900 3.012837
276.573400 0.191746
276.783000 -0.283037
276.992600 2.846955
277.202200 3.047275
277.411800 0.181171
277.621400 -0.177174
277.831000 0.274740
278.040700 3.177536
278.250300 0.450986
278.460000 2.935507
278.669700 2.980458
278.879400 -0.704701
279.089100 2.691965
279.298900 1.568202
279.508600 3.025715
279.718400 3.272770
279.928100 -2.580925
280.137900 0.218424
280.347700 2.632457
280.557600 0.333580
280.767400 0.598108
280.977200 -0.429958
281.187100 -2.604226
281.397000 3.089905
281.606900 0.000000
281.816800 -0.053187
282.026700 2.357935
282.236600 -0.097213
282.446600 0.483370
282.656500 -2.173186
282.866500 0.019369
283.076500 0.010077
283.286500 3.115278
283.496500 0.200011
283.706500 2.907411
283.916600 -0.355909
284.126600 -1.895265
284.336700 1.604414
284.546800 2.587711
284.756900 3.025715
284.967000 0.015142
285.177100 0.438743
285.387300 -0.301030
285.597400 0.733732
285.807600 2.127105
286.017800 0.297296
286.228000 -2.978181
286.438200 0.940985
286.648400 2.940516
286.858700 0.192305
287.068900 0.003786
287.279200 -0.322719
287.489500 2.414973
287.699800 2.857935
287.910100 2.621176
288.120400 3.047275
288.330800 -0.520255
288.541100 0.374773
288.751500 -0.223425
288.961900 -0.134832
289.172300 -2.802774
289.382700 3.074816
289.593100 0.056555
289.803500 -2.530200
290.014000 0.450258
290.224500 1.415732
290.434900 0.000000
290.645400 2.783904
290.855900 2.653213
291.066500 1.784400
291.277000 2.744293
291.487500 0.440258
291.698100 -0.199845
291.908700 -0.812300
292.119300 3.059185
292.329900 3.042969
292.540500 2.728354
292.751100 2.956168
292.961800 -2.440909
293.172400 3.171434
293.383100 0.000000
293.593800 0.036193
293.804500 0.265095
294.015200 -0.007208
294.226000 -2.869232
294.436700 2.799341
294.647500 0.142832
294.858200 0.318180
295.069000 0.283057
295.279800 -0.336588
295.490600 -1.643453
295.701500 0.121166
295.912300 1.721058
296.123200 3.247728
296.334000 2.719331
296.544900 3.316809
296.755800 3.220892
296.966700 0.698970
297.177700 2.945961
297.388600 0.162681
297.599500 0.456600
297.810500 0.349895
298.021500 3.149219
298.232500 0.468111
298.443500 -0.978190
298.654500 0.360633
298.865600 -0.031348
299.076600 0.687716
299.287700 -0.301030
299.498800 0.084184
299.709900 2.902003
299.921000 1.061331
300.132100 3.038620
300.343200 3.270446
300.554400 0.121017
300.765500 -0.073158
300.976700 -2.787460
301.187900 3.104487
301.399100 2.813581
301.610300 3.129368
301.821500 3.364739
302.032800 0.364124
302.244100 0.576542
302.455300 3.097604
302.666600 3.063333
302.877900 0.344957
303.089200 -0.875061
303.300600 0.316576
303.511900 0.230449
303.723300 2.924279
303.934600 0.412039
304.146000 -2.292572
304.357400 1.071241
304.568800 0.563654
304.780300 0.523903
304.991700 0.116231
305.203100 2.271842
305.414600 0.341653
305.626100 2.294466
305.837600 0.728367
306.049100 0.148608
306.260600 2.750123
306.472200 -0.722970
306.683700 2.945961
306.895300 2.575188
307.106900 3.231724
307.318400 3.034628
307.530100 3.165244
307.741700 2.806180
307.953300 0.267030
308.165000 -2.472756
308.376600 1.330791
308.588300 3.242293
308.800000 -0.171248
309.011700 1.280610
309.223400 3.125806
309.435100 -0.337211
309.646900 2.840106
309.858600 -0.204120
310.070400 -0.135064
310.282200 -0.196295
310.494000 0.581266
310.705800 3.168203
310.917600 -0.330214
311.129500 2.840106
311.341300 0.327963
311.553200 1.007226
311.765100 -0.011507
311.977000 3.142702
312.188900 -0.131521
312.400800 1.668872
312.612700 1.078339
312.824700 3.292034
313.036600 0.254250
313.248600 3.332034
313.460600 -0.302549
313.672600 0.647715
313.884600 0.242504
314.096700 2.599883
314.308700 3.475962
314.520800 3.104828
314.732800 0.300000
314.944900 3.146128
315.157000 3.362859
315.369200 -0.061477
315.581300 0.144766
315.793400 -0.134248
316.005600 3.226342
316.217700 0.695446
316.429900 3.525174
316.642100 0.102997
316.854300 0.591345
317.066600 0.485265
317.278800 1.010599
317.491100 3.192289
317.703300 0.160458
317.915600 3.296446
318.127900 0.448811
318.340200 3.097604
318.552500 2.954243
318.764900 0.151583
318.977200 3.437592
319.189600 1.668467
319.401900 3.427324
319.614300 3.245019
319.826700 0.096771
320.039200 3.358886
320.251600 0.515952
320.464000 3.336260
320.676500 0.296807
320.889000 -0.698077
321.101400 3.348889
321.313900 3.310268
321.526500 0.589943
321.739000 0.846377
321.951500 1.144523
322.164100 3.132580
322.376600 0.657673
322.589200 0.532271
322.801800 1.966040
323.014400 3.360972
323.227000 3.354876
323.439700 3.437433
323.652300 0.968865
323.865000 3.374748
324.077700 2.196380
324.290400 1.497355
324.503100 1.349196
324.715800 0.626833
324.928500 3.425697
325.141200 3.384174
325.354000 0.766862
325.566800 1.360491
325.779600 0.826126
325.992400 0.627181
326.205200 0.755116
326.418000 3.474362
326.630800 0.603314
326.843700 3.659250
327.056600 3.478999
327.269400 3.416973
327.482300 0.593970
327.695200 3.385964
327.908200 0.952093
328.121100 0.951502
328.334000 3.554126
328.547000 3.636688
328.760000 0.658845
328.973000 0.476206
329.186000 0.440133
329.399000 1.039375
329.612000 0.992213
329.825100 3.485153
330.038100 3.534534
330.251200 3.572872
330.464300 1.128098
330.677400 1.133057
330.890500 1.805153
331.103600 0.645084
331.316700 3.641970
331.529900 0.731441
331.743100 1.177338
331.956200 3.661339
332.169400 3.577836
332.382600 0.351202
332.595900 0.772117
332.809100 0.467095
333.022300 0.738878
333.235600 3.633468
333.448900 3.655235
333.662200 0.452227
333.875500 3.666331
334.088800 0.830722
334.302100 1.184218
334.515400 1.042863
334.728800 0.609655
334.942200 3.626956
335.155500 3.580241
335.368900 1.526415
335.582300 1.084576
335.795800 0.889507
336.009200 0.765643
336.222700 0.909601
336.436100 1.396878
336.649600 1.055587
336.863100 3.676053
337.076600 3.787035
337.290100 0.660762
337.503600 3.672098
337.717200 1.729906
337.930700 3.722716
338.144300 0.964133
338.357900 0.868829
338.571500 3.715669
338.785100 3.703205
338.998700 1.333190
339.212400 3.815312
339.426000 1.006281
339.639700 1.137066
339.853300 3.765594
340.067000 3.741388
340.280700 3.765594
340.494500 3.790074
340.708200 3.745543
340.921900 3.796644
341.135700 0.810954
341.349500 3.731266
341.563300 1.340918
341.777100 0.777096
341.990900 0.872602
342.204700 3.816042
342.418500 1.200846
342.632400 1.058139
342.846300 1.082528
343.060100 1.044663
343.274000 0.887017
343.487900 1.054844
343.701900 3.795185
343.915800 3.793022
344.129700 3.873611
344.343700 0.682488
344.557700 3.886829
344.771700 1.006921
344.985700 1.507962
345.199700 3.834484
345.413700 0.921247
345.627700 1.376792
345.841800 0.943664
346.055900 1.623675
346.269900 1.051741
346.484000 1.054760
346.698100 0.784688
346.912300 0.835400
347.126400 2.544284
347.340600 3.899164
347.554700 1.255898
347.768900 3.886321
347.983100 0.901060
348.197300 1.086472
348.411500 1.063967
348.625700 2.223307
348.840000 1.126294
349.054200 1.010158
349.268500 1.150116
349.482800 0.900345
349.697100 0.924685
349.911400 3.877832
350.125700 1.306345
350.340000 3.937869
350.554400 1.338635
350.768700 3.912806
350.983100 1.888437
351.197500 0.725786
351.411900 0.888919
351.626300 3.954918
351.840700 1.190710
352.055200 3.931966
352.269600 0.871335
352.484100 3.950851
352.698600 0.932787
352.913100 3.896857
353.127600 1.624132
353.342100 0.933326
353.556600 1.464513
353.771200 4.007534
353.985800 0.995230
354.200300 3.930898
354.414900 1.450894
354.629500 1.002427
354.844100 1.237637
355.058800 3.971879
355.273400 1.530460
355.488100 1.265683
355.702700 0.994498
355.917400 3.938920
356.132100 1.347141
356.346800 1.401075
356.561500 1.501937
