# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000294
197.9842	-0.000508
198.1882	0.000631
198.3922	0.000969
198.5963	-0.000487
198.8003	-0.000360
199.0044	0.001053
199.2085	0.000695
199.4126	0.000167
199.6168	-0.000656
199.8209	0.000631
200.0251	0.000040
200.2292	0.000357
200.4334	0.001771
200.6376	0.000695
200.8418	0.000505
201.0461	0.000167
201.2503	0.000209
201.4546	-0.000128
201.6589	-0.000318
201.8631	0.000737
202.0674	-0.000571
202.2718	0.000336
202.4761	0.000716
202.6805	-0.000044
202.8848	-0.000086
203.0892	-0.000403
203.2936	0.000040
203.4980	0.000652
203.7024	0.000652
203.9069	0.000188
204.1113	-0.000086
204.3158	0.000505
204.5203	0.000125
204.7248	-0.000213
204.9293	-0.000360
205.1338	0.000568
205.3384	0.000230
205.5430	0.001496
205.7475	0.000146
205.9521	0.000315
206.1567	-0.000213
206.3614	0.000716
206.5660	-0.000339
206.7706	-0.000044
206.9753	-0.000276
207.1800	0.000040
207.3847	-0.000128
207.5894	-0.000171
207.7941	0.001243
207.9989	0.000589
208.2036	-0.000192
208.4084	0.000589
208.6132	-0.000424
208.8180	-0.000550
209.0228	0.000146
209.2276	0.000420
209.4325	0.000505
209.6373	0.001982
209.8422	0.000800
210.0471	0.001496
210.2520	-0.000972
210.4569	-0.000044
210.6618	-0.001563
210.8668	0.000357
211.0718	-0.001394
211.2767	-0.001078
211.4817	0.000758
211.6867	-0.000065
211.8918	0.000399
212.0968	0.000505
212.3018	0.000863
212.5069	0.000209
212.7120	0.001053
212.9171	-0.000529
213.1222	-0.000571
213.3273	-0.000677
213.5325	0.000315
213.7376	0.000484
213.9428	0.000695
214.1480	0.000505
214.3532	0.000399
214.5584	0.000441
214.7636	-0.000571
214.9689	-0.000382
215.1741	0.000125
215.3794	-0.000635
215.5847	-0.000318
215.7900	0.000842
215.9953	-0.000023
216.2007	0.000167
216.4060	-0.000571
216.6114	0.000737
216.8168	-0.001458
217.0222	0.000969
217.2276	0.000062
217.4330	0.001053
217.6384	0.000062
217.8439	0.000040
218.0494	0.000420
218.2548	0.000146
218.4603	-0.000234
218.6659	0.000399
218.8714	0.000209
219.0769	0.000315
219.2825	0.000884
219.4881	0.000505
219.6936	0.000737
219.8992	0.001349
220.1049	0.001644
220.3105	0.000167
220.5161	0.001475
220.7218	-0.000804
220.9275	-0.000023
221.1332	0.001539
221.3389	0.000652
221.5446	0.000631
221.7503	-0.000677
221.9561	0.000821
222.1618	0.000399
222.3676	-0.000550
222.5734	0.001074
222.7792	0.001496
222.9850	0.000568
223.1909	0.000610
223.3967	0.001644
223.6026	0.000399
223.8085	0.000526
224.0144	-0.000002
224.2203	0.000146
224.4262	-0.001205
224.6322	0.001475
224.8381	0.000737
225.0441	-0.001437
225.2501	-0.000044
225.4561	0.000251
225.6621	0.000821
225.8681	-0.000023
226.0742	0.001159
226.2802	0.000273
226.4863	-0.000213
226.6924	-0.000192
226.8985	0.001750
227.1046	0.000083
227.3107	-0.000339
227.5169	-0.000002
227.7230	-0.000192
227.9292	0.000019
228.1354	0.000990
228.3416	0.000104
228.5478	0.001328
228.7541	0.000188
228.9603	0.000062
229.1666	0.000083
229.3729	0.001834
229.5791	0.000547
229.7855	0.001602
229.9918	0.001032
230.1981	0.000927
230.4045	-0.000614
230.6108	0.000547
230.8172	0.000652
231.0236	0.000737
231.2300	-0.000276
231.4364	0.001560
231.6429	-0.000065
231.8493	-0.000065
232.0558	0.000062
232.2623	0.000251
232.4688	0.000420
232.6753	0.000484
232.8818	0.000040
233.0884	0.000146
233.2949	0.000927
233.5015	0.000505
233.7081	-0.000972
233.9147	-0.000107
234.1213	-0.000635
234.3279	0.000083
234.5346	0.000441
234.7413	-0.000149
234.9479	0.000589
235.1546	0.001665
235.3613	-0.000445
235.5680	0.000695
235.7748	0.000441
235.9815	0.000737
236.1883	-0.000128
236.3951	0.000990
236.6018	-0.000107
236.8087	0.001433
237.0155	-0.000804
237.2223	0.000462
237.4292	-0.000149
237.6360	0.002172
237.8429	0.000441
238.0498	0.000631
238.2567	0.000462
238.4636	0.001349
238.6706	-0.000360
238.8775	-0.000065
239.0845	0.000230
239.2915	0.000842
239.4985	-0.000466
239.7055	-0.000382
239.9125	-0.000487
240.1195	0.000251
240.3266	-0.001605
240.5337	0.000040
240.7407	-0.000318
240.9478	-0.000065
241.1549	-0.000044
241.3621	0.001053
241.5692	0.002362
241.7764	-0.000086
241.9835	-0.000719
242.1907	0.000125
242.3979	-0.001226
242.6051	0.000420
242.8124	-0.000382
243.0196	0.000673
243.2269	-0.000930
243.4341	-0.000234
243.6414	-0.001205
243.8487	0.001349
244.0560	0.001011
244.2634	0.000737
244.4707	0.001264
244.6781	-0.000023
244.8854	0.000230
245.0928	0.001032
245.3002	0.000568
245.5076	0.000251
245.7151	-0.001036
245.9225	0.000378
246.1300	0.000357
246.3375	-0.000002
246.5449	0.000652
246.7524	-0.000023
246.9600	0.000990
247.1675	0.002151
247.3750	0.000441
247.5826	0.000821
247.7902	-0.000107
247.9978	0.001644
248.2054	0.000104
248.4130	0.000631
248.6206	0.000294
248.8283	0.002108
249.0359	0.000631
249.2436	-0.000255
249.4513	0.000863
249.6590	0.000990
249.8667	0.001180
250.0745	0.000399
250.2822	0.001496
250.4900	-0.000234
250.6978	0.001053
250.9056	0.000251
251.1134	-0.000234
251.3212	0.000167
251.5290	-0.000508
251.7369	0.001285
251.9447	0.000399
252.1526	0.000378
252.3605	0.001053
