# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000091
197.9842	0.000619
198.1882	-0.000436
198.3922	-0.000563
198.5963	0.000070
198.8003	-0.000626
199.0044	-0.000331
199.2085	0.000767
199.4126	0.000134
199.6168	-0.000183
199.8209	0.000535
200.0251	0.001084
200.2292	0.001886
200.4334	0.000661
200.6376	0.001168
200.8418	-0.000331
201.0461	-0.000352
201.2503	0.000556
201.4546	-0.000267
201.6589	-0.000352
201.8631	0.000471
202.0674	0.000556
202.2718	-0.000120
202.4761	0.000577
202.6805	-0.000246
202.8848	0.000049
203.0892	0.000197
203.2936	-0.000352
203.4980	-0.000858
203.7024	0.000218
203.9069	-0.001091
204.1113	0.000619
204.3158	0.001970
204.5203	0.001295
204.7248	-0.000394
204.9293	0.000281
205.1338	0.000113
205.3384	0.000767
205.5430	0.000049
205.7475	0.000493
205.9521	0.001168
206.1567	0.000429
206.3614	0.000936
206.5660	-0.000711
206.7706	0.001147
206.9753	0.000788
207.1800	-0.000943
207.3847	-0.000922
207.5894	0.000366
207.7941	-0.000668
207.9989	-0.000647
208.2036	0.000493
208.4084	0.000704
208.6132	-0.000352
208.8180	0.001084
209.0228	0.001126
209.2276	-0.000647
209.4325	0.000704
209.6373	-0.000415
209.8422	0.001020
210.0471	0.000176
210.2520	-0.000626
210.4569	0.000239
210.6618	-0.001027
210.8668	0.001020
211.0718	-0.000077
211.2767	-0.000288
211.4817	-0.000162
211.6867	0.000471
211.8918	-0.000563
212.0968	0.001463
212.3018	-0.001281
212.5069	0.000387
212.7120	0.000746
212.9171	0.000429
213.1222	0.000704
213.3273	0.000049
213.5325	-0.000246
213.7376	0.001907
213.9428	0.000851
214.1480	0.001020
214.3532	-0.000225
214.5584	-0.001048
214.7636	0.000007
214.9689	0.000872
215.1741	-0.000922
215.3794	0.000197
215.5847	0.000387
215.7900	-0.001027
215.9953	0.000851
216.2007	0.000260
216.4060	-0.001808
216.6114	-0.000816
216.8168	-0.000014
217.0222	-0.000478
217.2276	0.000661
217.4330	-0.000500
217.6384	0.000091
217.8439	-0.001281
218.0494	-0.000457
218.2548	0.000049
218.4603	-0.001513
218.6659	0.001273
218.8714	0.000408
219.0769	-0.000077
219.2825	-0.001196
219.4881	-0.000774
219.6936	0.000471
219.8992	0.000049
220.1049	-0.000373
220.3105	0.000028
220.5161	0.001295
220.7218	0.000493
220.9275	0.000007
221.1332	0.001632
221.3389	0.000556
221.5446	0.000514
221.7503	0.000577
221.9561	0.000345
222.1618	-0.000162
222.3676	-0.000584
222.5734	0.000746
222.7792	-0.000056
222.9850	0.001105
223.1909	0.000113
223.3967	0.000429
223.6026	0.000134
223.8085	-0.000605
224.0144	-0.000225
224.2203	-0.000626
224.4262	-0.000457
224.6322	-0.001703
224.8381	0.000767
225.0441	0.000324
225.2501	0.000049
225.4561	0.001337
225.6621	0.001548
225.8681	-0.000267
226.0742	0.001084
226.2802	-0.002019
226.4863	0.000324
226.6924	0.000788
226.8985	-0.000035
227.1046	0.000176
227.3107	0.000894
227.5169	-0.000711
227.7230	-0.000647
227.9292	-0.000478
228.1354	0.000957
228.3416	-0.001196
228.5478	0.000704
228.7541	0.000113
228.9603	-0.000521
229.1666	0.000936
229.3729	-0.000542
229.5791	0.000197
229.7855	0.001548
229.9918	-0.000204
230.1981	0.001062
230.4045	0.000746
230.6108	0.000830
230.8172	-0.000162
231.0236	0.000872
231.2300	0.000746
231.4364	-0.000056
231.6429	0.000682
231.8493	0.001590
232.0558	0.000535
232.2623	0.000682
232.4688	0.000556
232.6753	0.000218
232.8818	0.000471
233.0884	0.000176
233.2949	-0.001006
233.5015	0.000176
233.7081	-0.000352
233.9147	-0.000605
234.1213	-0.000436
234.3279	0.000007
234.5346	0.000851
234.7413	-0.000310
234.9479	0.000661
235.1546	0.000725
235.3613	0.000936
235.5680	0.000894
235.7748	-0.000352
235.9815	0.000682
236.1883	-0.000035
236.3951	0.001231
236.6018	-0.000225
236.8087	0.001569
237.0155	-0.000352
237.2223	0.000493
237.4292	-0.000795
237.6360	0.001632
237.8429	-0.001470
238.0498	0.000640
238.2567	-0.001935
238.4636	0.001126
238.6706	-0.001449
238.8775	0.000809
239.0845	-0.000457
239.2915	0.000345
239.4985	-0.000626
239.7055	0.000239
239.9125	-0.000732
240.1195	0.000176
240.3266	0.000345
240.5337	0.001463
240.7407	0.000577
240.9478	-0.000711
241.1549	0.000514
241.3621	0.001105
241.5692	-0.000267
241.7764	-0.000647
241.9835	0.000007
242.1907	0.001295
242.3979	-0.000436
242.6051	0.000767
242.8124	0.000007
243.0196	-0.000500
243.2269	0.000493
243.4341	0.001358
243.6414	-0.000478
243.8487	0.000429
244.0560	0.000091
244.2634	0.000176
244.4707	-0.000500
244.6781	0.000070
244.8854	0.000345
245.0928	-0.000014
245.3002	0.000366
245.5076	0.000493
245.7151	0.000155
245.9225	0.001590
246.1300	-0.000668
246.3375	-0.001048
246.5449	-0.000521
246.7524	0.000387
246.9600	0.001020
247.1675	-0.000099
247.3750	-0.001302
247.5826	0.001231
247.7902	-0.001428
247.9978	0.000471
248.2054	-0.000225
248.4130	0.000640
248.6206	0.000851
248.8283	0.002920
249.0359	-0.000647
249.2436	0.000936
249.4513	-0.000415
249.6590	-0.000141
249.8667	0.000851
250.0745	0.001358
250.2822	0.000281
250.4900	-0.000415
250.6978	-0.000732
250.9056	0.000661
251.1134	0.001442
251.3212	0.000324
251.5290	-0.000605
251.7369	-0.000056
251.9447	0.000493
252.1526	0.001020
252.3605	0.001949
252.5684	-0.000099
252.7763	-0.001112
252.9843	-0.000795
253.1922	-0.000858
253.4002	0.000767
253.6082	-0.000858
253.8162	0.000281
254.0242	-0.000415
254.2322	0.000429
254.4402	0.001506
254.6483	-0.000647
254.8564	-0.001787
255.0644	-0.000985
255.2725	-0.000690
255.4806	-0.000795
255.6888	0.000556
255.8969	0.000493
256.1051	-0.000035
256.3132	0.000197
256.5214	0.000197
256.7296	0.000366
256.9378	-0.001027
257.1460	0.001506
257.3543	-0.000457
257.5625	0.000155
257.7708	-0.001175
257.9791	0.001084
258.1874	-0.000014
258.3957	0.000450
258.6040	-0.001703
258.8124	0.001168
259.0207	0.000514
259.2291	0.001105
259.4375	0.001759
259.6459	0.000281
259.8543	-0.000183
260.0627	-0.000816
260.2711	-0.001217
260.4796	-0.000099
260.6881	0.000239
260.8965	0.000514
261.1050	-0.000035
261.3135	0.000471
261.5221	-0.000457
261.7306	0.000218
