# Wavelength (nm)	Intensity (a.u.)
197.7802	-0.000317
197.9842	-0.001097
198.1882	0.001477
198.3922	0.000443
198.5963	0.001625
198.8003	-0.000781
199.0044	0.000696
199.2085	0.000148
199.4126	0.000950
199.6168	-0.000739
199.8209	0.001203
200.0251	0.001519
200.2292	0.001329
200.4334	0.000401
200.6376	-0.000021
200.8418	0.000232
201.0461	0.000739
201.2503	0.000485
201.4546	-0.001182
201.6589	0.000190
201.8631	0.000570
202.0674	-0.000106
202.2718	-0.000274
202.4761	-0.000042
202.6805	0.000696
202.8848	0.001941
203.0892	0.002110
203.2936	0.000612
203.4980	0.000485
203.7024	0.000380
203.9069	0.000253
204.1113	-0.000971
204.3158	0.001625
204.5203	0.000274
204.7248	0.001372
204.9293	0.000528
205.1338	0.000549
205.3384	-0.000063
205.5430	0.001414
205.7475	0.001245
205.9521	-0.000295
206.1567	0.000464
206.3614	0.000802
206.5660	0.000612
206.7706	0.001878
206.9753	-0.000169
207.1800	0.001836
207.3847	0.000422
207.5894	0.001266
207.7941	-0.000696
207.9989	0.000485
208.2036	0.000042
208.4084	0.000106
208.6132	-0.000295
208.8180	0.000042
209.0228	0.001097
209.2276	-0.000084
209.4325	0.000380
209.6373	-0.000781
209.8422	0.000317
210.0471	0.001498
210.2520	0.000063
210.4569	0.000443
210.6618	0.000675
210.8668	0.001540
211.0718	0.000823
211.2767	0.000549
211.4817	-0.000253
211.6867	0.000865
211.8918	-0.000506
212.0968	0.002089
212.3018	-0.000865
212.5069	0.001414
212.7120	0.000675
212.9171	0.000675
213.1222	-0.000928
213.3273	0.001456
213.5325	0.000042
213.7376	0.000549
213.9428	0.001477
214.1480	0.000528
214.3532	-0.000253
214.5584	0.001245
214.7636	0.000338
214.9689	0.001372
215.1741	0.000443
215.3794	0.001055
215.5847	0.001055
215.7900	0.000253
215.9953	0.000422
216.2007	0.001477
216.4060	0.000232
216.6114	0.000865
216.8168	-0.000886
217.0222	0.001308
217.2276	0.000591
217.4330	0.000464
217.6384	0.001625
217.8439	0.000528
218.0494	0.001034
218.2548	0.000570
218.4603	0.000633
218.6659	0.001498
218.8714	0.000992
219.0769	0.001815
219.2825	0.001561
219.4881	0.002363
219.6936	-0.000401
219.8992	0.000823
220.1049	-0.000084
220.3105	0.001203
220.5161	-0.000021
220.7218	0.000633
220.9275	0.000654
221.1332	0.000570
221.3389	-0.000654
221.5446	0.000317
221.7503	-0.000633
221.9561	0.000359
222.1618	-0.000317
222.3676	0.002005
222.5734	0.001350
222.7792	0.000633
222.9850	-0.000253
223.1909	0.002089
223.3967	0.001730
223.6026	0.000211
223.8085	0.000506
224.0144	0.000633
224.2203	-0.000506
224.4262	0.001772
224.6322	-0.000506
224.8381	0.001899
225.0441	0.000422
225.2501	-0.000422
225.4561	0.001203
225.6621	0.000380
225.8681	-0.000169
226.0742	0.000127
226.2802	-0.000464
226.4863	-0.000211
226.6924	-0.000232
226.8985	0.000865
227.1046	-0.000654
227.3107	0.001456
227.5169	0.000464
227.7230	-0.000211
227.9292	0.001604
228.1354	0.000654
228.3416	0.000612
228.5478	0.001667
228.7541	-0.000612
228.9603	0.000549
229.1666	0.000739
229.3729	0.000633
229.5791	0.000084
229.7855	-0.000317
229.9918	-0.000127
230.1981	0.000612
230.4045	0.000169
230.6108	0.000401
230.8172	0.000274
231.0236	0.000485
231.2300	0.000549
231.4364	0.000844
231.6429	0.000274
231.8493	-0.000950
232.0558	-0.000127
232.2623	0.000865
232.4688	0.001329
232.6753	0.000612
232.8818	0.000696
233.0884	0.001435
233.2949	0.000760
233.5015	-0.000528
233.7081	0.000401
233.9147	0.001393
234.1213	0.000865
234.3279	0.001688
234.5346	-0.000042
234.7413	0.001161
234.9479	0.001118
235.1546	-0.000127
235.3613	0.000570
235.5680	0.000928
235.7748	0.000823
235.9815	-0.000021
236.1883	-0.000211
236.3951	0.002026
236.6018	0.001751
236.8087	0.000084
237.0155	-0.000865
237.2223	0.000084
237.4292	0.001561
237.6360	-0.001097
237.8429	0.000950
238.0498	0.000506
238.2567	-0.000464
238.4636	0.000612
238.6706	-0.001287
238.8775	0.001245
239.0845	0.000907
239.2915	0.001435
239.4985	-0.000021
239.7055	-0.000612
239.9125	0.001245
240.1195	0.000907
240.3266	-0.000127
240.5337	0.001076
240.7407	0.000992
240.9478	0.000654
241.1549	0.001097
241.3621	0.001097
241.5692	0.000084
241.7764	0.000359
241.9835	0.000021
242.1907	-0.000401
242.3979	0.002026
242.6051	-0.000211
242.8124	0.001139
243.0196	0.000591
243.2269	0.000633
243.4341	0.000169
243.6414	0.000464
243.8487	0.000443
244.0560	-0.000148
244.2634	0.001055
