# Wavelength	Absorbance
197.780200 2.878522
197.984200 0.171552
198.188200 -0.133086
198.392200 2.682145
198.596300 0.181924
198.800300 2.318063
199.004400 -0.152959
199.208500 -0.227834
199.412600 -0.385564
199.616800 2.768638
199.820900 0.556898
200.025100 2.877947
200.229200 -0.512457
200.433400 3.008600
200.637600 -0.095658
200.841800 -0.111256
201.046100 3.008600
201.250300 3.142702
201.454600 0.149378
201.658900 3.051153
201.863100 0.394874
202.067400 2.760422
202.271800 0.450319
202.476100 0.320185
202.680500 0.303623
202.884800 2.980458
203.089200 0.716565
203.293600 0.221328
203.498000 2.913284
203.702400 -0.490910
203.906900 0.180890
204.111300 0.000000
204.315800 0.719754
204.520300 3.062958
204.724800 -0.225870
204.929300 2.396199
205.133800 0.430071
205.338400 0.006620
205.543000 3.171434
205.747500 2.682145
205.952100 0.296146
206.156700 0.298232
206.361400 -2.902547
206.566000 2.187521
206.770600 3.168203
206.975300 -0.880465
207.180000 -1.982271
207.384700 0.092167
207.589400 -2.318063
207.794100 2.480007
207.998900 -0.041487
208.203600 3.152288
208.408400 -0.244826
208.613200 0.197987
208.818000 2.495544
209.022800 -0.487573
209.227600 -0.422588
209.432500 0.028853
209.637300 0.744216
209.842200 2.294466
210.047100 0.198768
210.252000 2.053078
210.456900 0.245627
210.661800 3.055378
210.866800 0.441127
211.071800 3.104487
211.276700 -0.407182
211.481700 0.376561
211.686700 -0.371864
211.891800 -0.663008
212.096800 3.336260
212.301800 2.890421
212.506900 3.209783
212.712000 0.875767
212.917100 3.226342
213.122200 -0.058509
213.327300 1.965620
213.532500 -1.591065
213.737600 0.171845
213.942800 -0.711204
214.148000 2.631444
214.353200 0.000000
214.558400 0.638105
214.763600 1.047806
214.968900 -0.233164
215.174100 3.104487
215.379400 0.000000
215.584700 0.247072
215.790000 -0.072519
215.995300 2.820201
216.200700 -0.007401
216.406000 0.583940
216.611400 -0.499005
216.816800 0.675422
217.022200 -0.494767
217.227600 3.086360
217.433000 0.945494
217.638400 0.447392
217.843900 -0.245257
218.049400 -3.004321
218.254800 0.219320
218.460300 3.008600
218.665900 3.186674
218.871400 3.234517
219.076900 0.253942
219.282500 2.960946
219.488100 3.047275
219.693600 0.120203
219.899200 0.691300
220.104900 3.055378
220.310500 -0.863653
220.516100 -2.701568
220.721800 -0.158443
220.927500 1.480081
221.133200 0.238302
221.338900 2.902003
221.544600 0.575114
221.750300 3.183555
221.956100 0.205843
222.161800 -0.575357
222.367600 2.913284
222.573400 1.052388
222.779200 -2.827369
222.985000 -1.591065
223.190900 0.203870
223.396700 -0.163441
223.602600 -0.010995
223.808500 2.736397
224.014400 2.853698
224.220300 0.777145
224.426200 -0.266544
224.632200 -0.197255
224.838100 2.890421
225.044100 2.653213
225.250100 2.550228
225.456100 2.653213
225.662100 -0.542474
225.868100 -0.967017
226.074200 0.360616
226.280200 -2.008600
226.486300 2.846955
226.692400 -1.908485
226.898500 0.302063
227.104600 2.294466
227.310700 0.107613
227.516900 -0.463100
227.723000 -0.679472
227.929200 3.252853
228.135400 3.074816
228.341600 -0.244073
228.547800 -0.107411
228.754100 0.453663
228.960300 -0.818196
229.166600 -2.853698
229.372900 0.188617
229.579100 0.774562
229.785500 0.090123
229.991800 0.845098
230.198100 2.682145
230.404500 1.963788
230.610800 0.047723
230.817200 -2.495544
231.023600 0.290538
231.230000 1.427775
231.436400 0.792453
231.642900 2.718502
231.849300 2.791691
232.055800 2.008600
232.262300 0.616422
232.468800 1.959041
232.675300 -0.329032
232.881800 -0.199457
233.088400 -0.341641
233.294900 2.550228
233.501500 0.378256
233.708100 -2.318063
233.914700 0.932812
234.121300 0.000000
234.327900 -0.317420
234.534600 -0.131436
234.741300 1.189119
234.947900 0.646491
235.154600 0.621582
235.361300 0.724604
235.568000 -0.008584
235.774800 2.662758
235.981500 -0.265076
236.188300 -2.008600
236.395100 0.200225
236.601800 -2.683047
236.808700 0.058399
237.015500 0.015460
237.222300 2.853698
237.429200 3.265290
237.636000 0.273592
237.842900 1.851258
238.049800 2.918555
238.256700 -0.160368
238.463600 3.063333
238.670600 2.970812
238.877500 3.161967
239.084500 -2.890980
239.291500 1.136437
239.498500 -0.219870
239.705500 0.325389
239.912500 1.845098
240.119500 -1.079181
240.326600 2.190332
240.533700 -3.115943
240.740700 -0.163441
240.947800 0.004463
241.154900 3.059185
241.362100 0.949864
241.569200 -0.454258
241.776400 0.158397
241.983500 2.783904
242.190700 -0.008812
242.397900 -3.136403
242.605100 -0.246798
242.812400 -0.075990
243.019600 1.333808
243.226900 0.008549
243.434100 0.904684
243.641400 -0.062944
243.848700 0.547454
244.056000 -3.039017
244.263400 0.875061
244.470700 0.255416
244.678100 0.203330
244.885400 0.191886
245.092800 -0.440726
245.300200 2.357935
245.507600 0.258494
245.715100 0.039432
245.922500 -0.045389
246.130000 1.230449
246.337500 0.865491
246.544900 -0.470088
246.752400 0.427352
246.960000 3.165244
247.167500 0.782404
247.375000 -3.063709
247.582600 3.025715
247.790200 1.845098
247.997800 3.025715
248.205400 0.543594
248.413000 1.281674
248.620600 0.409478
248.828300 3.270213
249.035900 3.030600
249.243600 0.392204
249.451300 3.282396
249.659000 3.192567
249.866700 0.504502
250.074500 0.170582
250.282200 3.189490
250.490000 3.021603
250.697800 0.110559
250.905600 -0.239324
251.113400 1.021445
251.321200 0.271014
251.529000 -0.591283
251.736900 0.191661
251.944700 0.272860
252.152600 0.364793
252.360500 -0.180862
252.568400 -0.400951
252.776300 -0.587935
252.984300 0.378256
253.192200 -0.062238
253.400200 0.411257
253.608200 2.599883
253.816200 0.039606
254.024200 0.006451
254.232200 -0.759958
254.440200 -2.495544
254.648300 -0.176583
254.856400 2.701568
255.064400 2.775974
255.272500 3.097604
255.480600 0.305488
255.688800 -3.180986
255.896900 1.774922
256.105100 3.284882
256.313200 0.051248
256.521400 2.827369
256.729600 3.025715
256.937800 3.171434
257.146000 0.542167
257.354300 -2.827369
257.562500 1.613055
257.770800 0.000000
257.979100 0.093943
258.187400 2.833784
258.395700 3.082785
258.604000 3.034628
258.812400 -0.363771
259.020700 3.026125
259.229100 0.430071
259.437500 2.975891
259.645900 0.242214
259.854300 -0.125800
260.062700 3.125481
260.271100 -0.472945
260.479600 0.270235
260.688100 1.307020
260.896500 0.676512
261.105000 -0.823909
261.313500 -0.080392
261.522100 1.052797
261.730600 0.548021
261.939200 2.701568
262.147700 0.288327
262.356300 0.966924
262.564900 0.012812
262.773500 -0.038549
262.982200 3.198382
263.190800 -2.701568
263.399500 0.193567
263.608100 0.198284
263.816800 3.034628
264.025500 2.396199
264.234200 -0.707925
264.442900 -1.184465
264.651700 0.195058
264.860400 2.662758
265.069200 3.051153
265.278000 2.990339
265.486800 0.885986
265.695600 2.450249
265.904400 2.950851
266.113300 2.599883
266.322100 -0.105164
266.531000 -0.424865
266.739900 -0.777048
266.948800 0.853965
267.157700 -0.518325
267.366600 0.256038
267.575500 0.177127
267.784500 2.550228
267.993500 0.372543
268.202400 0.091716
268.411400 3.021603
268.620500 0.024779
268.829500 1.520702
269.038500 2.123852
269.247600 3.078819
269.456600 -0.208884
269.665700 0.166331
269.874800 2.907411
270.083900 0.759728
270.293100 -2.866287
270.502200 0.012613
270.711400 -0.700264
270.920500 -0.309230
271.129700 0.363212
271.338900 -0.014079
271.548100 -0.187131
271.757300 -0.033514
