# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000825
197.9842	0.000255
198.1882	-0.000315
198.3922	0.001163
198.5963	0.000044
198.8003	0.000572
199.0044	0.001247
199.2085	0.000234
199.4126	0.000846
199.6168	-0.000927
199.8209	-0.000294
200.0251	-0.000484
200.2292	-0.000019
200.4334	0.000487
200.6376	0.000762
200.8418	-0.000040
201.0461	0.001691
201.2503	0.000614
201.4546	0.000086
201.6589	0.000466
201.8631	0.000804
202.0674	-0.000758
202.2718	0.000150
202.4761	-0.000948
202.6805	0.001691
202.8848	-0.000252
203.0892	0.000783
203.2936	0.000318
203.4980	0.001163
203.7024	0.000867
203.9069	0.001311
204.1113	0.000318
204.3158	0.001902
204.5203	0.000023
204.7248	0.000107
204.9293	-0.000315
205.1338	0.000107
205.3384	-0.001666
205.5430	0.000720
205.7475	0.000065
205.9521	0.001205
206.1567	0.000128
206.3614	0.000023
206.5660	-0.000040
206.7706	-0.000442
206.9753	0.001269
207.1800	-0.000695
207.3847	-0.001075
207.5894	0.000445
207.7941	0.000382
207.9989	0.000656
208.2036	0.000002
208.4084	-0.000040
208.6132	-0.000463
208.8180	0.000403
209.0228	0.002029
209.2276	0.000192
209.4325	-0.000547
209.6373	-0.000230
209.8422	-0.000526
210.0471	0.001163
210.2520	0.000741
210.4569	0.000804
210.6618	-0.000843
210.8668	0.001395
211.0718	0.001585
211.2767	0.001290
211.4817	0.000973
211.6867	-0.001075
211.8918	0.001459
212.0968	0.000614
212.3018	0.001437
212.5069	0.000150
212.7120	-0.000399
212.9171	0.000762
213.1222	0.000065
213.3273	0.000424
213.5325	-0.000125
213.7376	0.001395
213.9428	-0.000822
214.1480	-0.000505
214.3532	0.000297
214.5584	0.000635
214.7636	-0.001371
214.9689	0.000466
215.1741	0.000762
215.3794	-0.000062
215.5847	0.000783
215.7900	-0.000062
215.9953	0.001311
216.2007	0.000466
216.4060	-0.000315
216.6114	0.001247
216.8168	-0.000463
217.0222	0.001416
217.2276	-0.001159
217.4330	-0.000125
217.6384	0.000825
217.8439	0.000762
218.0494	0.000910
218.2548	0.000973
218.4603	-0.001307
218.6659	-0.000758
218.8714	-0.000188
219.0769	-0.000864
219.2825	0.001585
219.4881	0.000255
219.6936	0.000508
219.8992	0.001480
220.1049	0.000276
220.3105	0.001247
220.5161	0.000213
220.7218	0.000973
220.9275	0.000973
221.1332	0.001733
221.3389	0.001311
221.5446	0.000593
221.7503	-0.000378
221.9561	0.000340
222.1618	-0.000484
222.3676	0.000382
222.5734	0.000635
222.7792	-0.000230
222.9850	-0.001159
223.1909	-0.000019
223.3967	0.000128
223.6026	0.000065
223.8085	0.000192
224.0144	0.000445
224.2203	-0.000230
224.4262	0.000952
224.6322	0.000466
224.8381	-0.001096
225.0441	0.000361
225.2501	0.001184
225.4561	-0.000062
225.6621	0.000994
225.8681	0.000023
226.0742	-0.000357
226.2802	-0.000653
226.4863	0.000128
226.6924	-0.000758
226.8985	0.000846
227.1046	0.000023
227.3107	0.000762
227.5169	0.000910
227.7230	-0.000315
227.9292	-0.000653
228.1354	0.001121
228.3416	-0.000505
228.5478	-0.000442
228.7541	0.001564
228.9603	0.000065
229.1666	-0.000484
229.3729	0.000403
229.5791	-0.000484
229.7855	0.001079
229.9918	0.000551
230.1981	0.001163
230.4045	0.000593
230.6108	0.001100
230.8172	0.000297
231.0236	0.000171
231.2300	0.000635
231.4364	0.000002
231.6429	-0.000230
231.8493	0.002029
232.0558	-0.000209
232.2623	0.001036
232.4688	0.000044
232.6753	0.000804
232.8818	-0.000209
233.0884	0.000677
233.2949	0.000698
233.5015	0.000910
233.7081	0.000044
233.9147	0.000614
234.1213	-0.000505
234.3279	0.001501
234.5346	0.000023
234.7413	-0.000378
234.9479	-0.001687
235.1546	0.000318
235.3613	0.000466
235.5680	0.000044
235.7748	-0.001117
235.9815	0.000192
236.1883	0.001712
236.3951	-0.000843
236.6018	0.000340
236.8087	0.001944
237.0155	0.000508
237.2223	-0.000167
237.4292	0.000192
237.6360	0.000044
237.8429	0.000255
238.0498	0.001079
238.2567	-0.000822
238.4636	0.001649
238.6706	-0.000019
238.8775	0.000445
239.0845	0.000318
239.2915	0.001543
239.4985	0.000656
239.7055	-0.000589
239.9125	-0.001392
240.1195	-0.000737
240.3266	0.000445
240.5337	0.001374
240.7407	-0.000294
240.9478	-0.000927
241.1549	0.000677
241.3621	-0.000273
241.5692	0.000635
241.7764	0.001522
241.9835	0.000466
242.1907	0.000825
242.3979	-0.001075
242.6051	0.001036
242.8124	-0.001518
243.0196	0.000720
243.2269	0.000635
243.4341	0.000065
243.6414	0.000403
243.8487	0.001416
244.0560	-0.000336
244.2634	0.000002
244.4707	-0.000653
244.6781	0.000297
244.8854	0.000720
245.0928	-0.000864
245.3002	0.000044
245.5076	-0.000146
245.7151	-0.000230
245.9225	-0.000336
246.1300	-0.000188
246.3375	0.000023
246.5449	0.000086
246.7524	-0.000357
246.9600	0.000677
247.1675	-0.000083
247.3750	0.000297
247.5826	0.000107
247.7902	0.000825
247.9978	-0.000230
248.2054	0.000825
248.4130	0.000318
248.6206	0.000635
248.8283	-0.000526
249.0359	0.000530
249.2436	0.000910
249.4513	0.000656
249.6590	0.002155
249.8667	0.000044
250.0745	-0.000294
250.2822	-0.000125
250.4900	-0.001497
250.6978	0.001353
250.9056	0.000382
251.1134	0.000361
251.3212	0.001986
251.5290	-0.000526
251.7369	0.001437
251.9447	-0.000315
252.1526	0.001290
252.3605	0.000572
252.5684	0.000002
252.7763	-0.000167
252.9843	0.000297
253.1922	-0.000167
253.4002	-0.000040
253.6082	0.000635
253.8162	0.000128
254.0242	0.000128
254.2322	-0.000146
254.4402	0.000424
254.6483	0.000741
254.8564	0.001923
255.0644	0.001606
255.2725	-0.001244
255.4806	-0.000779
255.6888	-0.000336
255.8969	0.000508
256.1051	0.000825
256.3132	0.000846
256.5214	-0.000801
256.7296	0.000910
256.9378	0.000044
257.1460	0.001522
257.3543	0.000255
257.5625	-0.000611
257.7708	-0.000653
257.9791	0.002176
258.1874	-0.000294
258.3957	0.001057
258.6040	0.000698
258.8124	0.000382
259.0207	-0.001033
259.2291	0.000213
259.4375	-0.001202
259.6459	0.000403
259.8543	0.000107
260.0627	0.000487
260.2711	-0.001033
260.4796	-0.000399
260.6881	0.000635
260.8965	0.000487
261.1050	-0.000589
261.3135	-0.000505
261.5221	-0.000758
261.7306	0.000171
261.9392	-0.000716
262.1477	0.000318
262.3563	0.000551
262.5649	-0.000463
262.7735	0.000107
262.9822	-0.000357
263.1908	-0.000758
263.3995	0.000593
263.6081	-0.000442
263.8168	-0.000209
264.0255	0.001163
264.2342	0.000804
264.4429	0.000150
264.6517	-0.000737
264.8604	0.000213
265.0692	0.000825
265.2780	-0.000252
265.4868	0.000150
265.6956	-0.000146
265.9044	0.001353
266.1133	0.000466
266.3221	-0.000273
266.5310	-0.001096
266.7399	0.000023
266.9488	0.000255
267.1577	0.001057
267.3666	0.000128
267.5755	-0.000188
267.7845	-0.001054
267.9935	0.000128
268.2024	0.000551
268.4114	0.000994
268.6205	-0.000589
268.8295	0.001902
269.0385	0.000614
269.2476	0.000846
269.4566	-0.001054
269.6657	-0.000062
269.8748	0.000635
270.0839	0.000867
270.2931	-0.000463
270.5022	-0.001202
270.7114	-0.000167
270.9205	0.000867
271.1297	0.000044
271.3389	0.001522
271.5481	0.000783
271.7573	-0.000864
271.9666	-0.000420
272.1758	0.000508
272.3851	-0.000146
272.5944	0.000424
272.8037	0.001437
273.0130	-0.000758
273.2223	0.001923
273.4316	0.000255
273.6410	0.000234
273.8504	0.000002
274.0597	-0.000315
274.2691	0.000530
274.4785	0.001480
274.6880	0.001036
274.8974	0.000931
275.1069	0.000994
275.3163	-0.001096
275.5258	0.000403
275.7353	-0.000547
275.9448	0.000044
276.1543	0.000910
276.3639	0.000150
276.5734	-0.000188
276.7830	0.000382
276.9926	0.000508
277.2022	0.001627
277.4118	-0.000146
277.6214	0.001036
277.8310	0.001057
278.0407	0.000065
278.2503	-0.000167
278.4600	0.001269
278.6697	-0.001624
278.8794	-0.000420
279.0891	-0.001202
279.2989	0.001522
279.5086	-0.000420
279.7184	0.001881
279.9281	0.000382
280.1379	0.000931
280.3477	-0.000463
280.5576	0.000382
280.7674	-0.001096
280.9772	0.000086
281.1871	0.001100
281.3970	-0.000019
281.6069	-0.000125
281.8168	0.000445
282.0267	0.000572
282.2366	0.001649
282.4466	-0.000209
282.6565	0.001015
282.8665	0.000973
283.0765	0.000593
283.2865	-0.000019
283.4965	0.000508
283.7065	-0.000273
283.9166	0.000234
284.1266	0.000867
284.3367	0.000593
284.5468	-0.000315
284.7569	0.000551
284.9670	0.000466
285.1771	0.001543
285.3873	-0.000991
285.5974	0.000128
285.8076	-0.000779
286.0178	0.000044
286.2280	0.000614
286.4382	0.000762
286.6484	0.000593
286.8587	0.000720
287.0689	-0.000040
287.2792	0.000720
287.4895	-0.000948
287.6998	0.000086
287.9101	0.000487
288.1204	-0.000463
288.3308	0.000255
288.5411	0.000466
288.7515	0.000593
288.9619	0.000530
289.1723	0.000931
289.3827	-0.000062
289.5931	-0.000801
289.8035	0.000804
290.0140	0.000002
290.2245	-0.000273
290.4349	0.000318
290.6454	0.000044
290.8559	0.000593
291.0665	-0.001328
291.2770	0.000023
291.4875	0.002007
291.6981	-0.000420
291.9087	0.000720
292.1193	-0.000568
292.3299	0.000382
292.5405	-0.000589
292.7511	0.001585
292.9618	0.000255
293.1724	0.000994
293.3831	-0.000104
293.5938	0.001944
293.8045	-0.000125
294.0152	-0.000252
294.2260	0.000846
294.4367	0.000846
294.6475	0.000614
294.8582	0.000762
295.0690	0.000508
295.2798	-0.000104
295.4906	0.001374
295.7015	-0.000463
295.9123	0.001100
296.1232	0.000888
296.3340	-0.000019
296.5449	0.000255
296.7558	-0.000505
296.9667	0.000023
297.1777	-0.001349
297.3886	-0.000969
297.5995	-0.000505
297.8105	0.000720
298.0215	0.001712
298.2325	-0.000399
298.4435	0.000783
298.6545	0.001395
298.8656	0.000825
299.0766	0.001121
299.2877	-0.000230
299.4988	-0.000589
299.7099	-0.000822
299.9210	-0.000188
300.1321	-0.000906
300.3432	0.001986
300.5544	-0.001223
300.7655	0.000572
300.9767	-0.001244
301.1879	0.000361
301.3991	0.001269
301.6103	-0.000399
301.8215	0.000720
302.0328	0.000720
302.2441	0.000002
302.4553	0.001121
302.6666	0.001290
302.8779	0.001184
303.0892	0.000044
303.3006	-0.000019
303.5119	0.000107
303.7233	-0.000864
303.9346	0.000171
304.1460	0.000466
304.3574	-0.000357
304.5688	0.000213
304.7803	-0.000273
304.9917	0.000276
305.2031	0.000445
305.4146	-0.000885
305.6261	-0.000273
305.8376	0.001480
306.0491	-0.001455
306.2606	-0.000336
306.4722	0.001290
306.6837	0.000128
306.8953	0.002261
307.1069	0.001564
307.3184	-0.001202
307.5301	0.000023
307.7417	-0.000062
307.9533	-0.001096
308.1650	-0.000737
308.3766	0.000931
308.5883	-0.000758
308.8000	-0.000463
309.0117	0.000023
309.2234	0.001079
309.4351	-0.001054
309.6469	0.000213
309.8586	0.000762
310.0704	0.000530
310.2822	0.000297
310.4940	0.000213
310.7058	0.000361
310.9176	-0.000209
311.1295	0.000614
311.3413	0.000867
311.5532	0.001627
311.7651	0.001121
311.9770	0.000445
312.1889	0.000445
312.4008	-0.000167
312.6127	0.001374
312.8247	-0.001138
313.0366	0.001564
313.2486	0.000044
313.4606	0.000150
313.6726	0.000698
313.8846	0.001754
314.0967	0.001015
314.3087	0.001100
314.5208	0.000466
314.7328	0.000445
314.9449	0.000466
315.1570	0.000340
315.3692	0.000107
315.5813	0.000931
315.7934	0.000804
316.0056	0.001374
316.2177	0.000593
316.4299	-0.000083
316.6421	-0.002257
316.8543	0.000508
317.0666	-0.001202
317.2788	0.000551
317.4911	-0.000991
317.7033	-0.000378
317.9156	0.000318
318.1279	0.002007
318.3402	-0.000822
318.5525	0.000783
318.7649	0.000846
318.9772	-0.000463
319.1896	0.000150
319.4019	0.000403
319.6143	0.000171
319.8267	0.000150
320.0392	-0.000843
320.2516	0.000086
320.4640	0.000551
320.6765	-0.000906
320.8890	0.000382
321.1014	0.000551
321.3139	-0.000125
321.5265	0.000825
321.7390	-0.000273
321.9515	0.000424
322.1641	0.000952
322.3766	0.000150
322.5892	-0.000167
322.8018	-0.001033
323.0144	0.000487
323.2270	0.001311
323.4397	0.000508
323.6523	-0.000146
323.8650	0.000107
324.0777	-0.000125
324.2904	-0.000252
324.5031	-0.000209
324.7158	0.000445
324.9285	0.000297
325.1412	-0.000273
325.3540	0.000762
325.5668	0.000255
325.7796	0.001585
325.9924	-0.000716
326.2052	-0.000188
326.4180	-0.000420
326.6308	0.002007
326.8437	0.000720
327.0566	0.000466
327.2694	0.000403
327.4823	0.001817
327.6952	0.000466
327.9082	0.001353
328.1211	0.001121
328.3340	-0.000167
328.5470	0.000318
328.7600	0.000065
328.9730	-0.000885
329.1860	0.000445
329.3990	-0.001793
329.6120	0.002050
329.8251	0.001944
330.0381	-0.000948
330.2512	-0.000167
330.4643	0.001100
330.6774	0.000593
330.8905	0.000551
331.1036	0.000720
331.3167	0.000762
331.5299	0.000002
331.7431	0.000213
331.9562	0.000487
332.1694	0.000973
332.3826	0.000150
332.5959	0.000466
332.8091	-0.001138
333.0223	0.001269
333.2356	0.000107
333.4489	0.000255
333.6622	0.000994
333.8755	0.000445
334.0888	0.001374
334.3021	0.000952
334.5154	-0.000801
334.7288	0.000424
334.9422	-0.000969
335.1555	0.000783
335.3689	-0.000927
335.5823	0.000593
335.7958	0.001416
336.0092	0.002071
336.2227	0.000044
336.4361	0.000487
336.6496	0.000783
336.8631	0.000297
337.0766	0.000783
337.2901	0.000466
337.5036	-0.000146
337.7172	0.001079
337.9307	-0.000526
338.1443	0.000551
338.3579	0.000656
338.5715	0.000572
338.7851	0.000192
338.9987	0.000171
339.2124	-0.000252
339.4260	0.001163
339.6397	-0.000695
339.8533	-0.000125
340.0670	0.000234
340.2807	0.001100
340.4945	-0.000906
340.7082	0.001057
340.9219	0.000952
341.1357	0.000487
341.3495	0.001121
341.5633	0.001459
341.7771	0.001649
341.9909	0.000783
342.2047	0.000297
342.4185	0.000973
342.6324	-0.000463
342.8463	0.001205
343.0601	-0.000589
343.2740	0.001606
343.4879	-0.000653
343.7019	-0.000125
343.9158	0.000297
344.1297	0.001247
344.3437	0.001754
344.5577	0.000635
344.7717	-0.000062
344.9857	0.000318
345.1997	-0.000083
345.4137	0.002282
345.6277	-0.000357
345.8418	-0.000294
346.0559	0.002219
346.2699	0.001564
346.4840	-0.000188
346.6981	0.001015
346.9123	0.000297
347.1264	0.001670
347.3406	-0.000885
347.5547	0.000973
347.7689	-0.000420
