# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000002
197.9842	-0.000800
198.1882	0.001141
198.3922	-0.000336
198.5963	0.000318
198.8003	0.000065
199.0044	0.000276
199.2085	-0.000083
199.4126	0.000128
199.6168	-0.000526
199.8209	-0.000673
200.0251	-0.000399
200.2292	-0.000715
200.4334	0.000128
200.6376	0.000107
200.8418	0.001499
201.0461	0.001499
201.2503	-0.001243
201.4546	0.001584
201.6589	0.000719
201.8631	0.000951
202.0674	-0.001243
202.2718	0.000487
202.4761	0.000529
202.6805	0.002723
202.8848	-0.000062
203.0892	0.000719
203.2936	-0.000462
203.4980	-0.000547
203.7024	-0.000737
203.9069	-0.001032
204.1113	0.000719
204.3158	-0.000905
204.5203	0.000656
204.7248	-0.000146
204.9293	-0.001053
205.1338	0.001985
205.3384	0.000445
205.5430	0.000445
205.7475	-0.001348
205.9521	-0.000230
206.1567	-0.000715
206.3614	-0.000209
206.5660	0.000192
206.7706	-0.000272
206.9753	-0.000272
207.1800	0.000571
207.3847	0.000297
207.5894	0.000824
207.7941	0.000002
207.9989	-0.000272
208.2036	-0.000800
208.4084	0.000550
208.6132	-0.001158
208.8180	0.000107
209.0228	-0.000146
209.2276	0.000023
209.4325	-0.000652
209.6373	0.001141
209.8422	-0.000083
210.0471	-0.000230
210.2520	0.000846
210.4569	0.000951
210.6618	-0.000294
210.8668	-0.001158
211.0718	0.000656
211.2767	0.000656
211.4817	0.000993
211.6867	0.001289
211.8918	-0.000420
212.0968	-0.000378
212.3018	-0.001770
212.5069	0.000846
212.7120	-0.000062
212.9171	-0.000104
213.1222	0.000635
213.3273	-0.000104
213.5325	0.000403
213.7376	0.000846
213.9428	0.000318
214.1480	0.000592
214.3532	0.001499
214.5584	0.000213
214.7636	-0.000800
214.9689	0.001014
215.1741	0.000297
215.3794	0.000424
215.5847	-0.000104
215.7900	0.001078
215.9953	0.000213
216.2007	-0.000737
216.4060	0.001183
216.6114	-0.000146
216.8168	0.000529
217.0222	0.000086
217.2276	0.000065
217.4330	-0.000294
217.6384	0.001225
217.8439	0.000297
218.0494	0.002090
218.2548	0.000761
218.4603	-0.000568
218.6659	0.001310
218.8714	0.000719
219.0769	-0.000209
219.2825	0.001035
219.4881	0.001521
219.6936	-0.000631
219.8992	0.001056
220.1049	0.001584
220.3105	0.001837
220.5161	0.000192
220.7218	-0.000610
220.9275	0.000803
221.1332	0.000149
221.3389	-0.001032
221.5446	0.001246
221.7503	-0.000378
221.9561	0.001584
222.1618	-0.000969
222.3676	0.000487
222.5734	-0.000146
222.7792	0.000403
222.9850	-0.000610
223.1909	-0.000969
223.3967	-0.001095
223.6026	0.001120
223.8085	-0.001412
224.0144	0.000276
224.2203	0.001183
224.4262	0.000951
224.6322	-0.000083
224.8381	0.000107
225.0441	0.000740
225.2501	-0.000188
225.4561	-0.000800
225.6621	0.000846
225.8681	-0.001137
226.0742	0.000023
226.2802	0.000550
226.4863	0.000909
226.6924	-0.000779
226.8985	0.000213
227.1046	0.000044
227.3107	0.000656
227.5169	0.000086
227.7230	0.000550
227.9292	0.000360
228.1354	-0.000062
228.3416	-0.000083
228.5478	0.001289
228.7541	-0.000040
228.9603	0.001900
229.1666	0.000002
229.3729	-0.000462
229.5791	-0.000209
229.7855	0.002385
229.9918	-0.000357
230.1981	0.001225
230.4045	-0.000062
230.6108	-0.001201
230.8172	0.001120
231.0236	0.000951
231.2300	0.000255
231.4364	0.000571
231.6429	-0.001032
231.8493	0.000297
232.0558	-0.000568
232.2623	0.000719
232.4688	-0.000715
232.6753	0.001879
232.8818	-0.000146
233.0884	-0.000294
233.2949	-0.001390
233.5015	0.000107
233.7081	-0.000104
233.9147	0.000824
234.1213	0.000381
234.3279	0.000529
234.5346	0.000466
234.7413	0.000782
234.9479	0.000803
235.1546	0.000824
235.3613	-0.000673
235.5680	0.000403
235.7748	0.000571
235.9815	0.000466
236.1883	-0.000694
236.3951	0.002385
236.6018	0.001331
236.8087	0.000824
237.0155	0.000318
237.2223	0.001225
237.4292	-0.000188
237.6360	0.000403
237.8429	-0.000969
238.0498	0.001014
238.2567	0.000107
238.4636	-0.000378
238.6706	-0.000294
238.8775	0.000360
239.0845	0.000677
239.2915	0.000613
239.4985	0.000192
239.7055	0.001605
239.9125	0.001014
240.1195	-0.000462
240.3266	0.000149
240.5337	0.001521
240.7407	0.000550
240.9478	-0.000863
241.1549	0.000761
241.3621	0.001605
241.5692	-0.000378
241.7764	0.000761
241.9835	-0.001960
242.1907	0.001985
242.3979	0.000171
242.6051	0.000381
242.8124	-0.000800
243.0196	0.001035
243.2269	0.000171
243.4341	0.000909
243.6414	-0.000568
243.8487	0.000846
244.0560	0.000867
244.2634	0.001035
244.4707	0.000951
244.6781	-0.000884
244.8854	-0.000209
245.0928	-0.000146
245.3002	0.000909
245.5076	0.000740
245.7151	-0.000652
245.9225	0.001056
246.1300	0.001014
246.3375	-0.000104
246.5449	0.001183
246.7524	-0.000737
246.9600	-0.001116
247.1675	-0.000125
247.3750	-0.000167
247.5826	0.000445
247.7902	0.000867
247.9978	0.000171
248.2054	-0.000315
248.4130	0.000381
248.6206	-0.001201
248.8283	0.000234
249.0359	0.000592
249.2436	-0.000610
249.4513	-0.001116
249.6590	0.001289
249.8667	-0.000526
250.0745	0.001225
250.2822	0.000909
250.4900	0.000044
250.6978	0.000360
250.9056	0.000487
251.1134	0.000044
251.3212	-0.000420
251.5290	0.000023
251.7369	-0.000272
251.9447	0.001183
252.1526	0.000656
252.3605	0.000909
252.5684	0.000592
252.7763	-0.000125
252.9843	0.000466
253.1922	-0.000737
253.4002	-0.000631
253.6082	-0.000294
253.8162	0.000613
254.0242	-0.001032
254.2322	-0.000062
254.4402	-0.000526
254.6483	0.000972
254.8564	-0.001074
255.0644	0.001457
255.2725	0.000487
255.4806	-0.000209
255.6888	0.000213
255.8969	0.001014
256.1051	0.000128
256.3132	0.001942
256.5214	-0.000062
256.7296	-0.000737
256.9378	-0.000547
257.1460	0.002048
257.3543	0.000424
257.5625	-0.000336
257.7708	0.000339
257.9791	0.001246
258.1874	0.000782
258.3957	0.000951
258.6040	0.000677
258.8124	0.000403
259.0207	-0.000104
259.2291	0.000339
259.4375	-0.000758
259.6459	0.000360
259.8543	-0.000926
260.0627	-0.000125
260.2711	0.000719
260.4796	0.002069
260.6881	0.000592
260.8965	0.000909
261.1050	-0.000251
261.3135	0.001120
261.5221	0.000445
261.7306	0.001415
261.9392	-0.000062
262.1477	-0.000842
262.3563	0.000761
262.5649	0.000508
262.7735	0.000592
262.9822	0.001542
263.1908	0.000128
263.3995	0.001521
263.6081	0.000824
263.8168	0.001584
264.0255	0.000128
264.2342	-0.001454
264.4429	-0.000104
264.6517	-0.000547
264.8604	0.000107
265.0692	0.001225
265.2780	-0.000336
265.4868	-0.001496
265.6956	0.000466
265.9044	0.000571
266.1133	-0.000420
266.3221	0.000255
266.5310	0.000867
266.7399	-0.000420
266.9488	0.000023
267.1577	0.001310
267.3666	-0.000167
267.5755	0.000234
267.7845	0.000276
267.9935	-0.000040
268.2024	0.001457
268.4114	0.000761
268.6205	-0.000294
268.8295	0.001647
269.0385	0.001014
269.2476	0.000065
269.4566	0.000381
269.6657	-0.000505
269.8748	-0.001454
270.0839	0.000635
270.2931	0.000065
270.5022	0.000571
270.7114	-0.000357
270.9205	0.001394
271.1297	-0.000062
271.3389	0.000403
271.5481	-0.000715
271.7573	0.001056
271.9666	-0.000969
272.1758	0.000002
272.3851	0.000635
272.5944	0.000951
272.8037	0.000128
273.0130	-0.000779
273.2223	-0.001285
273.4316	0.001225
273.6410	0.000107
273.8504	0.000107
274.0597	-0.001390
274.2691	0.001394
274.4785	-0.000357
274.6880	0.001289
274.8974	0.001542
275.1069	0.000635
275.3163	-0.000842
275.5258	0.000339
275.7353	0.000192
275.9448	0.000656
276.1543	-0.001095
276.3639	0.001858
276.5734	0.000213
276.7830	0.001689
276.9926	0.000297
277.2022	0.001415
277.4118	0.001035
277.6214	0.000909
277.8310	-0.000715
278.0407	-0.000336
278.2503	-0.000209
278.4600	0.000972
278.6697	0.000993
278.8794	-0.000483
279.0891	0.000065
279.2989	-0.000884
279.5086	0.000909
279.7184	0.001141
279.9281	0.001457
280.1379	0.002639
280.3477	-0.000863
280.5576	0.001647
280.7674	0.000023
280.9772	0.000592
281.1871	-0.000378
281.3970	0.001626
281.6069	-0.000336
281.8168	-0.000251
282.0267	0.000803
282.2366	0.001753
282.4466	0.000002
282.6565	0.000002
282.8665	0.000149
283.0765	0.001246
283.2865	0.000888
283.4965	0.000909
283.7065	-0.000779
283.9166	0.000255
284.1266	0.000508
284.3367	-0.001369
284.5468	-0.000040
284.7569	-0.001095
284.9670	-0.000737
285.1771	-0.000610
285.3873	-0.000125
285.5974	-0.000104
285.8076	0.001014
286.0178	0.001774
286.2280	-0.000062
286.4382	-0.001180
286.6484	-0.000800
286.8587	0.000803
287.0689	0.000635
287.2792	0.000867
287.4895	0.000508
287.6998	-0.000547
287.9101	0.001183
288.1204	0.000782
288.3308	0.000276
288.5411	0.001204
288.7515	0.001014
288.9619	0.000972
289.1723	-0.001222
289.3827	0.001141
289.5931	0.000360
289.8035	0.001078
290.0140	0.000297
290.2245	-0.000167
290.4349	0.000149
290.6454	-0.002213
290.8559	0.000487
291.0665	-0.000294
291.2770	-0.000715
291.4875	-0.001180
291.6981	0.000487
291.9087	-0.000357
292.1193	-0.000652
292.3299	0.001542
292.5405	-0.000462
292.7511	-0.000104
292.9618	-0.000652
293.1724	0.002533
293.3831	-0.000483
293.5938	0.000803
293.8045	0.000128
294.0152	-0.000019
294.2260	0.001352
294.4367	0.000930
294.6475	0.001626
294.8582	0.000888
295.0690	0.000803
295.2798	0.000613
295.4906	0.000909
295.7015	0.000719
295.9123	-0.000336
296.1232	-0.000526
296.3340	-0.000167
296.5449	0.000761
296.7558	0.000403
296.9667	-0.000441
297.1777	-0.002508
297.3886	0.000888
297.5995	0.000107
297.8105	0.001542
298.0215	0.000128
298.2325	-0.000420
298.4435	0.000466
298.6545	0.000635
298.8656	0.000972
299.0766	0.000993
299.2877	0.000381
299.4988	-0.000294
299.7099	0.000276
299.9210	0.001267
300.1321	0.001078
300.3432	-0.000251
300.5544	-0.000441
300.7655	0.000297
300.9767	0.001162
301.1879	0.001120
301.3991	0.001521
301.6103	0.001162
301.8215	0.000360
302.0328	0.000381
302.2441	0.000803
302.4553	0.000677
302.6666	-0.000019
302.8779	0.000297
303.0892	0.000867
303.3006	0.001120
303.5119	-0.001538
303.7233	0.000149
303.9346	-0.000399
304.1460	0.000023
304.3574	-0.000715
304.5688	0.001183
304.7803	-0.000019
304.9917	0.000276
305.2031	0.000297
305.4146	-0.000378
305.6261	0.000487
305.8376	0.000023
306.0491	0.000403
306.2606	0.000824
306.4722	0.000677
306.6837	-0.000272
306.8953	0.000276
307.1069	0.001542
307.3184	-0.000167
307.5301	0.000656
307.7417	0.001120
307.9533	-0.000272
308.1650	0.000803
308.3766	0.000360
308.5883	0.001056
308.8000	-0.000357
309.0117	0.000044
309.2234	0.001014
309.4351	0.001373
309.6469	0.000698
309.8586	-0.000420
310.0704	0.000044
310.2822	0.000508
310.4940	0.000171
310.7058	0.000824
310.9176	0.000276
311.1295	0.000023
311.3413	0.000761
311.5532	0.000192
311.7651	0.000023
311.9770	0.000403
312.1889	0.000107
312.4008	0.000782
312.6127	-0.000420
312.8247	0.001731
313.0366	-0.000420
313.2486	0.000192
313.4606	-0.000019
313.6726	0.000002
313.8846	-0.000230
314.0967	0.001225
314.3087	0.001985
314.5208	-0.000188
314.7328	0.000550
314.9449	-0.000462
315.1570	0.001710
315.3692	0.001141
315.5813	0.001373
315.7934	-0.000399
316.0056	0.001710
316.2177	-0.000399
316.4299	0.001795
316.6421	0.001204
316.8543	-0.000104
317.0666	0.000592
317.2788	0.000234
317.4911	0.000128
317.7033	-0.000800
317.9156	0.000002
318.1279	0.001394
318.3402	-0.000526
318.5525	0.000276
318.7649	-0.000800
318.9772	0.000318
319.1896	-0.001222
319.4019	0.000297
319.6143	0.000677
319.8267	0.000424
