# Wavelength (nm)	Intensity (a.u.)
197.7802	0.001302
197.9842	0.000986
198.1882	0.000733
198.3922	-0.000448
198.5963	0.000416
198.8003	-0.001545
199.0044	0.000606
199.2085	0.000016
199.4126	-0.000575
199.6168	-0.000596
199.8209	0.001176
200.0251	-0.001270
200.2292	0.000691
200.4334	0.000248
200.6376	0.001197
200.8418	-0.001060
201.0461	0.001049
201.2503	0.000585
201.4546	0.002588
201.6589	-0.000638
201.8631	0.000185
202.0674	0.000543
202.2718	0.001513
202.4761	0.001386
202.6805	0.000691
202.8848	0.000227
203.0892	0.001787
203.2936	0.000248
203.4980	0.000543
203.7024	-0.000258
203.9069	0.000670
204.1113	-0.000300
204.3158	0.000986
204.5203	0.000691
204.7248	0.001239
204.9293	-0.000279
205.1338	-0.000069
205.3384	-0.000385
205.5430	0.000206
205.7475	0.000564
205.9521	0.001618
206.1567	-0.000258
206.3614	0.000648
206.5660	0.001323
206.7706	0.002525
206.9753	0.000712
207.1800	0.001133
207.3847	0.000142
207.5894	-0.001545
207.7941	0.000100
207.9989	0.000754
208.2036	0.002230
208.4084	-0.000300
208.6132	0.001408
208.8180	0.000395
209.0228	0.001344
209.2276	0.001218
209.4325	0.001197
209.6373	-0.000195
209.8422	0.000206
210.0471	-0.000364
210.2520	0.000227
210.4569	0.000332
210.6618	0.000733
210.8668	0.000100
211.0718	0.000163
211.2767	-0.001060
211.4817	-0.000406
211.6867	0.001492
211.8918	0.001386
212.0968	0.000142
212.3018	-0.000258
212.5069	0.001344
212.7120	-0.000132
212.9171	-0.000807
213.1222	0.001344
213.3273	0.000585
213.5325	0.000564
213.7376	0.001344
213.9428	0.001576
214.1480	0.000037
214.3532	-0.000596
214.5584	-0.000364
214.7636	0.000522
214.9689	0.001155
215.1741	-0.000279
215.3794	0.001766
215.5847	0.000648
215.7900	0.000248
215.9953	0.000627
216.2007	0.001155
216.4060	0.000206
216.6114	-0.001060
216.8168	0.000374
217.0222	0.000564
217.2276	0.000290
217.4330	-0.000111
217.6384	0.000459
217.8439	0.001682
218.0494	0.000691
218.2548	0.001218
218.4603	-0.000153
218.6659	0.001555
218.8714	0.000438
219.0769	0.000733
219.2825	0.000037
219.4881	0.001576
219.6936	0.000016
219.8992	0.000248
220.1049	0.000627
220.3105	0.000522
220.5161	-0.000511
220.7218	0.000606
220.9275	0.000522
221.1332	-0.000174
221.3389	0.000079
221.5446	0.000206
221.7503	-0.000511
221.9561	0.004170
222.1618	-0.000237
222.3676	-0.000195
222.5734	-0.000364
222.7792	0.000691
222.9850	-0.000174
223.1909	0.002188
223.3967	0.001682
223.6026	0.001576
223.8085	-0.000069
224.0144	0.000227
224.2203	0.000353
224.4262	0.000501
224.6322	-0.000807
224.8381	0.001260
225.0441	-0.000575
225.2501	0.001829
225.4561	0.000817
225.6621	0.000712
225.8681	0.000480
226.0742	0.001787
226.2802	0.000037
226.4863	0.000395
226.6924	0.000416
226.8985	0.001281
227.1046	0.000248
227.3107	0.000670
227.5169	-0.001144
227.7230	0.001703
227.9292	-0.000680
228.1354	0.000648
228.3416	0.000796
228.5478	0.000269
228.7541	-0.000216
228.9603	0.000206
229.1666	0.001070
229.3729	-0.000069
229.5791	-0.000195
229.7855	0.000121
229.9918	0.000796
230.1981	0.000733
230.4045	-0.000638
230.6108	0.001724
230.8172	0.001871
231.0236	0.001829
231.2300	-0.000343
231.4364	0.002314
231.6429	-0.000090
231.8493	0.000142
232.0558	-0.000090
232.2623	0.000670
232.4688	0.000923
232.6753	0.001492
232.8818	-0.001102
233.0884	0.000986
233.2949	-0.000385
233.5015	0.001133
233.7081	0.000037
233.9147	0.000880
234.1213	0.000016
234.3279	0.001450
234.5346	0.000142
234.7413	0.002019
234.9479	-0.000975
235.1546	0.000185
235.3613	-0.000385
235.5680	0.000901
235.7748	0.001028
235.9815	0.000416
236.1883	-0.000300
236.3951	0.001682
236.6018	0.000079
236.8087	0.000859
237.0155	0.000185
237.2223	0.001808
237.4292	0.001597
237.6360	0.000880
237.8429	0.000227
238.0498	-0.000090
238.2567	-0.000764
238.4636	0.000901
238.6706	0.001176
238.8775	-0.000174
239.0845	-0.000532
239.2915	0.001618
239.4985	0.000121
239.7055	0.000923
239.9125	-0.000005
240.1195	0.000501
240.3266	0.000901
240.5337	0.001408
240.7407	0.000142
240.9478	0.001365
241.1549	0.000269
241.3621	0.000311
241.5692	0.000016
241.7764	0.000585
241.9835	0.000269
242.1907	0.000564
242.3979	0.001133
242.6051	0.000901
242.8124	-0.000912
243.0196	0.001365
243.2269	-0.000448
243.4341	0.001914
243.6414	0.001344
243.8487	0.000353
244.0560	0.000269
244.2634	-0.000469
244.4707	0.000880
244.6781	0.001281
244.8854	0.000923
245.0928	0.001386
245.3002	-0.000300
245.5076	0.000163
245.7151	-0.000005
245.9225	-0.000258
246.1300	0.001260
246.3375	0.000838
246.5449	0.000395
246.7524	0.000459
246.9600	0.000269
247.1675	0.000965
247.3750	0.001239
247.5826	0.000480
247.7902	0.000163
247.9978	-0.000047
248.2054	-0.000785
248.4130	0.001028
248.6206	0.002272
248.8283	0.001176
249.0359	-0.000132
249.2436	0.001176
249.4513	-0.000047
249.6590	-0.000174
249.8667	0.000923
250.0745	0.000627
250.2822	0.001745
250.4900	0.001618
250.6978	-0.000090
250.9056	0.001787
251.1134	0.001640
251.3212	0.000733
251.5290	-0.000828
251.7369	0.000248
251.9447	0.001977
252.1526	-0.000891
