# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000809
197.9842	0.000703
198.1882	0.000703
198.3922	0.000408
198.5963	-0.000647
198.8003	-0.000499
199.0044	-0.000394
199.2085	0.000197
199.4126	-0.001238
199.6168	-0.000035
199.8209	0.000070
200.0251	0.000028
200.2292	0.000745
200.4334	0.000070
200.6376	-0.000605
200.8418	0.001210
201.0461	-0.000689
201.2503	0.000872
201.4546	0.000999
201.6589	-0.001153
201.8631	-0.000035
202.0674	0.000155
202.2718	0.001821
202.4761	0.000851
202.6805	-0.000120
202.8848	-0.000035
203.0892	0.000661
203.2936	-0.000141
203.4980	0.000155
203.7024	-0.000478
203.9069	-0.000098
204.1113	-0.001575
204.3158	0.000197
204.5203	-0.000204
204.7248	0.000809
204.9293	-0.000183
205.1338	-0.000331
205.3384	0.000534
205.5430	0.000893
205.7475	-0.000204
205.9521	-0.000267
206.1567	0.000281
206.3614	-0.000141
206.5660	-0.001533
206.7706	0.000724
206.9753	0.000239
207.1800	0.001041
207.3847	0.000070
207.5894	-0.000056
207.7941	0.000260
207.9989	-0.000141
208.2036	0.001167
208.4084	-0.000309
208.6132	-0.001744
208.8180	0.000809
209.0228	-0.000984
209.2276	0.000134
209.4325	-0.001449
209.6373	0.000176
209.8422	0.000113
210.0471	0.000113
210.2520	0.001294
210.4569	-0.001069
210.6618	-0.000478
210.8668	-0.000795
211.0718	0.000534
211.2767	0.000134
211.4817	0.000281
211.6867	0.000218
211.8918	0.000429
212.0968	0.000387
212.3018	0.000640
212.5069	-0.001259
212.7120	-0.000795
212.9171	0.000893
213.1222	-0.000963
213.3273	0.000745
213.5325	-0.000499
213.7376	-0.000098
213.9428	0.000640
214.1480	0.001463
214.3532	0.000471
214.5584	-0.000647
214.7636	-0.000499
214.9689	-0.001027
215.1741	0.000556
215.3794	0.000534
215.5847	0.000766
215.7900	-0.000288
215.9953	0.000872
216.2007	-0.000056
216.4060	0.000745
216.6114	0.000028
216.8168	0.000809
217.0222	-0.000183
217.2276	0.000640
217.4330	0.001231
217.6384	-0.000626
217.8439	0.000302
218.0494	-0.000120
218.2548	-0.000520
218.4603	0.000471
218.6659	0.000197
218.8714	0.000619
219.0769	0.001231
219.2825	-0.000183
219.4881	0.000745
219.6936	-0.000752
219.8992	0.000450
220.1049	-0.000626
220.3105	-0.000752
220.5161	0.000197
220.7218	0.000007
220.9275	-0.000225
221.1332	0.000492
221.3389	0.000935
221.5446	0.000914
221.7503	-0.001006
221.9561	-0.000626
222.1618	0.000176
222.3676	0.000619
222.5734	0.000070
222.7792	0.001146
222.9850	0.000281
223.1909	0.000028
223.3967	-0.000225
223.6026	-0.001132
223.8085	-0.001280
224.0144	0.000914
224.2203	0.000176
224.4262	-0.000309
224.6322	0.000661
224.8381	-0.000056
225.0441	-0.000520
225.2501	0.001589
225.4561	-0.000541
225.6621	0.000197
225.8681	-0.000774
226.0742	-0.001470
226.2802	-0.001153
226.4863	-0.001153
226.6924	0.000197
226.8985	0.000640
227.1046	-0.000457
227.3107	-0.001470
227.5169	0.000049
227.7230	-0.000563
227.9292	-0.000204
228.1354	0.000408
228.3416	0.000028
228.5478	0.000577
228.7541	-0.000331
228.9603	0.000872
229.1666	0.000091
229.3729	0.000956
229.5791	0.000028
229.7855	0.000218
229.9918	0.000956
230.1981	-0.000141
230.4045	-0.001132
230.6108	0.002560
230.8172	0.000935
231.0236	0.002011
231.2300	-0.000499
231.4364	0.000366
231.6429	0.000070
231.8493	0.000661
232.0558	0.000577
232.2623	0.000830
232.4688	0.000387
232.6753	0.000661
232.8818	0.000809
233.0884	0.001589
233.2949	0.000387
233.5015	0.000366
233.7081	-0.000563
233.9147	0.000956
234.1213	-0.000098
234.3279	-0.000056
234.5346	0.000387
234.7413	0.000872
234.9479	0.000872
235.1546	0.001125
235.3613	0.001146
235.5680	0.000471
235.7748	-0.000478
235.9815	-0.000120
236.1883	0.000450
236.3951	0.000851
236.6018	0.000176
236.8087	0.000513
237.0155	-0.000457
237.2223	0.001927
237.4292	0.000366
237.6360	0.000302
237.8429	-0.001111
238.0498	0.000703
238.2567	-0.000098
238.4636	0.000703
238.6706	0.000640
238.8775	0.000872
239.0845	-0.001702
239.2915	0.000387
239.4985	-0.001406
239.7055	0.001484
239.9125	-0.000478
240.1195	0.000745
240.3266	0.000113
240.5337	0.001378
