# Wavelength	Absorbance
197.780200 2.878522
197.984200 2.907949
198.188200 0.319985
198.392200 2.682145
198.596300 -0.138211
198.800300 2.318063
199.004400 2.918555
199.208500 2.866287
199.412600 2.776701
199.616800 2.768638
199.820900 1.863323
200.025100 2.877947
200.229200 2.463893
200.433400 3.008600
200.637600 2.745075
200.841800 2.902003
201.046100 3.008600
201.250300 0.907174
201.454600 3.220892
201.658900 0.122757
201.863100 2.994757
202.067400 2.760422
202.271800 0.114679
202.476100 2.896526
202.680500 -0.078966
202.884800 2.980458
203.089200 0.590584
203.293600 2.745075
203.498000 0.068186
203.702400 2.336460
203.906900 -0.599667
204.111300 0.000000
204.315800 0.169645
204.520300 3.062958
204.724800 -0.516093
204.929300 2.396199
205.133800 0.486317
205.338400 2.820201
205.543000 0.501188
205.747500 2.682145
205.952100 1.393751
206.156700 0.055536
206.361400 -2.444045
206.566000 2.187521
206.770600 3.168203
206.975300 -0.447473
207.180000 0.845098
207.384700 2.587711
207.589400 -2.741939
207.794100 2.480007
207.998900 2.622214
208.203600 3.152288
208.408400 0.465662
208.613200 2.820201
208.818000 -0.087654
209.022800 2.414973
209.227600 2.820201
209.432500 0.278539
209.637300 2.752816
209.842200 0.058938
210.047100 2.798651
210.252000 -1.004968
210.456900 3.086360
210.661800 3.055378
210.866800 3.104828
211.071800 0.346332
211.276700 2.907949
211.481700 2.736397
211.686700 -0.336959
211.891800 2.480007
212.096800 3.336260
212.301800 0.654893
212.506900 0.734112
212.712000 0.490001
212.917100 0.137144
213.122200 0.258832
213.327300 3.220892
213.532500 0.000000
213.737600 0.036036
213.942800 -1.491862
214.148000 2.631444
214.353200 -2.725095
214.558400 0.348713
214.763600 3.265290
214.968900 -0.092033
215.174100 3.104487
215.379400 0.000000
215.584700 2.846955
215.790000 0.263448
215.995300 -0.253517
216.200700 0.570652
216.406000 2.902003
216.611400 2.587711
216.816800 2.833784
217.022200 2.621176
217.227600 3.086360
217.433000 2.536558
217.638400 3.047275
217.843900 2.700704
218.049400 0.000000
218.254800 0.456855
218.460300 0.049082
218.665900 3.186674
218.871400 3.234517
219.076900 0.876396
219.282500 0.847003
