# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000828
197.9842	-0.000758
198.1882	0.000004
198.3922	-0.000144
198.5963	-0.000229
198.8003	-0.000715
199.0044	0.000892
199.2085	0.001991
199.4126	0.000744
199.6168	-0.000229
199.8209	0.001674
200.0251	-0.001794
200.2292	0.000236
200.4334	-0.000525
200.6376	0.000807
200.8418	-0.000377
201.0461	0.000109
201.2503	0.000469
201.4546	0.000997
201.6589	0.000109
201.8631	0.002773
202.0674	0.000828
202.2718	0.000870
202.4761	0.000701
202.6805	-0.000123
202.8848	-0.000123
203.0892	0.000574
203.2936	-0.000081
203.4980	-0.001371
203.7024	0.000405
203.9069	0.000004
204.1113	-0.000842
204.3158	0.000638
204.5203	-0.000398
204.7248	0.001272
204.9293	-0.000462
205.1338	0.000913
205.3384	-0.001582
205.5430	0.000490
205.7475	0.000109
205.9521	-0.000229
206.1567	0.000617
206.3614	-0.000102
206.5660	0.001653
206.7706	0.000025
206.9753	0.001272
207.1800	0.000490
207.3847	0.002224
207.5894	0.000088
207.7941	0.000807
207.9989	-0.000208
208.2036	-0.000123
208.4084	0.000997
208.6132	-0.000018
208.8180	-0.000271
209.0228	-0.001223
209.2276	-0.000377
209.4325	0.000955
209.6373	0.000173
209.8422	-0.001857
210.0471	0.000786
210.2520	-0.000927
210.4569	0.001103
210.6618	-0.001033
210.8668	-0.000419
211.0718	0.000300
211.2767	0.001272
211.4817	0.001230
211.6867	0.000426
211.8918	0.001145
212.0968	0.001124
212.3018	0.000278
212.5069	0.000469
212.7120	0.001399
212.9171	0.000046
213.1222	0.000596
213.3273	0.001293
213.5325	0.001462
213.7376	-0.000462
213.9428	-0.000736
214.1480	0.001061
214.3532	-0.001603
214.5584	0.001547
214.7636	-0.000271
214.9689	-0.000927
215.1741	-0.000483
215.3794	0.001336
215.5847	0.000574
215.7900	-0.000948
215.9953	-0.000060
216.2007	0.001103
216.4060	-0.001836
216.6114	0.000215
216.8168	-0.000504
217.0222	0.000553
217.2276	-0.000462
217.4330	0.000680
217.6384	0.002287
217.8439	0.000934
218.0494	-0.000842
218.2548	0.000680
218.4603	0.000278
218.6659	0.001124
218.8714	0.000194
219.0769	0.000511
219.2825	-0.000504
219.4881	-0.000208
219.6936	0.000405
219.8992	0.001610
220.1049	0.000617
220.3105	-0.001667
220.5161	0.000236
220.7218	0.000574
220.9275	0.000870
221.1332	-0.000039
221.3389	-0.000166
221.5446	0.000997
221.7503	0.000173
221.9561	0.000321
222.1618	-0.001371
222.3676	0.001293
222.5734	0.000257
222.7792	-0.000229
222.9850	0.000913
223.1909	0.000236
223.3967	0.000574
223.6026	0.000152
223.8085	0.001018
224.0144	0.001526
224.2203	0.001780
224.4262	0.000870
224.6322	0.000426
224.8381	-0.001117
225.0441	-0.000314
225.2501	0.001145
225.4561	-0.000462
