# Wavelength (nm)	Intensity (a.u.)
197.7802	0.001293
197.9842	0.000387
198.1882	0.001399
198.3922	-0.001427
198.5963	-0.000436
198.8003	-0.000330
199.0044	0.001209
199.2085	0.001378
199.4126	-0.000183
199.6168	-0.000014
199.8209	0.001441
200.0251	0.001293
200.2292	0.001293
200.4334	-0.000604
200.6376	0.001588
200.8418	0.000450
201.0461	0.000513
201.2503	0.000703
201.4546	-0.000541
201.6589	0.000513
201.8631	0.001146
202.0674	-0.000626
202.2718	-0.000900
202.4761	0.000893
202.6805	0.000218
202.8848	0.000640
203.0892	-0.000457
203.2936	0.001293
203.4980	0.000682
203.7024	-0.000984
203.9069	0.000914
204.1113	0.001061
204.3158	-0.000014
204.5203	0.001103
204.7248	0.001631
204.9293	-0.000499
205.1338	0.000260
205.3384	0.000260
205.5430	-0.000478
205.7475	0.001420
205.9521	0.001103
206.1567	0.000766
206.3614	0.001103
206.5660	0.000850
206.7706	0.000597
206.9753	0.000091
207.1800	0.001167
207.3847	-0.000098
207.5894	0.000049
207.7941	0.000091
207.9989	0.002010
208.2036	0.000302
208.4084	0.000218
208.6132	0.000787
208.8180	0.001420
209.0228	0.001082
209.2276	0.000091
209.4325	0.000703
209.6373	0.000640
209.8422	-0.000541
210.0471	0.001272
210.2520	-0.000689
210.4569	0.000787
210.6618	0.000534
210.8668	0.001778
211.0718	-0.000647
211.2767	0.001884
211.4817	0.000977
211.6867	0.000893
211.8918	0.000408
212.0968	0.000850
212.3018	-0.000014
212.5069	0.000640
212.7120	0.000155
212.9171	0.000766
213.1222	0.001040
213.3273	0.001968
213.5325	-0.000288
213.7376	0.000640
213.9428	0.000197
214.1480	0.000787
214.3532	-0.000541
214.5584	0.000408
214.7636	-0.000119
214.9689	0.001968
215.1741	0.000492
215.3794	0.000323
215.5847	0.000492
215.7900	0.001504
215.9953	-0.000246
216.2007	0.001631
216.4060	0.000197
216.6114	0.000914
216.8168	0.000640
217.0222	0.001251
217.2276	0.001546
217.4330	-0.000098
217.6384	0.000618
217.8439	0.001546
218.0494	-0.000330
218.2548	0.001525
218.4603	0.000471
218.6659	0.000555
218.8714	0.000197
219.0769	0.001040
219.2825	0.000956
219.4881	0.001230
219.6936	0.000956
219.8992	0.000450
220.1049	0.000998
220.3105	0.001504
220.5161	0.000260
220.7218	0.000155
220.9275	0.000302
221.1332	0.000471
221.3389	0.000492
221.5446	-0.000056
221.7503	0.002200
221.9561	0.001462
222.1618	0.000640
222.3676	0.000239
222.5734	0.000112
222.7792	0.002263
222.9850	0.001420
223.1909	0.000766
223.3967	0.000724
223.6026	0.001103
223.8085	0.000197
224.0144	-0.000309
224.2203	0.000914
224.4262	0.000640
224.6322	0.000007
224.8381	-0.000183
225.0441	0.000260
225.2501	0.000724
225.4561	0.000914
225.6621	0.001209
225.8681	-0.000394
226.0742	0.001504
226.2802	-0.000141
226.4863	0.000745
226.6924	0.001356
226.8985	0.000576
227.1046	-0.001448
227.3107	0.000344
227.5169	-0.000204
227.7230	0.000871
227.9292	0.000534
228.1354	-0.000246
228.3416	0.000492
228.5478	0.000155
228.7541	0.000682
228.9603	0.001314
229.1666	-0.000309
229.3729	0.001314
229.5791	0.001504
229.7855	0.000787
229.9918	0.000914
230.1981	0.001462
230.4045	0.000260
230.6108	0.000724
230.8172	0.000703
231.0236	0.000534
231.2300	0.000871
231.4364	0.000618
231.6429	-0.000520
231.8493	0.000766
232.0558	0.000724
232.2623	-0.000077
232.4688	0.001061
232.6753	-0.000457
232.8818	0.000197
233.0884	-0.000900
233.2949	-0.000415
233.5015	0.000914
233.7081	-0.000225
233.9147	-0.000351
234.1213	0.000871
234.3279	-0.000162
234.5346	0.001040
234.7413	0.001251
234.9479	0.000492
235.1546	0.001504
235.3613	0.000260
235.5680	-0.000794
235.7748	0.000555
235.9815	0.000218
236.1883	-0.000246
236.3951	0.002073
236.6018	0.000408
236.8087	0.001103
237.0155	0.000091
237.2223	0.001082
237.4292	0.001378
237.6360	0.002031
237.8429	0.001188
238.0498	0.000281
238.2567	0.000471
238.4636	-0.000752
238.6706	0.000049
238.8775	0.000998
239.0845	0.000745
239.2915	0.000387
239.4985	-0.000562
239.7055	0.001715
239.9125	-0.000836
240.1195	0.001335
240.3266	0.002896
240.5337	-0.000731
240.7407	-0.000773
240.9478	0.000998
241.1549	-0.000647
241.3621	0.001293
241.5692	0.001926
241.7764	0.000661
241.9835	-0.000267
242.1907	-0.000246
242.3979	0.001378
242.6051	0.000829
242.8124	0.001483
243.0196	0.000766
243.2269	0.000197
243.4341	0.001125
243.6414	0.001884
243.8487	0.000429
244.0560	0.001378
244.2634	0.000682
244.4707	0.000597
244.6781	0.001378
244.8854	0.000408
245.0928	0.001420
245.3002	0.001841
245.5076	0.000935
245.7151	0.000597
245.9225	0.001209
246.1300	0.000745
246.3375	0.001736
246.5449	0.000597
246.7524	0.000682
246.9600	-0.000098
247.1675	0.000935
247.3750	0.000302
247.5826	0.000091
247.7902	0.001082
247.9978	0.001293
248.2054	-0.000183
248.4130	0.001272
248.6206	0.000281
248.8283	0.001420
249.0359	0.000365
249.2436	0.000429
249.4513	0.000007
249.6590	0.000956
249.8667	0.000429
250.0745	0.000787
250.2822	0.000323
250.4900	-0.001026
250.6978	0.000829
250.9056	-0.000604
251.1134	0.000513
251.3212	0.002073
251.5290	-0.000752
251.7369	0.000977
251.9447	0.000513
252.1526	0.000197
252.3605	-0.000183
252.5684	0.001715
252.7763	0.000597
252.9843	0.001905
253.1922	-0.000351
253.4002	-0.000077
253.6082	0.001441
253.8162	-0.000984
254.0242	-0.000562
254.2322	0.000534
254.4402	0.001314
254.6483	0.001378
254.8564	0.000534
255.0644	0.001609
255.2725	0.000808
255.4806	0.000935
255.6888	0.000850
255.8969	0.000513
256.1051	0.000429
256.3132	0.001841
256.5214	0.000850
256.7296	0.001209
256.9378	0.000218
257.1460	0.001230
257.3543	-0.000014
257.5625	0.000935
257.7708	0.001715
257.9791	0.000597
258.1874	0.000323
258.3957	0.000091
258.6040	0.000703
258.8124	0.000365
259.0207	0.000365
259.2291	0.000914
259.4375	0.001335
259.6459	0.000597
259.8543	0.000344
260.0627	0.001483
260.2711	0.000323
260.4796	-0.000921
260.6881	0.001209
260.8965	0.001061
261.1050	0.000534
261.3135	0.001715
261.5221	-0.000541
261.7306	0.000576
261.9392	0.000260
262.1477	0.001673
262.3563	-0.000056
262.5649	-0.000984
262.7735	0.000429
262.9822	0.001293
263.1908	-0.001153
263.3995	0.002390
263.6081	0.000387
263.8168	0.000682
264.0255	0.000429
264.2342	0.001019
264.4429	0.000028
264.6517	-0.000077
264.8604	0.000323
265.0692	0.000977
265.2780	0.001209
265.4868	0.000471
265.6956	-0.000056
265.9044	0.001251
266.1133	0.001188
266.3221	0.001694
266.5310	-0.000014
266.7399	0.001167
266.9488	0.000344
267.1577	0.000956
267.3666	-0.000647
267.5755	0.000492
267.7845	0.001652
267.9935	0.000492
268.2024	0.000576
268.4114	0.002242
268.6205	0.000239
268.8295	0.000492
269.0385	0.000745
269.2476	-0.000478
269.4566	0.000429
269.6657	0.000977
269.8748	-0.000942
270.0839	0.001335
270.2931	0.000640
270.5022	0.001820
270.7114	0.001525
270.9205	0.001293
271.1297	0.001019
271.3389	-0.000183
271.5481	0.001841
271.7573	0.000492
271.9666	0.001546
272.1758	0.000576
272.3851	0.000176
272.5944	0.001420
272.8037	0.000555
273.0130	0.000618
273.2223	0.000197
273.4316	0.001420
273.6410	-0.000942
273.8504	0.001757
274.0597	0.000429
274.2691	0.000618
274.4785	-0.000162
274.6880	0.000640
274.8974	-0.000119
275.1069	0.001146
275.3163	0.001905
275.5258	-0.000119
275.7353	0.000007
275.9448	0.001019
276.1543	0.000471
276.3639	0.000597
276.5734	0.000534
276.7830	0.000365
276.9926	0.000935
277.2022	0.000871
277.4118	0.000661
277.6214	0.000829
277.8310	0.000112
278.0407	0.001061
278.2503	0.001483
278.4600	0.000745
278.6697	0.000871
278.8794	0.000850
279.0891	0.000091
279.2989	0.001040
279.5086	-0.000520
279.7184	0.001082
279.9281	-0.000520
280.1379	0.000998
280.3477	-0.000879
280.5576	0.000555
280.7674	-0.000119
280.9772	0.001167
281.1871	0.000998
281.3970	0.000302
281.6069	-0.000309
281.8168	0.001588
282.0267	0.001019
282.2366	0.001609
282.4466	-0.000499
282.6565	0.000724
282.8665	0.000260
283.0765	0.000365
283.2865	0.001799
283.4965	0.000829
283.7065	-0.000372
283.9166	0.000977
284.1266	0.000218
284.3367	0.000661
284.5468	0.000935
284.7569	0.000914
284.9670	0.000134
285.1771	0.001799
285.3873	0.000745
285.5974	0.000387
285.8076	0.000218
286.0178	0.001715
286.2280	0.000977
286.4382	-0.000246
286.6484	0.000914
286.8587	0.001209
287.0689	0.001862
287.2792	0.000513
287.4895	0.000070
287.6998	-0.000246
287.9101	0.001209
288.1204	0.000028
288.3308	0.000429
288.5411	0.000829
288.7515	0.000028
288.9619	0.001293
289.1723	0.001188
289.3827	0.001420
289.5931	0.000998
289.8035	0.001715
290.0140	-0.000372
290.2245	0.000597
290.4349	0.001082
290.6454	0.000534
290.8559	-0.000604
291.0665	0.002368
291.2770	-0.000604
291.4875	0.000871
291.6981	-0.000689
291.9087	0.001082
292.1193	-0.000857
292.3299	0.000218
292.5405	0.000576
292.7511	0.001757
292.9618	0.001757
293.1724	-0.000077
