# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000980
197.9842	0.000157
198.1882	-0.000455
198.3922	-0.001300
198.5963	0.000980
198.8003	0.001549
199.0044	0.000473
199.2085	-0.000244
199.4126	0.000811
199.6168	0.000325
199.8209	0.001866
200.0251	0.000515
200.2292	0.000178
200.4334	-0.000244
200.6376	0.001148
200.8418	0.001528
201.0461	0.000346
201.2503	0.000600
201.4546	-0.000540
201.6589	0.001169
201.8631	0.000579
202.0674	0.000368
202.2718	0.000769
202.4761	-0.000097
202.6805	0.001697
202.8848	0.001676
203.0892	-0.000455
203.2936	-0.000941
203.4980	0.001486
203.7024	0.001381
203.9069	0.001022
204.1113	-0.000076
204.3158	0.001655
204.5203	-0.000540
204.7248	0.000557
204.9293	-0.000645
205.1338	0.000621
205.3384	0.000684
205.5430	0.000726
205.7475	-0.000033
205.9521	0.001381
206.1567	0.000980
206.3614	0.001549
206.5660	-0.001067
206.7706	0.001212
206.9753	-0.001215
207.1800	0.000304
207.3847	0.001444
207.5894	0.000325
207.7941	0.000684
207.9989	-0.000139
208.2036	-0.000033
208.4084	0.001486
208.6132	-0.000561
208.8180	0.002288
209.0228	0.000937
209.2276	0.000009
209.4325	0.000431
209.6373	-0.000371
209.8422	0.000452
210.0471	0.000747
210.2520	-0.000055
210.4569	0.000135
210.6618	-0.000667
210.8668	0.001275
211.0718	0.001296
211.2767	-0.000413
211.4817	0.000072
211.6867	0.001634
211.8918	0.000114
212.0968	0.000579
212.3018	-0.000730
212.5069	0.000304
212.7120	-0.000202
212.9171	0.001043
213.1222	-0.000835
213.3273	0.001486
213.5325	-0.001004
213.7376	0.000368
213.9428	0.000346
214.1480	0.000980
214.3532	-0.001046
214.5584	0.000769
214.7636	0.000769
214.9689	0.000811
215.1741	0.000030
215.3794	0.001676
215.5847	-0.000266
215.7900	0.000093
215.9953	-0.001511
216.2007	0.000790
216.4060	-0.000139
216.6114	0.000389
216.8168	0.000325
217.0222	0.001739
217.2276	0.000410
217.4330	0.001486
217.6384	0.001465
217.8439	0.000389
218.0494	0.000241
218.2548	0.000051
218.4603	-0.000139
218.6659	0.001739
218.8714	-0.000751
219.0769	0.001781
219.2825	-0.000223
219.4881	0.000325
219.6936	0.000452
219.8992	0.000157
220.1049	-0.000498
220.3105	-0.000519
220.5161	0.001486
220.7218	0.001739
220.9275	0.001486
221.1332	0.000853
221.3389	0.000853
221.5446	0.000874
221.7503	0.001106
221.9561	-0.000097
222.1618	-0.000455
222.3676	0.000811
222.5734	-0.001511
222.7792	0.001423
222.9850	0.000895
223.1909	0.001381
223.3967	-0.000287
223.6026	-0.000308
223.8085	-0.000055
224.0144	0.001634
224.2203	0.001950
224.4262	0.001592
224.6322	0.000283
224.8381	0.000895
225.0441	0.001824
225.2501	0.001570
225.4561	-0.000498
225.6621	0.001127
225.8681	0.000705
226.0742	0.000051
226.2802	-0.000709
226.4863	-0.000287
226.6924	0.000473
226.8985	0.001697
227.1046	-0.000603
227.3107	0.001148
227.5169	0.000009
227.7230	-0.000329
227.9292	-0.000434
228.1354	0.001676
228.3416	0.000515
228.5478	0.000579
228.7541	0.001043
228.9603	0.000895
229.1666	0.001676
229.3729	0.000895
229.5791	-0.000076
229.7855	0.000304
229.9918	0.001317
230.1981	0.001022
230.4045	0.000452
230.6108	0.000536
230.8172	0.000621
231.0236	0.000431
231.2300	0.000009
231.4364	0.000452
231.6429	0.000368
231.8493	0.000895
232.0558	0.001275
232.2623	0.001254
232.4688	-0.000561
232.6753	0.000515
232.8818	0.000494
233.0884	0.001148
233.2949	-0.001236
233.5015	-0.000097
233.7081	-0.000308
233.9147	0.000600
234.1213	-0.000244
234.3279	0.000769
234.5346	-0.000371
234.7413	0.001296
234.9479	0.001022
235.1546	0.000389
235.3613	-0.001279
235.5680	0.000958
235.7748	0.001528
235.9815	0.001381
236.1883	0.000114
236.3951	0.002119
236.6018	0.000600
236.8087	0.001191
237.0155	0.000473
237.2223	0.000600
237.4292	0.001001
237.6360	0.000937
237.8429	0.000178
238.0498	-0.000920
238.2567	0.000621
238.4636	0.000157
238.6706	0.000346
238.8775	-0.000202
239.0845	-0.000455
239.2915	0.000980
239.4985	-0.000244
239.7055	0.001169
239.9125	0.001085
240.1195	-0.000118
240.3266	-0.000266
240.5337	-0.000160
240.7407	0.000536
240.9478	0.000304
241.1549	0.000853
241.3621	-0.000582
241.5692	0.000051
241.7764	0.000895
241.9835	-0.000033
242.1907	-0.000371
242.3979	0.000916
242.6051	0.001085
242.8124	0.000790
243.0196	0.001191
243.2269	-0.000392
243.4341	-0.001279
243.6414	0.000178
243.8487	-0.000856
244.0560	0.001022
244.2634	0.000368
244.4707	0.000958
244.6781	0.001233
244.8854	0.000705
245.0928	-0.000244
245.3002	0.000452
245.5076	0.001528
245.7151	0.000874
245.9225	0.000705
246.1300	0.000832
246.3375	0.002119
246.5449	0.001634
