# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000778
197.9842	0.000461
198.1882	0.001896
198.3922	0.000693
198.5963	0.000334
198.8003	-0.000193
199.0044	0.002171
199.2085	0.000440
199.4126	-0.000193
199.6168	0.001263
199.8209	0.000630
200.0251	0.000482
200.2292	0.001073
200.4334	-0.000827
200.6376	0.000018
200.8418	0.001242
201.0461	-0.000763
201.2503	0.000566
201.4546	-0.000468
201.6589	-0.000004
201.8631	0.000334
202.0674	0.000060
202.2718	0.002023
202.4761	0.001200
202.6805	0.000440
202.8848	0.000018
203.0892	0.000967
203.2936	0.000925
203.4980	0.001559
203.7024	-0.000721
203.9069	-0.000299
204.1113	-0.000046
204.3158	0.000925
204.5203	-0.000531
204.7248	0.001537
204.9293	0.000693
205.1338	0.000904
205.3384	0.000018
205.5430	0.000334
205.7475	0.000482
205.9521	-0.000088
206.1567	0.000355
206.3614	-0.000405
206.5660	0.000376
206.7706	0.001115
206.9753	0.000989
207.1800	0.000672
207.3847	0.000186
207.5894	0.000102
207.7941	0.001537
207.9989	0.001411
208.2036	0.001284
208.4084	0.000398
208.6132	0.000566
208.8180	0.000588
209.0228	0.000102
209.2276	0.000545
209.4325	-0.000658
209.6373	0.001643
209.8422	-0.000215
210.0471	0.000946
210.2520	0.000651
210.4569	0.001305
210.6618	0.000292
210.8668	0.000144
211.0718	0.000482
211.2767	0.000672
211.4817	0.000039
211.6867	0.001854
211.8918	-0.000278
212.0968	0.000841
212.3018	-0.000468
212.5069	0.001179
212.7120	-0.000215
212.9171	0.000271
213.1222	0.001136
213.3273	0.001179
213.5325	0.000862
213.7376	0.001031
213.9428	-0.001333
214.1480	0.000862
214.3532	0.000208
214.5584	0.001073
214.7636	0.000144
214.9689	-0.002178
215.1741	0.001010
215.3794	0.000609
215.5847	-0.000426
215.7900	0.001094
215.9953	0.000862
216.2007	0.000123
216.4060	0.000292
216.6114	0.001031
216.8168	0.000524
217.0222	0.000545
217.2276	0.000841
217.4330	0.000060
217.6384	0.002171
217.8439	0.001770
218.0494	-0.000552
218.2548	-0.001143
218.4603	-0.000067
218.6659	0.000841
218.8714	-0.000025
219.0769	0.001643
219.2825	-0.001333
219.4881	0.000440
219.6936	-0.001228
219.8992	0.001010
220.1049	-0.000151
220.3105	-0.000573
220.5161	-0.000679
220.7218	-0.000489
220.9275	0.000883
221.1332	0.000630
221.3389	0.000820
221.5446	0.000440
221.7503	0.000060
221.9561	0.000630
222.1618	-0.000004
222.3676	0.001516
222.5734	0.001094
222.7792	0.000545
222.9850	0.001664
223.1909	0.000609
223.3967	-0.000447
223.6026	0.000440
223.8085	-0.000806
224.0144	0.000735
224.2203	0.001284
224.4262	0.000693
224.6322	-0.000827
224.8381	0.001010
225.0441	-0.000468
225.2501	-0.000679
225.4561	0.001136
225.6621	-0.000447
225.8681	0.001010
226.0742	-0.001059
226.2802	-0.000320
226.4863	0.000419
226.6924	0.000229
226.8985	0.000630
227.1046	0.001157
227.3107	0.000862
227.5169	0.001010
227.7230	0.001875
227.9292	0.000039
228.1354	0.001875
228.3416	0.000355
228.5478	0.001622
228.7541	0.000440
228.9603	0.000376
229.1666	-0.000004
229.3729	0.000440
229.5791	-0.000405
229.7855	0.000229
229.9918	-0.000573
230.1981	0.000081
230.4045	0.000018
230.6108	0.001073
230.8172	0.000039
231.0236	0.000271
231.2300	-0.000383
231.4364	0.000461
231.6429	-0.000004
231.8493	0.000862
232.0558	-0.000405
232.2623	0.000630
232.4688	0.000355
232.6753	0.000588
232.8818	-0.000447
233.0884	0.001115
233.2949	0.000989
233.5015	-0.000721
233.7081	0.000714
233.9147	-0.000405
234.1213	0.000946
234.3279	0.002192
234.5346	0.001326
234.7413	0.000229
234.9479	-0.001629
235.1546	0.001115
235.3613	-0.000215
235.5680	0.001263
235.7748	0.000376
235.9815	0.000651
236.1883	0.000967
236.3951	0.000545
236.6018	0.001664
236.8087	0.000081
237.0155	0.000545
237.2223	0.001073
237.4292	0.000229
237.6360	0.002192
237.8429	0.001432
238.0498	0.001685
238.2567	0.001284
238.4636	0.001242
238.6706	0.000355
238.8775	0.000672
239.0845	0.001326
239.2915	-0.000721
239.4985	-0.000215
239.7055	0.000271
239.9125	0.001263
240.1195	0.000925
240.3266	-0.000785
240.5337	0.000841
240.7407	0.000229
240.9478	0.002002
241.1549	-0.000975
241.3621	0.000967
241.5692	0.000967
241.7764	0.000102
241.9835	0.000672
242.1907	0.001136
242.3979	0.000018
242.6051	-0.000236
242.8124	0.000271
243.0196	0.001453
243.2269	0.000208
243.4341	-0.000320
243.6414	0.000229
243.8487	-0.000046
244.0560	0.000398
244.2634	0.000376
244.4707	0.000144
244.6781	0.001052
244.8854	-0.000721
245.0928	0.000503
245.3002	0.000123
245.5076	-0.000257
245.7151	0.000482
245.9225	0.000756
246.1300	-0.001861
246.3375	0.000756
246.5449	-0.000172
246.7524	0.000123
246.9600	-0.000405
247.1675	0.000461
247.3750	0.000651
247.5826	0.000693
247.7902	0.001094
247.9978	0.001833
248.2054	0.000925
248.4130	0.001854
248.6206	0.000482
248.8283	0.000630
249.0359	0.001601
249.2436	0.000820
249.4513	0.000165
249.6590	-0.001354
249.8667	-0.000025
250.0745	0.000714
250.2822	0.000630
250.4900	-0.000193
250.6978	0.001115
250.9056	-0.000616
251.1134	-0.000489
251.3212	0.001601
251.5290	0.000313
251.7369	0.000566
251.9447	0.000102
252.1526	0.000630
252.3605	-0.000531
252.5684	0.001115
252.7763	0.000060
252.9843	-0.000172
253.1922	-0.000426
253.4002	0.001369
253.6082	0.000355
253.8162	0.001200
254.0242	0.001369
254.2322	0.001305
254.4402	-0.000257
254.6483	0.001390
254.8564	-0.000616
255.0644	0.000271
255.2725	0.001938
255.4806	-0.000004
255.6888	0.002255
255.8969	-0.001228
256.1051	-0.000046
256.3132	-0.000890
256.5214	0.001601
256.7296	0.002065
256.9378	0.000250
257.1460	0.001326
257.3543	-0.000109
257.5625	0.001073
257.7708	0.000630
257.9791	0.000102
258.1874	-0.000405
258.3957	0.000841
258.6040	0.000672
258.8124	0.002065
259.0207	0.000271
259.2291	-0.000573
259.4375	-0.000721
259.6459	0.001770
259.8543	-0.000763
260.0627	0.000186
260.2711	0.000229
260.4796	0.000967
260.6881	0.001643
260.8965	-0.000046
261.1050	0.000334
261.3135	-0.000362
261.5221	0.001390
261.7306	0.000862
261.9392	0.000883
262.1477	0.000503
262.3563	0.001770
262.5649	0.000208
262.7735	0.000039
262.9822	0.000989
263.1908	0.000123
263.3995	0.001664
263.6081	0.002276
263.8168	0.000292
264.0255	0.000904
264.2342	-0.000426
264.4429	-0.000109
264.6517	0.000271
264.8604	-0.000151
265.0692	-0.000320
265.2780	-0.000046
265.4868	-0.000721
265.6956	0.002065
265.9044	0.000820
266.1133	-0.000616
266.3221	0.000883
266.5310	0.000398
266.7399	0.000862
266.9488	-0.000975
267.1577	0.001284
267.3666	-0.000890
267.5755	0.000123
267.7845	-0.000341
267.9935	0.002720
268.2024	0.000799
268.4114	0.000609
268.6205	-0.000236
268.8295	0.001559
269.0385	0.000081
269.2476	0.001770
269.4566	0.000756
269.6657	0.000946
269.8748	-0.000067
270.0839	0.001242
270.2931	-0.000088
270.5022	0.000102
270.7114	-0.000088
270.9205	0.001453
271.1297	0.000271
271.3389	0.000778
271.5481	0.001073
271.7573	0.000039
271.9666	-0.001017
272.1758	-0.000151
272.3851	0.000799
272.5944	0.000355
272.8037	0.001453
273.0130	0.000799
273.2223	-0.000468
273.4316	0.000229
273.6410	0.000018
273.8504	0.000651
274.0597	0.001326
274.2691	0.000355
274.4785	0.000039
274.6880	0.002086
274.8974	0.000946
275.1069	-0.000130
275.3163	0.001580
275.5258	-0.000616
275.7353	0.000102
275.9448	0.000545
276.1543	0.000398
276.3639	0.001326
276.5734	0.000503
276.7830	0.000123
276.9926	0.000250
277.2022	-0.000785
277.4118	-0.000151
277.6214	0.000292
277.8310	-0.000911
278.0407	0.000334
278.2503	0.000081
278.4600	0.000799
278.6697	-0.000616
278.8794	0.000186
279.0891	0.000820
279.2989	-0.000426
279.5086	0.000376
279.7184	-0.000383
279.9281	0.000566
280.1379	0.000376
280.3477	0.001115
280.5576	-0.000637
280.7674	0.001010
280.9772	0.001179
281.1871	-0.000953
281.3970	-0.000468
281.6069	0.000799
281.8168	0.000524
282.0267	0.000102
282.2366	0.001073
282.4466	-0.000215
282.6565	0.002086
282.8665	0.000862
283.0765	0.000102
283.2865	0.000756
283.4965	0.000989
283.7065	0.000862
283.9166	-0.000341
284.1266	0.001052
284.3367	0.000967
284.5468	-0.000721
284.7569	0.001516
284.9670	-0.000067
285.1771	0.000419
285.3873	-0.000278
285.5974	0.001580
285.8076	0.001917
286.0178	0.000566
286.2280	0.000186
286.4382	0.000967
286.6484	0.000440
286.8587	0.001242
287.0689	-0.000067
287.2792	0.001010
287.4895	0.000841
287.6998	0.002065
287.9101	0.000419
288.1204	0.000925
288.3308	0.000693
288.5411	0.000672
288.7515	-0.000468
288.9619	0.002107
289.1723	-0.000299
289.3827	-0.000299
289.5931	0.000144
289.8035	0.000778
290.0140	0.000186
290.2245	0.000799
290.4349	0.000925
290.6454	0.000883
290.8559	0.000778
291.0665	0.001791
291.2770	0.001242
291.4875	0.001326
291.6981	0.001073
291.9087	0.000967
292.1193	-0.000405
292.3299	0.000313
292.5405	0.000461
292.7511	-0.000637
292.9618	0.001305
293.1724	0.000566
293.3831	0.000039
293.5938	0.000229
293.8045	0.000778
294.0152	0.000524
294.2260	0.000756
294.4367	-0.000299
294.6475	0.000081
294.8582	0.000609
295.0690	0.002023
295.2798	0.001559
295.4906	0.000102
295.7015	-0.001291
295.9123	0.000820
296.1232	0.000376
296.3340	0.001411
296.5449	0.000250
296.7558	-0.000215
296.9667	0.001749
297.1777	0.000186
297.3886	0.000989
297.5995	-0.001101
297.8105	-0.000236
298.0215	0.000039
298.2325	0.001622
298.4435	0.000186
298.6545	-0.000510
298.8656	-0.000215
299.0766	0.001580
299.2877	0.000778
299.4988	0.000588
299.7099	0.000778
299.9210	0.001326
300.1321	0.001052
