# Wavelength	Absorbance
197.780200 -0.033168
197.984200 2.907949
198.188200 0.241902
198.392200 2.682145
198.596300 0.083638
198.800300 2.318063
199.004400 2.918555
199.208500 0.346459
199.412600 1.028513
199.616800 2.768638
199.820900 -0.499348
200.025100 2.877947
200.229200 2.463893
200.433400 0.024523
200.637600 0.535560
200.841800 2.902003
201.046100 -0.351993
201.250300 0.376289
201.454600 0.332151
201.658900 0.240248
201.863100 0.083067
202.067400 -0.394610
202.271800 0.008124
202.476100 2.896526
202.680500 2.827369
202.884800 2.980458
203.089200 0.724998
203.293600 2.745075
203.498000 1.767156
203.702400 0.187241
203.906900 -1.346310
204.111300 -2.838849
204.315800 -0.183336
204.520300 3.062958
204.724800 -0.567321
204.929300 1.250071
205.133800 0.072996
205.338400 2.820201
205.543000 1.627366
205.747500 -0.156704
205.952100 0.025278
206.156700 3.034628
206.361400 0.000000
206.566000 2.187521
206.770600 0.508287
206.975300 1.148338
207.180000 -1.853872
207.384700 2.587711
207.589400 -3.020775
207.794100 2.480007
207.998900 2.622214
208.203600 0.300419
208.408400 0.026329
208.613200 2.820201
208.818000 -0.416146
209.022800 0.335792
209.227600 0.121231
209.432500 1.363880
209.637300 -0.488979
209.842200 2.294466
210.047100 2.798651
210.252000 0.057443
210.456900 -0.218992
210.661800 -0.361429
210.866800 0.228033
211.071800 0.465001
211.276700 2.907949
211.481700 0.473945
211.686700 -0.475092
211.891800 2.480007
212.096800 3.336260
212.301800 2.890421
212.506900 -0.067368
212.712000 0.756157
212.917100 0.314652
213.122200 0.185952
213.327300 1.334402
213.532500 0.000000
213.737600 0.268589
213.942800 1.447158
214.148000 0.368993
214.353200 0.000000
214.558400 0.384460
214.763600 0.531290
214.968900 2.896526
215.174100 0.322732
215.379400 -2.390935
215.584700 2.846955
215.790000 0.595091
215.995300 2.820201
216.200700 -0.508109
216.406000 2.902003
216.611400 0.378196
216.816800 0.947294
217.022200 -0.576380
217.227600 0.594998
217.433000 -0.649267
217.638400 3.047275
217.843900 -0.081052
218.049400 0.000000
218.254800 0.291004
218.460300 3.008600
218.665900 3.186674
218.871400 0.437943
219.076900 2.990339
219.282500 -0.109092
219.488100 3.047275
219.693600 -0.286134
219.899200 0.485886
220.104900 1.168888
220.310500 -0.853208
220.516100 0.000000
220.721800 2.872156
220.927500 0.033321
221.133200 2.902003
221.338900 0.025208
221.544600 0.637440
221.750300 3.183555
221.956100 2.907411
222.161800 -0.233252
222.367600 0.087858
222.573400 2.643453
222.779200 -3.128399
222.985000 -2.911690
223.190900 3.017451
223.396700 -0.381422
223.602600 0.171559
223.808500 -0.356675
224.014400 0.644183
224.220300 0.275591
224.426200 -0.358400
224.632200 -0.246970
224.838100 -0.195226
225.044100 2.653213
225.250100 2.550228
225.456100 -0.211299
225.662100 -0.413647
225.868100 2.127105
226.074200 -0.244338
226.280200 -2.993436
226.486300 0.112956
226.692400 -3.020775
226.898500 0.304829
227.104600 2.294466
227.310700 0.057704
227.516900 -0.418583
227.723000 -0.429923
227.929200 0.073014
228.135400 0.293061
228.341600 -0.311779
228.547800 0.959008
228.754100 0.577380
228.960300 2.245513
229.166600 -2.571709
229.372900 2.907949
229.579100 2.683047
229.785500 2.791691
229.991800 -1.150537
230.198100 0.291210
230.404500 -0.607921
230.610800 -0.042214
230.817200 0.000000
231.023600 2.890421
231.230000 -0.098708
231.436400 0.889837
231.642900 -0.120347
231.849300 -0.428679
232.055800 2.008600
232.262300 0.368433
232.468800 1.959041
232.675300 -0.221157
232.881800 0.390368
233.088400 0.354140
233.294900 -0.372497
233.501500 2.902003
233.708100 -2.766413
233.914700 -0.243762
234.121300 -2.888741
234.327900 2.776701
234.534600 -0.432466
234.741300 3.097604
234.947900 0.019559
235.154600 0.529404
235.361300 3.122544
235.568000 0.028580
235.774800 2.662758
235.981500 2.562293
236.188300 -3.093071
236.395100 0.076840
236.601800 0.000000
236.808700 -0.013565
237.015500 2.961421
237.222300 2.853698
237.429200 0.498877
237.636000 0.362634
237.842900 1.851258
238.049800 0.219585
238.256700 2.653213
238.463600 1.917205
238.670600 0.016087
238.877500 0.239241
239.084500 -3.085647
239.291500 -0.010195
239.498500 -0.643228
239.705500 -0.560124
239.912500 1.845098
240.119500 -1.008774
240.326600 2.190332
240.533700 0.000000
240.740700 -0.381422
240.947800 0.350852
241.154900 0.158817
241.362100 3.108227
241.569200 0.483238
241.776400 2.999131
241.983500 0.574389
242.190700 0.507856
242.397900 -2.209515
242.605100 -0.416906
242.812400 0.325260
243.019600 0.851358
