# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000410
197.9842	-0.000604
198.1882	-0.000055
198.3922	-0.000012
198.5963	0.000135
198.8003	-0.000625
199.0044	0.000832
199.2085	-0.000076
199.4126	0.001255
199.6168	-0.000857
199.8209	0.000410
200.0251	-0.000772
200.2292	0.000874
200.4334	0.000473
200.6376	0.000093
200.8418	0.000980
201.0461	0.002268
201.2503	0.000410
201.4546	0.001086
201.6589	-0.000033
201.8631	0.000874
202.0674	0.000663
202.2718	0.000853
202.4761	-0.001152
202.6805	0.000832
202.8848	-0.000160
203.0892	0.000347
203.2936	0.000114
203.4980	0.001677
203.7024	-0.000160
203.9069	0.001550
204.1113	-0.000245
204.3158	-0.000055
204.5203	0.000030
204.7248	0.000283
204.9293	0.000304
205.1338	0.001613
205.3384	0.000009
205.5430	-0.000097
205.7475	0.000283
205.9521	-0.000287
206.1567	0.001402
206.3614	0.000959
206.5660	-0.000836
206.7706	-0.000815
206.9753	0.000135
207.1800	0.000220
207.3847	0.000431
207.5894	0.000727
207.7941	-0.000012
207.9989	0.000283
208.2036	-0.000033
208.4084	0.000727
208.6132	-0.000287
208.8180	0.000790
209.0228	-0.002588
209.2276	0.000790
209.4325	-0.000984
209.6373	-0.000456
209.8422	0.000642
210.0471	-0.000160
210.2520	-0.000118
210.4569	0.000727
210.6618	-0.000392
210.8668	0.000452
211.0718	-0.001427
211.2767	0.000558
211.4817	0.000790
211.6867	0.000283
211.8918	-0.000899
212.0968	0.001233
212.3018	-0.000308
212.5069	-0.000772
212.7120	-0.000815
212.9171	-0.000329
213.1222	-0.000097
213.3273	-0.000625
213.5325	0.000874
213.7376	0.001233
213.9428	-0.000245
214.1480	0.000473
214.3532	-0.000287
214.5584	0.001191
214.7636	0.000874
214.9689	0.001233
215.1741	0.000262
215.3794	0.000579
215.5847	0.000262
215.7900	0.000072
215.9953	0.000431
216.2007	0.000093
216.4060	0.000537
216.6114	-0.000519
216.8168	-0.000435
217.0222	-0.000498
217.2276	0.000220
217.4330	0.001064
217.6384	0.000938
217.8439	0.000368
218.0494	0.001001
218.2548	0.000917
218.4603	-0.000646
218.6659	0.000389
218.8714	0.000410
219.0769	0.000537
219.2825	0.000769
219.4881	0.000304
219.6936	-0.000012
219.8992	-0.000118
220.1049	-0.000160
220.3105	0.000579
220.5161	-0.000984
220.7218	0.000473
220.9275	0.001233
221.1332	0.000706
221.3389	-0.000540
221.5446	0.000896
221.7503	-0.001089
221.9561	-0.000667
222.1618	-0.000582
222.3676	-0.000202
222.5734	-0.000012
222.7792	0.000389
222.9850	-0.000519
223.1909	0.000748
223.3967	-0.001237
223.6026	0.001297
223.8085	0.000009
224.0144	0.000896
224.2203	-0.000751
224.4262	0.002184
224.6322	-0.001638
224.8381	0.001381
225.0441	-0.000477
225.2501	0.000431
225.4561	-0.000350
225.6621	0.000114
225.8681	-0.000076
226.0742	0.001001
226.2802	-0.000329
226.4863	0.001043
226.6924	0.000241
226.8985	0.000199
227.1046	0.000537
227.3107	0.000558
227.5169	-0.000709
227.7230	0.001001
227.9292	-0.000287
228.1354	0.001635
228.3416	0.000410
228.5478	-0.000456
228.7541	0.000220
228.9603	0.001487
229.1666	0.001571
229.3729	0.000452
229.5791	0.000283
229.7855	0.000537
229.9918	0.000516
230.1981	-0.000392
230.4045	0.000135
230.6108	0.001740
230.8172	0.001212
231.0236	0.000410
231.2300	-0.000646
231.4364	0.001064
231.6429	-0.001300
231.8493	0.000811
232.0558	0.000452
232.2623	0.000199
232.4688	0.000874
232.6753	0.000304
232.8818	0.000051
233.0884	0.000262
233.2949	0.001360
233.5015	0.001782
233.7081	0.001064
233.9147	0.000706
234.1213	0.000853
234.3279	0.000684
234.5346	-0.000667
234.7413	-0.000836
234.9479	0.001064
235.1546	-0.001279
235.3613	-0.000266
235.5680	-0.000413
235.7748	0.001508
235.9815	0.000241
