# Wavelength (nm)	Intensity (a.u.)
197.7802	0.000315
197.9842	-0.000234
198.1882	-0.002174
198.3922	0.000272
198.5963	0.001116
198.8003	-0.000234
199.0044	0.000420
199.2085	0.000357
199.4126	0.002318
199.6168	-0.000044
199.8209	0.000947
200.0251	0.000483
200.2292	0.001221
200.4334	-0.000149
200.6376	0.002128
200.8418	0.000779
201.0461	0.000188
201.2503	-0.000613
201.4546	0.000336
201.6589	-0.000044
201.8631	0.000315
202.0674	-0.000866
202.2718	0.000736
202.4761	-0.000149
202.6805	0.000019
202.8848	0.000399
203.0892	0.000884
203.2936	-0.001204
203.4980	0.000884
203.7024	-0.000276
203.9069	-0.000044
204.1113	0.001221
204.3158	0.000652
204.5203	-0.000234
204.7248	0.000272
204.9293	-0.000297
205.1338	0.000272
205.3384	0.001116
205.5430	0.001264
205.7475	-0.000128
205.9521	-0.001162
206.1567	0.000547
206.3614	0.000357
206.5660	0.000209
206.7706	0.000947
206.9753	0.000167
207.1800	0.000251
207.3847	0.000547
207.5894	-0.000656
207.7941	-0.000402
207.9989	0.000989
208.2036	0.000146
208.4084	-0.000571
208.6132	-0.001141
208.8180	-0.000023
209.0228	-0.000213
209.2276	0.000399
209.4325	0.002170
209.6373	0.000610
209.8422	-0.000930
210.0471	0.000631
210.2520	0.000968
210.4569	0.000462
210.6618	0.000842
210.8668	0.000863
211.0718	0.000757
211.2767	0.001369
211.4817	0.001643
211.6867	0.001728
211.8918	-0.000318
212.0968	0.001179
212.3018	0.000525
212.5069	-0.000424
212.7120	0.000146
212.9171	0.000568
213.1222	-0.000550
213.3273	0.001517
213.5325	0.000736
213.7376	0.000863
213.9428	-0.001056
214.1480	0.000989
214.3532	-0.000297
214.5584	0.000631
214.7636	-0.000887
214.9689	0.000800
215.1741	0.000462
215.3794	0.000441
215.5847	0.000736
215.7900	0.000167
215.9953	0.000884
216.2007	-0.000002
216.4060	0.000989
216.6114	0.000083
216.8168	0.000062
217.0222	0.000420
217.2276	0.000209
217.4330	0.001664
217.6384	-0.001141
217.8439	-0.000402
218.0494	-0.000149
218.2548	0.000652
218.4603	-0.000972
218.6659	0.001517
218.8714	0.000083
219.0769	0.001791
219.2825	-0.000972
219.4881	0.000146
219.6936	-0.000234
219.8992	0.000694
220.1049	-0.000508
220.3105	0.000083
220.5161	-0.000402
220.7218	0.000610
220.9275	0.000188
221.1332	0.000610
221.3389	-0.000255
221.5446	0.001854
221.7503	0.000462
221.9561	0.001264
222.1618	-0.000002
222.3676	0.001728
222.5734	0.000631
222.7792	0.000842
222.9850	0.001074
223.1909	0.000631
223.3967	-0.000887
223.6026	0.000357
223.8085	0.000040
224.0144	0.000420
