# Wavelength (nm)	Intensity (a.u.)
197.7802	0.001570
197.9842	-0.000671
198.1882	0.000048
198.3922	0.001485
198.5963	0.000576
198.8003	-0.001115
199.0044	0.000492
199.2085	0.001041
199.4126	0.002416
199.6168	-0.001052
199.8209	0.001612
200.0251	0.000745
200.2292	0.000449
200.4334	0.001359
200.6376	0.001591
200.8418	-0.000206
201.0461	-0.000946
201.2503	0.000640
201.4546	0.000745
201.6589	-0.001263
201.8631	0.001507
202.0674	-0.000079
202.2718	0.000259
202.4761	-0.000100
202.6805	-0.000270
202.8848	0.000576
203.0892	-0.000185
203.2936	0.001739
203.4980	0.000999
203.7024	-0.000058
203.9069	0.001443
204.1113	0.000322
204.3158	-0.000904
204.5203	0.000196
204.7248	0.000470
204.9293	-0.000862
205.1338	0.001443
205.3384	0.000640
205.5430	0.000407
205.7475	0.000280
205.9521	-0.000058
206.1567	0.000597
206.3614	-0.000439
206.5660	0.001401
206.7706	0.001422
206.9753	0.000344
207.1800	0.000576
207.3847	-0.000798
207.5894	-0.000439
207.7941	-0.000016
207.9989	0.000196
208.2036	0.000745
208.4084	0.002606
208.6132	-0.000629
208.8180	-0.000671
209.0228	-0.000375
209.2276	0.000365
209.4325	-0.000629
209.6373	-0.000143
209.8422	0.000597
210.0471	-0.000122
210.2520	0.000132
210.4569	0.001824
210.6618	-0.000396
210.8668	0.001041
211.0718	0.000576
211.2767	0.002416
211.4817	0.002416
211.6867	-0.000523
211.8918	-0.000418
212.0968	0.001528
212.3018	0.000682
212.5069	0.000238
212.7120	0.001929
212.9171	0.001274
213.1222	-0.001327
213.3273	0.001232
213.5325	0.000576
213.7376	0.000132
213.9428	0.000534
214.1480	0.001570
214.3532	0.000174
214.5584	0.001549
214.7636	0.000407
214.9689	0.000428
215.1741	0.000386
215.3794	-0.000100
215.5847	-0.000714
215.7900	-0.000375
215.9953	-0.000333
216.2007	0.000893
216.4060	-0.000502
216.6114	0.002204
216.8168	-0.000100
217.0222	-0.000671
217.2276	-0.000100
217.4330	0.000767
217.6384	-0.000904
217.8439	0.002120
218.0494	0.000767
218.2548	0.002226
218.4603	-0.000185
218.6659	0.001337
218.8714	0.002056
219.0769	0.001105
219.2825	-0.000671
219.4881	0.000217
219.6936	-0.001390
219.8992	0.002183
220.1049	-0.000502
220.3105	0.000492
220.5161	-0.000735
220.7218	0.000703
220.9275	0.000048
221.1332	-0.000227
221.3389	0.001359
221.5446	-0.000079
221.7503	0.000238
221.9561	-0.000206
222.1618	-0.001411
222.3676	0.000492
222.5734	-0.001538
222.7792	0.001041
222.9850	0.001655
223.1909	0.001929
223.3967	0.000915
223.6026	-0.000185
223.8085	0.001760
224.0144	-0.000904
224.2203	0.000999
224.4262	-0.000481
224.6322	0.000407
224.8381	0.000217
225.0441	-0.000798
225.2501	0.001274
225.4561	0.000640
225.6621	0.001676
225.8681	-0.000122
226.0742	0.000851
226.2802	-0.000629
226.4863	-0.000650
226.6924	0.000745
226.8985	0.002754
227.1046	-0.000819
227.3107	-0.001221
227.5169	-0.000333
227.7230	0.001168
227.9292	0.000048
228.1354	0.000280
228.3416	0.000280
228.5478	0.001824
228.7541	0.000301
228.9603	0.001612
229.1666	0.000174
229.3729	0.000344
229.5791	-0.000523
229.7855	-0.000164
229.9918	-0.000016
230.1981	-0.000544
230.4045	-0.000248
230.6108	0.000280
230.8172	0.000682
231.0236	0.002543
